,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3.1,PPA,CrsPA,PrgP,TotDist.1,PrgDist.1,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
118,Lilian Brassier,CB,2023-2024,23,France,Brest,Ligue 1,30,2677,29.7,30,0,0,1582,10262,5302,20,12,2,15,2.0,1431,5.0,55,35,61.1,3,0,3,3,0.0,0,0.0,1503,1810,83.0,6,114,8.0,3,121,33730.0,12106.0,362,400,90.5,835,915,91.3,289,464,62.3,31,18,18,13,0.0,12,24,50.0,12,28.0,21,7,41.0,72,93,0.0
119,Brau,LB,2023-2024,21,Spain,Granada,La Liga,1,31,0.3,0,1,0,8,66,45,2,2,0,1,0.0,9,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,7,10,70.0,0,0,0.0,0,0,83.0,7.0,5,6,83.3,2,2,100.0,0,2,0.0,1,0,1,0,0.0,1,1,100.0,0,0.0,0,0,0.0,1,2,0.0
120,Gleison Bremer,CB,2023-2024,26,Brazil,Juventus,Serie A,36,3233,35.9,36,0,1,1287,6500,3428,7,8,1,18,8.0,1432,4.0,102,56,64.6,3,0,3,3,0.0,0,0.0,1661,1930,86.1,7,111,0.0,0,120,34805.0,12857.0,419,478,87.7,973,1051,92.6,251,352,71.3,58,42,32,21,5.0,21,29,72.4,8,45.0,27,18,40.0,98,147,0.0
121,Dylan Bronn,CB,2023-2024,28,Tunisia,Salernitana,Serie A,4,52,0.6,0,4,13,9,36,20,1,0,0,0,0.0,10,0.0,4,4,50.0,0,0,0,0,0.0,0,0.0,8,12,66.7,0,2,1.0,0,1,116.0,60.0,5,6,83.3,3,4,75.0,0,2,0.0,0,0,0,0,0.0,0,1,0.0,1,2.0,0,2,0.0,0,4,0.0
122,John Brooks,CB,2023-2024,30,United States,Hoffenheim,Bundesliga,21,1539,17.1,18,3,10,564,2964,1574,5,2,0,3,4.0,615,1.0,45,21,68.2,2,0,2,2,0.0,0,0.0,740,892,83.0,3,56,3.0,1,61,15150.0,6266.0,230,255,90.2,400,447,89.5,103,170,60.6,28,15,17,10,1.0,15,30,50.0,15,29.0,17,12,27.0,55,109,1.0
123,Tajon Buchanan,RB,2023-2024,24,Canada,Inter,Serie A,10,161,1.8,0,10,9,74,545,336,12,4,3,6,1.0,76,22.0,0,3,0.0,1,0,1,1,0.0,0,0.0,58,72,80.6,2,1,1.0,1,4,787.0,103.0,36,39,92.3,16,21,76.2,3,6,50.0,1,1,0,0,1.0,1,2,50.0,1,1.0,0,1,0.0,1,4,0.0
124,Hugo Bueno,LB,2023-2024,20,Spain,Wolves,Premier League,22,741,8.2,7,15,11,266,1575,785,22,9,2,7,14.0,306,40.0,9,12,42.9,0,0,0,0,0.0,0,0.0,318,406,78.3,6,11,8.0,8,8,4380.0,1005.0,211,237,89.0,92,117,78.6,11,27,40.7,21,14,12,7,2.0,12,19,63.2,7,17.0,4,13,6.0,27,24,0.0
125,Santiago Bueno,CB,2023-2024,24,Uruguay,Wolves,Premier League,12,822,9.1,9,3,19,330,1726,988,3,5,0,1,2.0,400,2.0,15,26,36.6,0,0,0,0,0.0,0,0.0,426,480,88.8,2,16,0.0,0,11,7158.0,2158.0,177,192,92.2,223,237,94.1,18,37,48.6,13,7,5,7,1.0,5,11,45.5,6,22.0,12,10,6.0,19,33,0.0
126,Marius Bülter,LWB,2023-2024,30,Germany,Hoffenheim,Bundesliga,30,1351,15.0,15,15,1,475,2645,1295,37,31,13,24,19.0,548,107.0,24,31,43.6,1,4,5,1,0.0,0,0.0,500,695,71.9,21,35,22.0,11,60,8626.0,3041.0,243,275,88.4,202,274,73.7,48,104,46.2,18,11,9,5,4.0,12,23,52.2,11,17.0,3,14,10.0,28,20,0.0
127,Alessandro Buongiorno,CB,2023-2024,24,Italy,Torino,Serie A,29,2527,28.1,29,0,1,740,3702,1363,14,10,2,26,4.0,809,10.0,78,53,59.5,3,0,3,3,0.0,0,0.0,1012,1187,85.3,4,28,4.0,1,62,17567.0,5255.0,395,455,86.8,553,609,90.8,50,87,57.5,70,39,43,24,3.0,24,34,70.6,10,20.0,12,8,69.0,139,131,0.0
