,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3.1,PPA,CrsPA,PrgP,TotDist.1,PrgDist.1,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
448,Koffi Kouao,RB,2023-2024,25,Ivory Coast,Metz,Ligue 1,13,860,9.6,10,3,16,293,1742,705,10,11,3,17,3.0,252,29.0,317,401,79.1,6,23,7,4,29.0,5434,2296.0,155,176,88.1,129,157,82.2,28,56,50.0,0.0,2,2,0.0,0,0,0.0,20,13,12.0,7,1,11,17,64.7,6,9,6.0,3,13.0,33,38,1.0,13,6,68.4
449,Therence Koudou,RB,2023-2024,18,France,Reims,Ligue 1,9,314,3.5,3,6,5,122,645,309,8,3,1,3,4.0,107,21.0,142,173,82.1,5,8,3,2,14.0,2412,704.0,62,69,89.9,66,73,90.4,10,21,47.6,0.0,0,0,0.0,0,0,0.0,2,2,1.0,1,0,0,2,0.0,2,4,3.0,1,4.0,6,9,0.0,1,7,12.5
450,Jules Koundé,CB,2023-2024,24,France,Barcelona,La Liga,35,2899,32.2,32,3,2,1910,9350,5961,67,67,2,25,12.0,2187,64.0,2478,2757,89.9,23,267,20,5,245.0,41514,13135.0,1192,1263,94.4,1090,1164,93.6,156,237,65.8,1.0,2,3,1.0,0,0,0.0,37,23,22.0,10,5,28,51,54.9,23,32,12.0,20,25.0,62,83,5.0,71,44,61.7
451,Boubakar Kouyaté,CB,2023-2024,26,Mali,Montpellier,Ligue 1,23,1928,21.4,22,1,1,704,3753,1773,4,3,1,15,2.0,622,3.0,719,873,82.4,5,49,1,0,58.0,14305,5064.0,217,251,86.5,387,436,88.8,99,155,63.9,0.0,2,2,0.0,0,0,0.0,49,30,39.0,8,2,28,51,54.9,23,31,20.0,11,29.0,78,123,1.0,61,28,68.5
452,Emil Krafth,RB,2023-2024,28,Sweden,Newcastle Utd,Premier League,17,913,10.1,8,9,11,358,1588,720,12,9,1,8,3.0,423,33.0,488,580,84.1,9,26,13,7,29.0,7498,2971.0,246,275,89.5,216,236,91.5,15,39,38.5,0.0,0,0,0.0,0,0,0.0,21,14,10.0,7,4,12,25,48.0,13,8,3.0,5,9.0,30,21,0.0,13,15,46.4
453,Frans Krätzig,LWB,2023-2024,20,Germany,Bayern Munich,Bundesliga,4,56,0.6,0,4,16,38,220,108,0,1,0,1,2.0,42,7.0,45,50,90.0,2,3,1,0,7.0,705,183.0,24,26,92.3,18,20,90.0,2,3,66.7,0.0,0,0,0.0,0,0,0.0,2,0,2.0,0,0,1,2,50.0,1,0,0.0,0,0.0,2,0,0.0,0,0,
454,Rasmus Kristensen,RB,2023-2024,26,Denmark,Roma,Serie A,29,1744,19.4,19,10,6,571,2020,914,16,9,6,14,5.0,760,115.0,799,1037,77.0,12,35,11,8,40.0,12574,3602.0,413,468,88.2,323,408,79.2,43,100,43.0,1.0,1,2,1.0,0,0,0.0,36,19,25.0,8,3,28,50,56.0,22,27,7.0,20,8.0,44,50,0.0,30,21,58.8
455,Thomas Kristensen,CB,2023-2024,21,Denmark,Udinese,Serie A,26,2096,23.3,23,3,6,474,2640,1233,20,10,1,17,5.0,536,3.0,662,863,76.7,4,33,2,0,47.0,12745,5457.0,262,307,85.3,316,399,79.2,77,132,58.3,0.0,1,1,0.0,0,0,0.0,35,24,25.0,10,0,21,33,63.6,12,29,20.0,9,29.0,64,118,0.0,58,40,59.2
456,Lukas Kübler,LB,2023-2024,30,Germany,Freiburg,Bundesliga,26,1847,20.5,22,4,3,554,2385,981,13,14,0,7,6.0,615,32.0,805,1030,78.2,4,74,4,2,70.0,13760,4910.0,379,427,88.8,340,423,80.4,74,146,50.7,1.0,0,1,1.0,0,0,0.0,50,24,35.0,13,2,26,42,61.9,16,36,14.0,22,37.0,87,57,1.0,35,25,58.3
457,Sael Kumbedi,RB,2023-2024,18,France,Lyon,Ligue 1,17,924,10.3,8,9,10,500,2673,1384,19,22,4,20,7.0,451,75.0,470,592,79.4,5,30,11,4,42.0,7036,1816.0,266,306,86.9,180,224,80.4,14,40,35.0,0.0,1,1,0.0,0,0,0.0,30,20,14.0,12,4,9,22,40.9,13,12,3.0,9,14.0,44,18,2.0,4,9,30.8
458,Marash Kumbulla,CB,2023-2024,23,Albania,Sassuolo,Serie A,7,362,4.0,3,4,9,63,348,224,2,0,0,0,0.0,74,0.0,83,106,78.3,0,5,2,0,3.0,1761,785.0,20,22,90.9,52,59,88.1,8,20,40.0,0.0,0,0,0.0,0,0,0.0,3,2,2.0,1,0,1,2,50.0,1,8,6.0,2,0.0,3,22,0.0,4,4,50.0
459,Layvin Kurzawa,LB,2023-2024,30,France,Paris S-G,Ligue 1,1,9,0.1,0,1,12,10,51,27,0,0,0,0,0.0,10,1.0,13,13,100.0,0,0,0,0,0.0,206,38.0,7,7,100.0,4,4,100.0,1,1,100.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,,0,0,0.0,0,0.0,0,0,0.0,0,0,
460,Giorgos Kyriakopoulos,LWB,2023-2024,27,Greece,Monza,Serie A,28,1712,19.0,20,8,10,765,4410,2611,64,37,13,16,10.0,845,94.0,891,1080,82.5,21,62,20,12,70.0,15032,4779.0,446,472,94.5,366,434,84.3,64,120,53.3,0.0,3,3,0.0,0,0,0.0,19,10,16.0,3,0,11,24,45.8,13,18,1.0,17,13.0,32,28,0.0,12,20,37.5
461,Maxence Lacroix,CB,2023-2024,23,France,Wolfsburg,Bundesliga,28,2362,26.2,27,1,0,925,4290,2119,5,9,0,20,1.0,1077,5.0,1228,1449,84.7,8,91,6,2,79.0,24787,9524.0,396,448,88.4,674,748,90.1,150,216,69.4,4.0,1,5,4.0,0,0,0.0,48,29,28.0,18,2,29,41,70.7,12,35,12.0,23,24.0,72,121,0.0,64,50,56.1
462,Yoel Lago,CB,2023-2024,19,Spain,Celta Vigo,La Liga,1,90,1.0,1,0,0,76,324,137,0,0,0,0,0.0,77,0.0,82,86,95.3,0,0,0,0,2.0,1376,591.0,35,38,92.1,43,43,100.0,3,3,100.0,0.0,0,0,0.0,0,0,0.0,2,0,2.0,0,0,0,0,,0,1,0.0,1,0.0,2,2,0.0,0,0,
463,Stefan Lainer,RB,2023-2024,30,Austria,Gladbach,Bundesliga,15,751,8.3,8,7,2,295,1315,606,15,14,3,10,4.0,352,31.0,375,483,77.6,8,22,12,4,37.0,5727,1973.0,203,232,87.5,151,191,79.1,15,38,39.5,0.0,1,1,0.0,0,0,0.0,23,16,15.0,8,0,14,24,58.3,10,13,6.0,7,5.0,28,28,0.0,7,12,36.8
464,Kenny Lala,RB,2023-2024,31,Madagascar,Brest,Ligue 1,33,2970,33.0,33,0,0,1617,9146,3750,45,51,3,21,12.0,1461,98.0,1713,2195,78.0,35,164,45,19,200.0,35548,12428.0,600,693,86.6,773,938,82.4,321,488,65.8,2.0,3,5,2.0,0,0,0.0,78,51,39.0,28,11,30,56,53.6,26,27,6.0,21,28.0,106,75,1.0,7,14,33.3
465,Tariq Lamptey,RB,2023-2024,22,Ghana,Brighton,Premier League,19,914,10.2,10,9,0,354,2092,1218,39,17,12,22,2.0,382,64.0,379,454,83.5,10,6,12,6,17.0,5485,916.0,217,242,89.7,135,163,82.8,13,22,59.1,0.0,3,3,0.0,0,0,0.0,21,14,14.0,5,2,13,22,59.1,9,7,3.0,4,6.0,27,6,0.0,4,9,30.8
466,Bruno Langa,LB,2023-2024,25,Mozambique,Almería,La Liga,11,820,9.1,9,2,4,243,1250,720,14,10,2,5,3.0,265,30.0,307,400,76.8,7,18,8,3,25.0,5062,2470.0,153,176,86.9,123,153,80.4,24,51,47.1,1.0,0,1,1.0,0,0,0.0,17,12,10.0,5,2,6,14,42.9,8,11,4.0,7,4.0,21,33,2.0,2,6,25.0
467,Aymeric Laporte,CB,2023-2024,29,Spain,Manchester City,Premier League,1,12,0.1,0,1,0,10,23,1,0,0,0,0,0.0,10,0.0,11,11,100.0,0,0,0,0,0.0,202,48.0,4,4,100.0,7,7,100.0,0,0,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,,0,1,1.0,0,0.0,0,1,0.0,0,0,
468,Julien Laporte,CB,2023-2024,29,France,Lorient,Ligue 1,23,1818,20.2,20,3,10,876,4611,2433,5,3,1,1,2.0,819,3.0,883,1023,86.3,1,66,7,1,56.0,18687,7085.0,251,271,92.6,482,515,93.6,140,219,63.9,0.0,0,0,0.0,0,0,0.0,23,14,15.0,7,1,16,36,44.4,20,36,26.0,10,11.0,34,116,1.0,38,34,52.8
469,Jamaal Lascelles,CB,2023-2024,29,England,Newcastle Utd,Premier League,16,1080,12.0,13,3,10,519,2493,1461,8,6,0,2,4.0,634,3.0,669,774,86.4,2,38,1,0,31.0,11616,3694.0,252,275,91.6,383,421,91.0,29,61,47.5,1.0,0,1,1.0,0,0,0.0,14,9,7.0,7,0,6,11,54.5,5,17,12.0,5,5.0,19,42,0.0,47,24,66.2
470,Toni Lato,LWB,2023-2024,25,Spain,Mallorca,La Liga,28,1544,17.2,16,12,7,432,1860,911,30,23,8,17,7.0,494,110.0,595,788,75.5,10,26,14,9,39.0,9743,3108.0,309,352,87.8,233,306,76.1,42,87,48.3,0.0,1,1,0.0,0,0,0.0,38,23,19.0,13,6,16,27,59.3,11,17,3.0,14,17.0,55,27,0.0,10,19,34.5
471,Valentino Lazaro,RWB,2023-2024,27,Austria,Torino,Serie A,35,1994,22.2,21,14,2,713,3505,1736,53,29,10,35,8.0,792,106.0,839,1106,75.9,34,64,32,16,94.0,13621,4761.0,425,467,91.0,323,426,75.8,63,143,44.1,0.0,4,4,0.0,0,0,0.0,18,11,7.0,9,2,13,19,68.4,6,14,1.0,13,8.0,26,29,0.0,14,20,41.2
472,Manuel Lazzari,RB,2023-2024,29,Italy,Lazio,Serie A,24,1671,18.6,19,5,10,609,4072,2553,73,53,6,19,5.0,727,104.0,826,975,84.7,9,57,12,8,62.0,12173,3791.0,456,490,93.1,316,370,85.4,30,60,50.0,0.0,2,2,0.0,0,0,0.0,26,18,13.0,10,3,18,28,64.3,10,20,4.0,16,12.0,38,37,1.0,5,16,23.8
473,Théo Le Bris,LWB,2023-2024,20,France,Lorient,Ligue 1,26,1516,16.8,15,11,8,597,3700,1724,56,38,8,30,7.0,551,117.0,531,680,78.1,13,21,18,2,58.0,7815,2186.0,305,360,84.7,195,243,80.2,16,34,47.1,0.0,2,2,0.0,0,0,0.0,35,22,25.0,7,3,19,40,47.5,21,24,3.0,21,12.0,47,42,0.0,7,11,38.9
474,Julien Le Cardinal,CB,2023-2024,25,France,Brest,Ligue 1,14,531,5.9,5,9,14,224,1476,689,4,4,0,5,1.0,198,6.0,235,290,81.0,2,20,0,0,28.0,4774,2081.0,74,88,84.1,104,122,85.2,48,65,73.8,0.0,0,0,0.0,0,0,0.0,25,13,15.0,9,1,12,21,57.1,9,8,4.0,4,13.0,38,26,0.0,12,9,57.1
475,Vincent Le Goff,LWB,2023-2024,33,France,Lorient,Ligue 1,9,541,6.0,8,1,7,261,1333,720,9,10,1,4,2.0,234,51.0,252,322,78.3,9,17,4,0,22.0,3932,1509.0,135,152,88.8,92,118,78.0,18,37,48.6,1.0,1,2,1.0,0,0,0.0,5,0,4.0,0,1,4,8,50.0,4,11,3.0,8,3.0,8,10,0.0,2,2,50.0
476,Robin Le Normand,CB,2023-2024,26,Spain,Real Sociedad,La Liga,29,2469,27.4,28,1,6,1242,7060,4021,21,16,0,16,6.0,1359,1.0,1562,1765,88.5,3,94,0,0,106.0,31232,8514.0,479,524,91.4,886,955,92.8,186,249,74.7,2.0,0,2,2.0,0,0,0.0,31,22,16.0,15,0,17,30,56.7,13,26,15.0,11,28.0,59,96,1.0,110,60,64.7
477,Diogo Leite,CB,2023-2024,24,Portugal,Union Berlin,Bundesliga,32,2702,30.0,31,1,0,982,4458,2495,14,9,2,24,7.0,1128,4.0,1263,1581,79.9,6,113,3,1,121.0,23047,9175.0,511,569,89.8,596,687,86.8,126,249,50.6,0.0,0,0,0.0,0,0,0.0,52,36,31.0,15,6,25,51,49.0,26,48,22.0,26,47.0,99,155,1.0,71,44,61.7
478,Maxim Leitsch,CB,2023-2024,25,Germany,Mainz 05,Bundesliga,7,379,4.2,4,3,1,98,388,170,1,0,0,1,0.0,101,0.0,133,171,77.8,0,7,1,0,7.0,2803,1006.0,35,51,68.6,79,92,85.9,17,24,70.8,0.0,0,0,0.0,0,0,0.0,6,3,5.0,1,0,3,6,50.0,3,2,0.0,2,4.0,10,13,0.0,13,6,68.4
479,Florian Lejeune,CB,2023-2024,32,France,Rayo Vallecano,La Liga,37,3327,37.0,37,0,0,1250,5730,2951,15,6,0,13,4.0,1494,4.0,1636,2031,80.6,9,137,5,1,114.0,35738,16035.0,430,489,87.9,927,997,93.0,262,494,53.0,3.0,1,4,3.0,0,0,0.0,39,25,26.0,11,2,19,30,63.3,11,33,18.0,15,23.0,62,155,1.0,80,49,62.0
480,Stefan Lekovic,CB,2023-2024,19,Serbia,Villarreal,La Liga,1,29,0.3,0,1,3,4,6,1,0,0,0,0,0.0,11,0.0,12,14,85.7,0,0,0,0,0.0,210,29.0,7,8,87.5,3,4,75.0,2,2,100.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,,0,1,1.0,0,0.0,0,1,0.0,0,0,
481,Iñigo Lekue,LB,2023-2024,30,Spain,Athletic Club,La Liga,27,2002,22.2,22,5,9,706,3819,1993,44,30,1,17,9.0,825,35.0,1012,1273,79.5,17,86,16,7,119.0,17290,6247.0,440,499,88.2,489,577,84.7,69,143,48.3,0.0,2,2,0.0,0,0,0.0,40,22,25.0,10,5,27,53,50.9,26,24,6.0,18,15.0,55,50,0.0,15,9,62.5
482,Álvaro Lemos,RB,2023-2024,30,Spain,Las Palmas,La Liga,4,251,2.8,3,1,18,118,536,241,6,7,0,4,0.0,127,8.0,145,185,78.4,0,12,2,0,17.0,2198,488.0,89,95,93.7,46,60,76.7,9,23,39.1,0.0,0,0,0.0,0,0,0.0,4,1,1.0,3,0,0,2,0.0,2,3,1.0,2,2.0,6,4,0.0,5,2,71.4
483,Ruben Lendinez,CB,2023-2024,20,Spain,Valencia,La Liga,1,11,0.1,0,1,17,1,2,0,0,0,0,0,0.0,5,3.0,6,6,100.0,0,0,0,0,0.0,90,11.0,3,3,100.0,3,3,100.0,0,0,,0.0,0,0,0.0,0,0,0.0,2,2,0.0,2,0,1,1,100.0,0,0,0.0,0,0.0,2,1,0.0,0,0,
484,Clément Lenglet,CB,2023-2024,28,France,Aston Villa,Premier League,14,1153,12.8,14,0,20,727,4422,2819,26,18,0,3,3.0,786,1.0,822,918,89.5,2,34,3,0,51.0,15524,5173.0,302,319,94.7,431,457,94.3,82,127,64.6,0.0,1,1,0.0,0,0,0.0,13,9,7.0,5,1,7,13,53.8,6,19,11.0,8,7.0,20,47,1.0,15,11,57.7
485,Christopher Lenz,LB,2023-2024,28,Germany,RB Leipzig,Bundesliga,6,57,0.6,0,6,21,24,100,50,1,1,0,2,1.0,40,7.0,43,58,74.1,1,4,0,0,3.0,717,264.0,15,16,93.8,25,27,92.6,1,10,10.0,0.0,0,0,0.0,0,0,0.0,3,2,2.0,1,0,2,2,100.0,0,0,0.0,0,2.0,5,3,0.0,2,1,66.7
486,Rico Lewis,RB,2023-2024,18,England,Manchester City,Premier League,16,809,9.0,8,8,22,380,1758,964,21,20,5,2,12.0,486,46.0,518,568,91.2,13,29,9,0,33.0,7100,1127.0,339,351,96.6,159,170,93.5,12,20,60.0,2.0,0,2,2.0,0,0,0.0,10,7,4.0,4,2,3,7,42.9,4,7,1.0,6,4.0,14,6,0.0,0,6,0.0
487,Philipp Lienhart,CB,2023-2024,27,Austria,Freiburg,Bundesliga,15,1265,14.1,14,1,1,730,4866,2716,14,12,0,7,0.0,738,3.0,814,982,82.9,3,51,5,0,53.0,16894,6421.0,236,268,88.1,465,501,92.8,111,199,55.8,1.0,0,1,1.0,0,0,0.0,20,13,14.0,5,1,13,23,56.5,10,18,11.0,7,14.0,34,51,0.0,33,14,70.2
488,Matthijs de Ligt,CB,2023-2024,23,Netherlands,Bayern Munich,Bundesliga,22,1390,15.4,16,6,4,851,4373,2423,16,15,2,9,2.0,1022,6.0,1120,1193,93.9,3,109,1,1,98.0,21822,7091.0,313,330,94.8,709,730,97.1,93,121,76.9,2.0,0,2,2.0,0,0,0.0,15,12,4.0,8,3,6,11,54.5,5,14,10.0,4,19.0,34,52,0.0,41,28,59.4
489,Victor Lindelöf,CB,2023-2024,29,Sweden,Manchester Utd,Premier League,19,1328,14.8,14,5,2,620,3077,1621,17,14,0,5,3.0,706,17.0,826,927,89.1,8,62,3,0,40.0,13195,3696.0,398,435,91.5,355,385,92.2,48,70,68.6,1.0,1,2,1.0,0,0,0.0,15,10,8.0,7,0,5,13,38.5,8,18,9.0,9,12.0,27,40,1.0,17,24,41.5
490,Samuel Lino,LWB,2023-2024,23,Brazil,Atlético Madrid,La Liga,34,2080,23.1,25,9,2,872,6156,3739,131,81,44,42,35.0,958,215.0,816,1015,80.4,34,36,38,3,84.0,11390,2608.0,516,582,88.7,230,279,82.4,39,66,59.1,4.0,5,9,4.0,0,0,0.0,61,34,32.0,17,12,35,70,50.0,35,37,1.0,36,14.0,75,27,0.0,9,17,34.6
491,Pol Lirola,RB,2023-2024,25,Spain,Frosinone,Serie A,25,1536,17.1,18,7,2,393,2267,1306,30,20,1,11,9.0,486,59.0,556,722,77.0,13,37,14,3,65.0,9018,3289.0,302,341,88.6,194,248,78.2,47,89,52.8,2.0,1,3,2.0,0,0,0.0,30,18,14.0,15,1,17,35,48.6,18,12,1.0,11,19.0,49,41,1.0,14,19,42.4
492,Valentino Livramento,RB,2023-2024,20,England,Newcastle Utd,Premier League,26,1314,14.6,12,14,7,521,2952,1463,44,17,8,17,18.0,583,76.0,689,802,85.9,12,58,16,3,61.0,10004,2947.0,421,457,92.1,223,257,86.8,27,53,50.9,1.0,0,1,1.0,0,0,0.0,23,13,15.0,6,2,10,21,47.6,11,16,7.0,9,25.0,48,41,1.0,12,8,60.0
493,Diego Llorente,CB,2023-2024,29,Spain,Roma,Serie A,29,2170,24.1,27,2,5,1208,6166,2944,20,10,0,10,3.0,1370,5.0,1501,1648,91.1,4,71,1,0,75.0,28395,9300.0,503,520,96.7,865,914,94.6,120,180,66.7,1.0,1,2,1.0,0,0,0.0,31,19,20.0,10,1,11,24,45.8,13,40,27.0,13,22.0,53,79,0.0,43,50,46.2
494,Gautier Lloris,CB,2023-2024,28,France,Le Havre,Ligue 1,31,2778,30.9,31,0,2,1187,5795,2971,13,14,0,9,2.0,1077,5.0,1194,1398,85.4,3,80,3,0,105.0,21169,7934.0,461,517,89.2,623,676,92.2,80,161,49.7,2.0,0,2,2.0,0,0,0.0,50,28,40.0,9,1,28,42,66.7,14,50,30.0,20,32.0,82,142,1.0,75,36,67.6
495,Bradley Locko,LB,2023-2024,21,France,Brest,Ligue 1,33,2959,32.9,33,0,0,1466,8974,4389,83,62,4,68,28.0,1308,162.0,1544,1852,83.4,24,109,37,26,129.0,25861,8098.0,760,863,88.1,607,701,86.6,127,205,62.0,0.0,3,3,0.0,0,0,0.0,97,55,57.0,34,6,47,80,58.8,33,28,1.0,27,40.0,137,69,0.0,30,25,54.5
496,Tom Lockyer,CB,2023-2024,28,Wales,Luton Town,Premier League,14,1169,13.0,14,0,0,269,1504,883,6,6,1,6,2.0,247,2.0,301,422,71.3,3,37,4,0,37.0,6628,3120.0,81,104,77.9,158,189,83.6,57,113,50.4,1.0,1,2,1.0,0,0,0.0,25,16,17.0,6,2,15,22,68.2,7,23,13.0,10,23.0,48,68,0.0,31,16,66.0
497,Renan Lodi,LB,2023-2024,25,Brazil,Marseille,Ligue 1,14,1235,13.7,14,0,1,575,3148,1376,25,30,2,15,2.0,522,77.0,579,748,77.4,14,37,11,7,51.0,9900,2568.0,252,283,89.0,264,325,81.2,47,95,49.5,0.0,0,0,0.0,0,0,0.0,24,16,8.0,13,3,13,21,61.9,8,7,2.0,5,16.0,40,35,0.0,7,11,38.9
498,Noah Loosli,CB,2023-2024,26,Switzerland,Bochum,Bundesliga,10,346,3.8,2,8,16,74,309,119,1,1,0,3,0.0,69,3.0,81,127,63.8,0,4,1,0,6.0,1325,512.0,39,48,81.3,34,49,69.4,7,23,30.4,0.0,0,0,0.0,0,0,0.0,10,7,6.0,4,0,7,14,50.0,7,7,1.0,6,7.0,17,18,0.0,5,7,41.7
499,David López,CB,2023-2024,33,Spain,Girona,La Liga,25,1965,21.8,25,0,2,1083,5934,3308,15,9,0,12,2.0,1281,1.0,1468,1582,92.8,4,48,1,0,54.0,26089,8718.0,520,551,94.4,849,882,96.3,76,115,66.1,3.0,0,3,3.0,0,0,0.0,33,20,21.0,12,0,17,22,77.3,5,28,19.0,9,20.0,53,63,4.0,32,38,45.7
500,Javi López,LB,2023-2024,21,Spain,Alavés,La Liga,32,2386,26.5,25,7,5,631,4017,1896,53,44,11,40,20.0,720,120.0,775,1129,68.6,14,63,21,16,92.0,13424,5698.0,391,458,85.4,282,395,71.4,84,204,41.2,1.0,3,4,1.0,0,0,0.0,23,12,11.0,9,3,15,26,57.7,11,25,9.0,16,10.0,33,77,1.0,28,22,56.0
501,Jordan Lotomba,RB,2023-2024,24,Switzerland,Nice,Ligue 1,28,1804,20.0,21,7,3,767,4640,2071,36,33,2,23,20.0,710,40.0,834,994,83.9,12,36,14,5,52.0,11866,3883.0,473,541,87.4,297,345,86.1,21,43,48.8,1.0,0,1,1.0,0,0,0.0,36,28,18.0,9,9,25,35,71.4,10,30,9.0,21,16.0,52,26,1.0,21,15,58.3
502,Matteo Lovato,CB,2023-2024,23,Italy,Sassuolo,Serie A,26,1491,16.6,17,9,11,372,1322,523,1,2,0,6,4.0,448,1.0,566,672,84.2,3,31,2,1,33.0,9961,3380.0,215,242,88.8,307,347,88.5,32,57,56.1,0.0,0,0,0.0,0,0,0.0,37,21,22.0,13,2,20,29,69.0,9,23,12.0,11,31.0,68,51,1.0,26,27,49.1
503,Dejan Lovren,CB,2023-2024,34,Croatia,Lyon,Ligue 1,10,718,8.0,8,2,11,354,1746,735,5,8,0,1,2.0,326,1.0,371,440,84.3,1,24,0,0,20.0,7463,2174.0,104,127,81.9,215,232,92.7,42,66,63.6,0.0,0,0,0.0,0,0,0.0,9,7,6.0,3,0,3,7,42.9,4,6,5.0,1,12.0,21,37,0.0,24,10,70.6
504,Max Lowe,LB,2023-2024,26,England,Sheffield Utd,Premier League,10,503,5.6,4,6,3,66,271,105,5,2,1,6,0.0,88,11.0,84,130,64.6,2,6,3,0,12.0,1242,436.0,53,71,74.6,25,42,59.5,6,12,50.0,0.0,0,0,0.0,0,0,0.0,21,10,13.0,5,3,8,15,53.3,7,10,4.0,6,5.0,26,15,0.0,5,11,31.3
505,Lucas,LB,2023-2024,22,Brazil,Cádiz,La Liga,28,1539,17.1,15,13,9,487,2549,1130,30,19,3,22,18.0,513,65.0,595,807,73.7,22,33,21,14,47.0,9653,3843.0,311,351,88.6,221,298,74.2,49,115,42.6,1.0,0,1,1.0,0,0,0.0,47,27,32.0,11,4,32,55,58.2,23,27,4.0,23,17.0,64,45,0.0,11,23,32.4
506,Jhon Lucumí,CB,2023-2024,25,Colombia,Bologna,Serie A,29,2217,24.6,23,6,4,1339,7663,4522,28,21,0,15,6.0,1552,4.0,1734,1857,93.4,4,105,5,0,93.0,31124,9471.0,711,748,95.1,845,865,97.7,152,196,77.6,0.0,0,0,0.0,0,0,0.0,48,29,31.0,17,0,27,36,75.0,9,32,17.0,15,16.0,64,68,2.0,29,28,50.9
507,José Luis Gayà,LB,2023-2024,28,Spain,Valencia,La Liga,24,1791,19.9,22,2,1,634,3368,1839,41,29,5,14,7.0,694,97.0,801,1062,75.4,25,50,22,12,72.0,14090,4670.0,376,425,88.5,343,434,79.0,71,153,46.4,1.0,2,3,1.0,0,0,0.0,71,36,44.0,23,4,43,67,64.2,24,18,3.0,15,11.0,82,42,0.0,11,9,55.0
508,José Luis Palomino,CB,2023-2024,33,Argentina,Atalanta,Serie A,4,27,0.3,0,4,9,21,88,51,0,0,0,0,0.0,22,0.0,25,32,78.1,0,2,0,0,2.0,513,194.0,8,10,80.0,12,14,85.7,4,7,57.1,0.0,0,0,0.0,0,0,0.0,2,1,1.0,1,0,1,1,100.0,0,2,1.0,1,1.0,3,6,0.0,3,0,100.0
509,Castello Lukeba,CB,2023-2024,20,France,RB Leipzig,Bundesliga,32,2191,24.3,24,8,2,1446,6629,3477,23,23,1,20,9.0,1617,9.0,1726,1885,91.6,4,107,8,2,107.0,30847,11113.0,636,673,94.5,982,1022,96.1,98,162,60.5,1.0,0,1,1.0,0,0,0.0,19,12,10.0,9,0,10,12,83.3,2,35,13.0,22,12.0,31,94,2.0,32,27,54.2
510,Sebastiano Luperto,CB,2023-2024,26,Italy,Empoli,Serie A,38,3406,37.8,38,0,0,1172,5285,2754,13,12,0,12,1.0,1312,13.0,1455,1785,81.5,11,89,4,1,100.0,28218,10204.0,480,537,89.4,821,916,89.6,142,295,48.1,1.0,1,2,1.0,0,0,0.0,37,26,25.0,10,2,15,24,62.5,9,46,35.0,11,32.0,69,157,1.0,77,58,57.0
511,Mateus Lusuardi,CB,2023-2024,19,Brazil,Frosinone,Serie A,4,219,2.4,3,1,20,93,505,257,2,3,0,1,1.0,115,0.0,134,154,87.0,0,11,0,0,12.0,2107,820.0,71,74,95.9,58,65,89.2,4,12,33.3,0.0,0,0,0.0,0,0,0.0,2,1,1.0,1,0,1,3,33.3,2,4,2.0,2,4.0,6,8,0.0,3,1,75.0
512,Charalambos Lykogiannis,LB,2023-2024,29,Greece,Bologna,Serie A,22,904,10.0,10,12,15,354,1964,1020,36,20,3,5,5.0,455,41.0,451,594,75.9,9,29,10,9,35.0,7235,2374.0,240,272,88.2,182,225,80.9,25,71,35.2,2.0,1,3,2.0,0,0,0.0,10,6,5.0,4,1,5,10,50.0,5,15,5.0,10,5.0,15,30,0.0,16,13,55.2
513,Ian Maatsen,LB,2023-2024,21,Netherlands,Dortmund,Bundesliga,16,1264,14.0,15,1,0,738,4424,2362,41,23,8,23,9.0,849,49.0,928,1060,87.5,8,70,18,5,80.0,14738,4217.0,508,544,93.4,320,360,88.9,65,93,69.9,2.0,2,4,2.0,0,0,0.0,30,22,15.0,9,6,16,30,53.3,14,22,4.0,18,13.0,43,26,0.0,2,9,18.2
514,Deiver Machado,LWB,2023-2024,29,Colombia,Lens,Ligue 1,19,1124,12.5,13,6,1,395,2075,866,22,15,4,18,16.0,364,74.0,383,488,78.5,13,27,11,5,26.0,5645,1674.0,218,247,88.3,138,170,81.2,13,37,35.1,4.0,0,4,4.0,0,0,0.0,24,18,10.0,10,4,15,20,75.0,5,13,2.0,11,7.0,31,8,0.0,12,10,54.5
515,Pablo Maffeo,RB,2023-2024,26,Spain,Mallorca,La Liga,22,1454,16.2,17,5,5,369,2332,1095,38,33,11,36,14.0,410,68.0,374,603,62.0,11,32,9,8,41.0,6550,2806.0,172,207,83.1,155,233,66.5,38,116,32.8,1.0,2,3,1.0,0,0,0.0,35,22,18.0,13,4,23,40,57.5,17,12,2.0,10,10.0,45,23,0.0,33,25,56.9
