Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live,Dead,FK,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
Tijjani Noslin,RW,2023-2024,24,nl NED,Hellas Verona,it Serie A,17,1339,14.9,17,0,235,338,69.5,26,13,4,26,140,178,78.7,69,103,67,6,15,40,3.6,3.6,2.2,5.8,1,5.8,+1.4,+1.4,0.1,36,0.14,15,41.7,17.4,0,36,0.14,0.33,15,41.7,5,4,9,5,0,0,0,526,23,282,526,5,4,9,0,0,0,330,49,71,40.8
Randy Nteka,SS,2023-2024,25,ao ANG,Rayo Vallecano,es La Liga,16,572,6.4,3,13,129,180,71.7,9,5,0,15,82,104,78.8,35,48,72.9,4,4,100,2.3,1.5,0.9,3.2,0.9,2.5,-1.3,-1.5,0.11,14,0,5,35.7,15.9,0,14,0,0,5,35.7,1,1,2,0,1,1,0,284,13,131,283,1,1,2,1,1,0,171,27,24,52.9
Ernest Nuamah,RW,2023-2024,19,gh GHA,Lyon,fr Ligue 1,29,1838,20.4,21,8,535,692,77.3,29,31,5,74,273,319,85.6,193,246,78.5,44,75,58.7,4,4,3.8,7.8,5.2,7.8,-1,-1,0.09,43,0.07,20,46.5,18,3,43,0.07,0.15,20,46.5,3,2,5,3,0,0,0,983,27,561,983,3,2,5,0,0,0,643,10,25,28.6
Darwin Núñez,ST,2023-2024,24,uy URU,Liverpool,eng Premier League,36,2047,22.7,22,14,341,493,69.2,33,26,0,54,196,251,78.1,101,147,68.7,22,37,59.5,16.3,15.5,6,22.3,4.5,21.5,-5.3,-4.5,0.15,107,0.1,46,43,15,0,107,0.1,0.24,46,43,11,8,19,11,0,1,1,777,13,526,776,11,8,19,0,1,1,472,34,55,38.2
Simeon Nwankwo,ST,2023-2024,31,ng NGA,Salernitana,it Serie A,15,686,7.6,6,9,83,133,62.4,5,1,0,7,52,76,68.4,22,27,81.5,2,2,100,2.7,2.7,0.6,3.2,0.4,3.2,+0.3,+0.3,0.21,13,0.23,7,53.8,10.6,0,13,0.23,0.43,7,53.8,3,0,3,3,0,0,0,219,4,94,219,3,0,3,0,0,0,125,24,41,36.9
M'Bala Nzola,ST,2023-2024,26,ao ANG,Fiorentina,it Serie A,33,1552,17.2,15,18,283,345,82,21,13,0,29,185,213,86.9,64,79,81,15,17,88.2,4.5,3.7,1.6,6.2,1.6,5.4,-1.5,-1.7,0.12,31,0.06,12,38.7,12.5,0,31,0.06,0.17,12,38.7,3,3,6,2,1,1,0,546,24,322,545,3,3,6,1,1,0,333,53,70,43.1
Mark O'Mahony,ST,2023-2024,18,ie IRL,Brighton,eng Premier League,3,63,0.7,1,2,13,16,81.3,0,0,0,0,7,8,87.5,5,6,83.3,0,0,,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0.06,1,0,0,0,16.8,0,1,0,,0,0,0,0,0,0,0,0,0,27,2,6,27,0,0,0,0,0,0,16,1,3,25
Michael Obafemi,ST,2023-2024,23,ie IRL,Burnley,eng Premier League,2,20,0.2,0,2,4,5,80,0,0,0,0,3,3,100,1,1,100,0,0,,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0.05,2,0,0,0,19.8,0,2,0,,0,0,0,0,0,0,0,0,0,9,0,6,9,0,0,0,0,0,0,5,0,1,0
Lucas Ocampos,LW,2023-2024,29,ar ARG,Sevilla,es La Liga,35,2871,31.9,34,1,837,1247,67.1,36,40,20,124,474,591,80.2,259,378,68.5,69,170,40.6,5.4,4.6,4.5,9.9,4.1,9.1,-1.4,-1.6,0.07,63,0.05,23,36.5,16.9,0,63,0.05,0.13,23,36.5,4,3,7,3,1,1,0,1717,30,871,1716,4,3,7,1,1,0,1112,63,56,52.9
Jens Odgaard,RW,2023-2024,24,dk DEN,Bologna,it Serie A,10,431,4.8,5,5,94,135,69.6,2,2,0,9,54,63,85.7,34,46,73.9,2,7,28.6,1.5,1.5,0.1,1.5,0.1,1.5,+0.5,+0.5,0.13,11,0.18,2,18.2,18.9,0,11,0.18,1,2,18.2,2,0,2,2,0,0,0,191,4,94,191,2,0,2,0,0,0,130,12,15,44.4
Noah Okafor,ST,2023-2024,23,ch SUI,Milan,it Serie A,28,887,9.9,6,22,120,193,62.2,8,9,3,15,56,84,66.7,52,73,71.2,4,14,28.6,3.8,3.8,1.2,5,0.5,5,+2.2,+2.2,0.17,22,0.27,14,63.6,13.9,0,22,0.27,0.43,14,63.6,6,2,8,6,0,0,0,298,7,154,298,6,2,8,0,0,0,184,7,13,35
David Okereke,ST,2023-2024,25,ng NGA,Torino,it Serie A,9,252,2.8,3,6,72,92,78.3,2,1,1,7,31,38,81.6,37,42,88.1,1,3,33.3,0.2,0.2,0.1,0.4,0.3,0.4,-0.2,-0.2,0.03,8,0,5,62.5,19.8,0,8,0,0,5,62.5,0,0,0,0,0,0,0,122,0,68,122,0,0,0,0,0,0,91,7,9,43.8
Masaya Okugawa,SS,2023-2024,27,jp JPN,Augsburg,de Bundesliga,2,32,0.4,0,2,7,11,63.6,0,0,0,1,5,7,71.4,2,4,50,0,0,,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,14,1,6,14,0,0,0,0,0,0,9,1,0,100
