Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live,Dead,FK,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
Amine Salama,LW,2023-2024,23,fr FRA,Reims,fr Ligue 1,11,313,3.5,2,9,6,0,0,1,13.8,0,0.7,1,0.2,1,-0.7,-0.7,-0.2,0.12,6,0,0,1,16.7,13.8,0,110,0,10,56,10,110,0,0,0,0,0,0,48,73,65.8,1,1,7,752,173,26,38,68.4,19,2,40,0,0,0,0,0,0,70,0,0,0
Mama Samba Baldé,ST,2023-2024,27,gw GNB,Lyon,fr Ligue 1,20,551,6.1,4,16,17,0.12,0.22,9,14.2,0,3.4,5.7,1.2,5.7,-1.4,-1.4,+0.7,0.2,17,0.12,0.22,9,52.9,14.2,0,234,2,21,133,43,234,3,5,2,0,0,0,88,135,65.2,4,0,11,1223,294,51,66,77.3,26,4,57.1,2,3,5,0,0,0,132,2,3,5
Antonio Sanabria,ST,2023-2024,27,py PAR,Torino,it Serie A,35,2133,23.7,23,12,52,0.06,0.21,14,12.7,0,9.3,10.6,0.9,9.1,-4.3,-4.7,-1.4,0.15,52,0.06,0.21,14,26.9,12.7,0,856,14,78,322,82,854,0,5,3,2,2,0,494,624,79.2,10,1,57,7261,1214,287,339,84.7,143,33,70.2,5,0,5,2,2,0,587,5,0,5
Alexis Sánchez,ST,2023-2024,34,cl CHI,Inter,it Serie A,23,763,8.5,6,17,17,0.06,0.2,5,16.4,2,3.2,6.4,2.8,5.6,-1.2,-1.5,+1.9,0.14,17,0.06,0.2,5,29.4,16.4,2,453,0,28,240,37,452,5,7,1,1,1,0,276,367,75.2,24,2,53,4719,1255,143,170,84.1,77,41,69.5,2,5,7,1,1,0,335,2,5,7
Jadon Sancho,RW,2023-2024,23,eng ENG,2 Teams,2 Comps,17,1026,11.4,11,6,9,0.22,0.5,4,13.3,0,0.7,0.1,3.4,3.7,+1.3,+1.3,-1.1,0.08,9,0.22,0.5,4,44.4,13.3,0,673,15,84,370,62,673,2,4,2,0,0,0,448,555,80.7,28,4,66,6044,1784,292,336,86.9,115,18,62.1,2,2,4,0,0,0,522,2,2,4
Leroy Sané,LW,2023-2024,27,de GER,Bayern Munich,de Bundesliga,27,2137,23.7,25,2,73,0.11,0.29,28,17.6,6,10.9,21.8,9.5,21.8,-2.9,-2.9,+0.2,0.15,73,0.11,0.29,28,38.4,17.6,6,1398,6,99,880,143,1398,11,19,8,0,0,0,878,1098,80,47,2,113,12860,3036,538,612,87.9,254,57,58.2,8,11,19,0,0,0,987,8,11,19
Nicola Sansone,LW,2023-2024,31,it ITA,Lecce,it Serie A,25,767,8.5,4,21,23,0.09,0.4,5,18.9,2,2.8,4.1,0.9,4.1,-0.8,-0.8,+0.7,0.12,23,0.09,0.4,5,21.7,18.9,2,372,4,48,159,26,372,2,4,2,0,0,0,207,277,74.7,10,2,36,3177,948,115,129,89.1,62,18,45,2,2,4,0,0,0,253,2,2,4
Riccardo Saponara,LW,2023-2024,31,it ITA,Hellas Verona,it Serie A,12,342,3.8,3,9,5,0,0,1,25.6,0,0.1,0.3,0.2,0.3,-0.1,-0.1,-0.2,0.02,5,0,0,1,20,25.6,0,164,4,21,65,11,164,0,0,0,0,0,0,87,124,70.2,3,1,14,1465,387,38,45,84.4,36,8,72.7,0,0,0,0,0,0,118,0,0,0
Amin Sarr,RW,2023-2024,22,se SWE,2 Teams,2 Comps,17,484,5.4,3,14,11,0,0,4,14.7,0,0.9,0.5,0.2,1.2,-0.9,-0.9,-0.3,0.08,11,0,0,4,36.4,14.7,0,216,5,16,98,17,216,0,0,0,0,0,0,108,150,72,6,0,13,1241,226,68,86,79.1,21,4,80,0,0,0,0,0,0,141,0,0,0
Ismaila Sarr,RW,2023-2024,25,sn SEN,Marseille,fr Ligue 1,23,1447,16.1,15,8,25,0.12,0.3,10,12.7,0,3.2,5.7,2.3,5.7,-0.2,-0.2,+1.5,0.13,25,0.12,0.3,10,40,12.7,0,675,24,72,357,89,675,4,7,3,0,0,0,366,483,75.8,15,5,36,4949,1093,229,269,85.1,107,10,47.6,3,4,7,0,0,0,476,3,4,7
Martin Satriano,ST,2023-2024,22,uy URU,Brest,fr Ligue 1,33,1864,20.7,21,12,63,0.06,0.2,20,16.2,0,6.1,9,2.6,9,-2.1,-2.1,+1.1,0.1,63,0.06,0.2,20,31.7,16.2,0,714,32,79,347,99,714,4,8,4,0,0,0,325,456,71.3,9,1,37,5299,1060,172,233,73.8,105,33,73.3,4,4,8,0,0,0,447,4,4,8
Sávio,LW,2023-2024,19,br BRA,Girona,es La Liga,37,2976,33.1,35,2,45,0.2,0.45,20,16.6,0,6.1,14,9.9,14,+2.9,+2.9,+2.1,0.13,45,0.2,0.45,20,44.4,16.6,0,1490,17,169,878,158,1490,10,19,9,0,0,0,812,1064,76.3,60,14,93,11860,2710,469,529,88.7,265,42,53.8,9,10,19,0,0,0,1042,9,10,19
Gianluca Scamacca,ST,2023-2024,24,it ITA,Atalanta,it Serie A,29,1453,16.1,17,12,60,0.2,0.46,26,15.1,0,6.5,10.5,1.5,10.5,+5.5,+5.5,+2.1,0.11,60,0.2,0.46,26,43.3,15.1,0,655,15,35,340,93,655,6,18,12,0,0,0,293,434,67.5,14,1,41,5369,1076,137,202,67.8,99,42,80.8,12,6,18,0,0,0,420,12,6,18
Dane Scarlett,ST,2023-2024,19,eng ENG,Tottenham,eng Premier League,4,22,0.2,0,4,0,,,0,,0,0,0,0,0,0,0,0,,0,,,0,,,0,11,0,0,6,2,11,0,0,0,0,0,0,2,3,66.7,0,0,1,25,16,1,1,100,1,0,,0,0,0,0,0,0,3,0,0,0
Kevin Schade,LW,2023-2024,21,de GER,Brentford,eng Premier League,11,333,3.7,3,8,8,0.25,0.5,4,15.8,0,1.2,1.9,0.7,1.9,+0.8,+0.8,+0.3,0.15,8,0.25,0.5,4,50,15.8,0,148,3,17,73,19,148,1,3,2,0,0,0,58,95,61.1,3,2,9,819,220,36,49,73.5,19,2,50,2,1,3,0,0,0,93,2,1,3
Patrik Schick,ST,2023-2024,27,cz CZE,Leverkusen,de Bundesliga,20,1063,11.8,12,8,39,0.15,0.5,12,12.7,0,6,7,1.6,6.2,+1.0,+0.7,-1,0.13,39,0.15,0.5,12,30.8,12.7,0,350,7,15,208,90,349,0,7,6,1,1,0,184,231,79.7,5,0,17,2218,317,129,155,83.2,42,3,75,7,0,7,1,1,0,220,7,0,7
Jeffrey Schlupp,LW,2023-2024,30,gh GHA,Crystal Palace,eng Premier League,29,1352,15,17,12,19,0.11,0.18,11,19.4,0,1.8,4.1,1.4,4.1,+0.2,+0.2,-0.3,0.1,19,0.11,0.18,11,57.9,19.4,0,536,22,110,185,27,536,2,4,2,0,0,0,247,334,74,9,2,33,3498,903,146,182,80.2,88,7,28,2,2,4,0,0,0,329,2,2,4
Jérémy Sebas,SS,2023-2024,20,mq MTQ,Strasbourg,fr Ligue 1,14,399,4.4,2,12,7,0.29,0.5,4,14.7,0,1,1,0.1,1,+1.0,+1.0,0,0.14,7,0.29,0.5,4,57.1,14.7,0,123,4,14,69,14,123,0,2,2,0,0,0,52,74,70.3,1,0,6,743,138,28,39,71.8,18,2,100,2,0,2,0,0,0,72,2,0,2
Demba Seck,LW,2023-2024,22,sn SEN,Frosinone,it Serie A,11,298,3.3,3,8,7,0,0,2,16.8,0,1.1,1.4,0.4,1.4,-1.1,-1.1,-0.3,0.16,7,0,0,2,28.6,16.8,0,141,1,11,72,13,141,0,0,0,0,0,0,74,92,80.4,2,0,9,959,206,50,57,87.7,20,2,100,0,0,0,0,0,0,89,0,0,0
Davie Selke,ST,2023-2024,28,de GER,Köln,de Bundesliga,19,1265,14.1,16,3,33,0.18,0.55,11,11.1,0,4.8,5.2,0.3,5.2,+1.2,+1.2,-0.4,0.14,33,0.18,0.55,11,33.3,11.1,0,341,24,35,140,63,341,0,6,6,0,0,0,144,234,61.5,4,0,17,1808,325,86,123,69.9,42,3,75,6,0,6,0,0,0,211,6,0,6
Vivaldo Semedo,ST,2023-2024,18,pt POR,Udinese,it Serie A,1,12,0.1,0,1,0,,,0,,0,0,0,0,0,0,0,0,,0,,,0,,,0,3,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0
Antoine Semenyo,RW,2023-2024,23,gh GHA,Bournemouth,eng Premier League,33,2105,23.4,25,8,70,0.11,0.27,30,17.8,0,4.6,7.8,2.3,7.8,+3.4,+3.4,-1.2,0.07,70,0.11,0.27,30,42.9,17.8,0,1015,31,137,526,124,1015,2,10,8,0,0,0,452,647,69.9,28,7,64,6944,1597,254,324,78.4,160,25,51,8,2,10,0,0,0,632,8,2,10
Benjamin Šeško,ST,2023-2024,20,si SVN,RB Leipzig,de Bundesliga,31,1526,17,17,14,47,0.3,0.56,25,13,0,7.7,8.8,1.3,8.8,+6.3,+6.3,+0.9,0.16,47,0.3,0.56,25,53.2,13,0,528,31,67,253,87,528,2,16,14,0,0,0,215,330,65.2,7,0,22,2541,538,135,183,73.8,53,4,40,14,2,16,0,0,0,316,14,2,16
Aaron Seydel,ST,2023-2024,27,de GER,Darmstadt 98,de Bundesliga,16,619,6.9,5,11,14,0.07,0.17,6,16.8,0,1,1.7,0.6,1.7,0,0,-0.7,0.07,14,0.07,0.17,6,42.9,16.8,0,283,13,20,128,31,283,0,1,1,0,0,0,110,190,57.9,1,0,10,1535,254,66,99,66.7,33,4,66.7,1,0,1,0,0,0,176,1,0,1
Stephan El Shaarawy,LW,2023-2024,30,it ITA,Roma,it Serie A,33,1738,19.3,19,14,40,0.08,0.3,10,19.1,1,2.5,4.8,1.8,4.8,+0.5,+0.5,+1.7,0.06,40,0.08,0.3,10,25,19.1,1,843,28,159,328,60,843,4,7,3,0,0,0,545,662,82.3,12,5,44,8516,1723,305,350,87.1,194,37,72.5,3,4,7,0,0,0,617,3,4,7
Eldor Shomurodov,ST,2023-2024,28,uz UZB,Cagliari,it Serie A,22,936,10.4,10,12,21,0.14,0.43,7,11.9,0,3.5,5.2,1.1,5.2,-0.5,-0.5,+1.3,0.19,21,0.14,0.43,7,33.3,11.9,0,364,4,33,174,46,364,3,6,3,0,0,0,153,230,66.5,5,2,18,2048,487,97,131,74,44,6,42.9,3,3,6,0,0,0,212,3,3,6
Steven Shpendi,ST,2023-2024,20,al ALB,Empoli,it Serie A,12,411,4.6,4,8,7,0,0,3,16.8,0,0.4,0.9,0.2,0.9,-0.4,-0.4,+0.5,0.06,7,0,0,3,42.9,16.8,0,125,0,8,58,20,125,1,1,0,0,0,0,57,76,75,3,0,6,717,101,36,44,81.8,16,0,,0,1,1,0,0,0,64,0,1,1
André Silva,ST,2023-2024,27,pt POR,Real Sociedad,es La Liga,19,729,8.1,9,10,15,0.13,0.4,5,19.1,1,3.3,3.6,0.2,2.8,-0.3,-0.5,-0.3,0.17,15,0.13,0.4,5,33.3,19.1,1,239,3,13,128,25,238,0,3,2,1,1,0,134,165,81.2,1,0,7,1654,172,91,99,91.9,34,2,100,3,0,3,1,1,0,143,3,0,3
Fábio Silva,FW,2023-2024,21,pt POR,Wolves,eng Premier League,8,264,2.9,3,5,7,0,0,3,13.8,0,1,1.2,0.1,1.2,-1,-1,-0.2,0.15,7,0,0,3,42.9,13.8,0,118,4,24,44,12,118,0,0,0,0,0,0,61,76,80.3,0,0,10,779,174,37,43,86,16,1,25,0,0,0,0,0,0,72,0,0,0
Giovanni Simeone,ST,2023-2024,28,ar ARG,Napoli,it Serie A,28,800,8.9,8,20,35,0.03,0.08,12,14.6,0,3.4,3.9,0.8,3.9,-2.4,-2.4,-0.6,0.1,35,0.03,0.08,12,34.3,14.6,0,301,7,19,159,56,301,0,1,1,0,0,0,132,187,70.6,5,1,13,1760,309,79,95,83.2,37,6,40,1,0,1,0,0,0,170,1,0,1
Giuliano Simeone,FW,2023-2024,20,ar ARG,Alavés,es La Liga,14,630,7,6,8,14,0.07,0.5,2,19.7,0,2.4,4.4,1.2,3.6,-1.4,-0.6,0,0.12,14,0.07,0.5,2,14.3,19.7,0,254,5,43,137,27,253,2,3,1,0,1,1,114,169,67.5,12,1,24,1546,563,70,93,75.3,34,3,42.9,1,2,3,0,1,1,165,1,2,3
Moses Simon,FWMF,2023-2024,28,ng NGA,Nantes,fr Ligue 1,22,1788,19.9,21,1,33,0.06,0.17,12,16.5,0,4.1,7.8,5.6,7,-1.1,-1.3,+1.3,0.1,33,0.06,0.17,12,36.4,16.5,0,706,6,50,441,117,705,5,8,2,1,1,0,318,508,62.6,21,14,36,5209,1351,164,212,77.4,114,25,44.6,3,5,8,1,1,0,472,3,5,8
Luis Sinisterra,LW,2023-2024,24,co COL,Bournemouth,eng Premier League,20,699,7.8,7,13,27,0.07,0.25,8,13.9,0,2.5,5,1.1,5,-0.5,-0.5,-0.4,0.09,27,0.07,0.25,8,29.6,13.9,0,430,11,63,242,83,430,2,4,2,0,0,0,226,292,77.4,16,1,38,3223,747,145,169,85.8,57,13,65,2,2,4,0,0,0,292,2,2,4
Tim Skarke,ST,2023-2024,26,de GER,Darmstadt 98,de Bundesliga,30,2404,26.7,29,1,69,0.12,0.4,20,21.9,1,3.6,5.7,3,5.7,+4.4,+4.4,-2.1,0.05,69,0.12,0.4,20,29,21.9,1,1134,32,199,482,71,1134,0,8,8,0,0,0,622,855,72.7,33,14,80,10477,2900,307,364,84.3,219,72,56.7,8,0,8,0,0,0,777,8,0,8
Alex Sola,RW,2023-2024,24,es ESP,Alavés,es La Liga,29,1262,14,14,15,28,0,0,7,17.6,2,1.6,3.9,2.1,3.9,-1.6,-1.6,+0.7,0.06,28,0,0,7,25,17.6,2,630,12,110,316,48,630,3,3,0,0,0,0,269,430,62.6,19,9,42,4680,1722,131,154,85.1,101,33,40.2,0,3,3,0,0,0,364,0,3,3
Dominic Solanke,ST,2023-2024,25,eng ENG,Bournemouth,eng Premier League,38,3325,36.9,37,1,106,0.16,0.49,35,12.2,0,19.6,22.7,2,20.3,-0.6,-0.2,0,0.16,106,0.16,0.49,35,33,12.2,0,1069,57,113,547,216,1066,3,22,17,2,3,1,400,544,73.5,24,3,60,5026,1387,262,315,83.2,93,11,61.1,19,3,22,2,3,1,485,19,3,22
Ola Solbakken,LW,2023-2024,24,no NOR,Roma,it Serie A,1,23,0.3,0,1,0,,,0,,0,0,0,0,0,0,0,0,,0,,,0,,,0,8,0,2,4,0,8,0,0,0,0,0,0,6,8,75,0,0,0,96,4,4,5,80,1,1,100,0,0,0,0,0,0,8,0,0,0
Manor Solomon,RW,2023-2024,24,il ISR,Tottenham,eng Premier League,5,199,2.2,2,3,7,0,0,1,16.8,0,0.4,1.2,0.8,1.2,-0.4,-0.4,+1.2,0.06,7,0,0,1,14.3,16.8,0,125,1,14,83,20,125,2,2,0,0,0,0,78,90,86.7,7,1,11,1105,196,45,48,93.8,28,3,75,0,2,2,0,0,0,90,0,2,2
Riccardo Sottil,LW,2023-2024,24,it ITA,Fiorentina,it Serie A,22,1103,12.3,13,9,34,0.06,0.15,13,17,1,2.6,5.1,2.4,5.1,-0.6,-0.6,+0.5,0.08,34,0.06,0.15,13,38.2,17,1,563,3,32,361,63,563,3,5,2,0,0,0,331,421,78.6,16,7,33,5471,827,161,184,87.5,142,20,57.1,2,3,5,0,0,0,419,2,3,5
Matìas Soulé,RW,2023-2024,20,ar ARG,2 Teams,it Serie A,36,3121,34.7,36,0,77,0.08,0.33,18,22.2,7,10.5,17,5.3,12.3,+0.5,+0.3,-3.6,0.07,77,0.08,0.33,18,23.4,22.2,7,2015,18,194,947,102,2009,3,14,6,5,6,1,1197,1535,78,78,12,198,18531,5372,654,749,87.3,411,89,54.6,11,3,14,5,6,1,1387,11,3,14
Issa Soumaré,LW,2023-2024,22,sn SEN,Le Havre,fr Ligue 1,7,237,2.6,3,4,5,0,0,1,22.8,0,0.4,1,0.1,1,-0.4,-0.4,-0.6,0.08,5,0,0,1,20,22.8,0,98,4,8,43,6,98,0,0,0,0,0,0,33,62,53.2,0,0,4,428,98,20,32,62.5,10,0,0,0,0,0,0,0,0,58,0,0,0
Alexander Sørloth,ST,2023-2024,27,no NOR,Villarreal,es La Liga,34,2489,27.7,30,4,78,0.29,0.64,36,12.1,0,12.3,16.7,3,16.7,+10.7,+10.7,+1.6,0.16,78,0.29,0.64,36,46.2,12.1,0,797,33,61,417,150,797,6,29,23,0,0,0,357,476,75,15,1,40,4827,666,228,271,84.1,107,11,55,23,6,29,0,0,0,448,23,6,29
Raheem Sterling,LW,2023-2024,28,eng ENG,Chelsea,eng Premier League,31,1978,22,22,9,51,0.16,0.38,21,14.5,5,6.5,11,4.3,11,+1.5,+1.5,-0.5,0.13,51,0.16,0.38,21,41.2,14.5,5,1019,8,77,638,167,1019,4,12,8,0,0,0,538,728,73.9,35,7,78,7091,1775,363,428,84.8,135,18,54.5,8,4,12,0,0,0,716,8,4,12
Trivante Stewart,ST,2023-2024,23,jm JAM,Salernitana,it Serie A,4,100,1.1,0,4,2,0,0,1,22.7,0,0.1,0.1,0,0.1,-0.1,-0.1,-0.1,0.04,2,0,0,1,50,22.7,0,39,0,2,22,6,39,0,0,0,0,0,0,18,27,66.7,0,0,0,266,20,12,13,92.3,5,1,50,0,0,0,0,0,0,21,0,0,0
Filip Stojilković,ST,2023-2024,23,ch SUI,Darmstadt 98,de Bundesliga,6,154,1.7,0,6,4,0,0,1,20.5,0,0.2,0.2,0,0.2,-0.2,-0.2,0,0.05,4,0,0,1,25,20.5,0,35,1,2,21,8,35,0,0,0,0,0,0,10,21,47.6,1,0,3,176,45,3,8,37.5,7,0,,0,0,0,0,0,0,20,0,0,0
Jørgen Strand Larsen,ST,2023-2024,23,no NOR,Celta Vigo,es La Liga,37,2863,31.8,36,1,82,0.16,0.37,35,11.2,0,14.5,17,2.1,17,-1.5,-1.5,+0.5,0.18,82,0.16,0.37,35,42.7,11.2,0,997,19,69,471,165,997,3,16,13,0,0,0,423,618,68.4,15,3,25,5082,766,286,370,77.3,85,15,65.2,13,3,16,0,0,0,587,13,3,16
Gabriel Strefezza,RW,2023-2024,26,br BRA,Lecce,it Serie A,19,1112,12.4,13,6,27,0,0,5,22.8,1,2.5,3.6,1.3,2.8,-1.5,-1.7,-1.2,0.06,27,0,0,5,18.5,22.8,1,561,11,61,278,21,560,0,1,0,1,1,0,300,412,72.8,20,7,54,5197,1463,151,174,86.8,103,37,52.9,1,0,1,1,1,0,352,1,0,1
Cristhian Stuani,ST,2023-2024,36,uy URU,Girona,es La Liga,31,804,8.9,5,26,34,0.26,0.53,17,9,0,9.6,11.5,0.5,11.5,-0.6,-0.6,+1.1,0.3,34,0.26,0.53,17,50,9,0,218,16,34,94,47,218,3,12,9,0,0,0,84,115,73,1,0,5,1007,130,53,68,77.9,21,2,40,9,3,12,0,0,0,101,9,3,12
Isaac Success,ST,2023-2024,27,ng NGA,Udinese,it Serie A,27,880,9.8,9,18,18,0.06,0.25,4,16.9,0,2.7,3.8,0.6,3,-1.7,-0.9,-0.1,0.11,18,0.06,0.25,4,22.2,16.9,0,332,14,28,151,28,331,1,2,1,0,1,1,130,204,63.7,4,0,17,1955,467,76,111,68.5,35,11,52.4,1,1,2,0,1,1,201,1,1,2
Max Svensson,ST,2023-2024,,es ESP,Osasuna,es La Liga,1,3,0,0,1,0,,,0,,0,0,0,0,0,0,0,0,,0,,,0,,,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Williot Swedberg,LW,2023-2024,19,se SWE,Celta Vigo,es La Liga,15,439,4.9,4,11,12,0.42,0.83,6,14.8,0,2.3,2.5,0.7,2.5,+2.7,+2.7,-0.2,0.19,12,0.42,0.83,6,50,14.8,0,175,1,22,87,23,175,0,5,5,0,0,0,80,108,74.1,3,1,6,1055,244,45,56,80.4,21,4,66.7,5,0,5,0,0,0,102,5,0,5
Karol Świderski,ST,2023-2024,26,pl POL,Hellas Verona,it Serie A,15,504,5.6,3,12,15,0.13,0.33,6,13.7,0,1.7,2.2,0.6,2.2,+0.3,+0.3,-0.4,0.12,15,0.13,0.33,6,40,13.7,0,200,6,25,88,22,200,0,2,2,0,0,0,84,120,70,4,1,13,1154,281,45,55,81.8,30,2,40,2,0,2,0,0,0,108,2,0,2
Mamadou Sylla,ST,2023-2024,29,sn SEN,Alavés,es La Liga,2,18,0.2,0,2,0,,,0,,0,0,0,0,0,0,0,0,,0,,,0,,,0,13,1,3,4,0,13,0,0,0,0,0,0,3,7,42.9,0,0,1,64,6,1,4,25,1,1,100,0,0,0,0,0,0,6,0,0,0
Musa Al-Taamari,RW,2023-2024,26,jo JOR,Montpellier,fr Ligue 1,27,1928,21.4,24,3,46,0.11,0.26,19,17.8,0,3.6,7.1,2,7.1,+1.4,+1.4,-1.5,0.08,46,0.11,0.26,19,41.3,17.8,0,843,8,95,444,92,843,2,7,5,0,0,0,402,553,72.7,28,0,54,5492,1444,233,290,80.3,119,16,61.5,5,2,7,0,0,0,515,5,2,7
Yassin Tallal,LW,2023-2024,18,es ESP,Getafe,es La Liga,1,3,0,0,1,0,,,0,,0,0,0,0,0,0,0,0,,0,,,0,,,0,3,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Marcus Tavernier,LW,2023-2024,24,eng ENG,Bournemouth,eng Premier League,30,2118,23.5,25,5,53,0.06,0.19,16,20,4,3.9,9.1,4.2,9.1,-0.9,-0.9,-1.2,0.07,53,0.06,0.19,16,30.2,20,4,1246,34,182,686,94,1246,4,7,3,0,0,0,658,920,71.5,35,7,84,10699,3392,358,421,85,222,60,42.3,3,4,7,0,0,0,790,3,4,7
Loum Tchaouna,SS,2023-2024,19,fr FRA,Salernitana,it Serie A,33,2100,23.3,23,10,44,0.09,0.27,15,20.3,0,2.6,4.1,1.3,4.1,+1.4,+1.4,+1.5,0.06,44,0.09,0.27,15,34.1,20.3,0,1026,12,120,448,72,1026,3,7,4,0,0,0,505,766,65.9,22,7,59,7384,2039,298,375,79.5,151,34,45.3,4,3,7,0,0,0,717,4,3,7
Mathys Tel,LW,2023-2024,18,fr FRA,Bayern Munich,de Bundesliga,30,1050,11.7,6,24,43,0.16,0.39,18,15.9,0,3.7,6,3,6,+3.3,+3.3,+2.7,0.09,43,0.16,0.39,18,41.9,15.9,0,589,7,62,333,80,589,5,12,7,0,0,0,340,410,82.9,19,6,27,5395,862,183,204,89.7,135,18,72,7,5,12,0,0,0,389,7,5,12
Martin Terrier,SS,2023-2024,26,fr FRA,Rennes,fr Ligue 1,24,1527,17,19,5,38,0.18,0.44,16,12.8,0,5.2,7.8,2.4,7.8,+1.8,+1.8,+0.4,0.14,38,0.18,0.44,16,42.1,12.8,0,679,19,75,323,87,679,3,10,7,0,0,0,395,497,79.5,18,0,58,5865,1309,220,277,79.4,135,23,95.8,7,3,10,0,0,0,480,7,3,10
Benjamin Tetteh,ST,2023-2024,26,gh GHA,Metz,fr Ligue 1,12,278,3.1,1,11,3,0,0,1,17.6,0,0.3,0.3,0.2,0.3,-0.3,-0.3,-0.1,0.09,3,0,0,1,33.3,17.6,0,112,1,11,34,7,112,0,0,0,0,0,0,49,77,63.6,0,0,6,633,148,24,37,64.9,19,0,0,0,0,0,0,0,0,71,0,0,0
Florian Thauvin,SS,2023-2024,30,fr FRA,Udinese,it Serie A,29,1710,19,19,10,47,0.09,0.29,14,18.2,4,4.7,9,4.1,8.2,+0.3,+0.1,-1.2,0.08,47,0.09,0.29,14,29.8,18.2,4,774,4,70,385,82,773,3,8,4,1,1,0,385,548,70.3,39,16,69,6704,2190,189,231,81.8,131,49,53.8,5,3,8,1,1,0,468,5,3,8
Jan Thielmann,RW,2023-2024,21,de GER,Köln,de Bundesliga,22,1579,17.5,20,2,37,0.03,0.08,12,18.8,0,2.3,3.3,1.2,3.3,-1.3,-1.3,-1.1,0.06,37,0.03,0.08,12,32.4,18.8,0,760,35,177,272,34,760,0,1,1,0,0,0,364,551,66.1,13,8,51,6590,2186,150,201,74.6,172,38,48.1,1,0,1,0,0,0,465,1,0,1
Marcus Thuram,ST,2023-2024,25,fr FRA,Inter,it Serie A,35,2687,29.9,34,1,77,0.17,0.45,29,11.8,0,14.3,18,3.6,18,-1.3,-1.3,+3.3,0.19,77,0.17,0.45,29,37.7,11.8,0,967,26,83,474,176,967,7,20,13,0,0,0,476,656,72.6,19,4,47,5687,1049,313,396,79,100,16,66.7,13,7,20,0,0,0,641,13,7,20
Cheikh Tidiane Sabaly,LW,2023-2024,24,sn SEN,Metz,fr Ligue 1,29,1379,15.3,17,12,21,0.14,0.33,9,17.6,0,2.7,3.8,0.7,3.8,+0.3,+0.3,-0.2,0.13,21,0.14,0.33,9,42.9,17.6,0,571,23,117,215,45,571,1,4,3,0,0,0,290,370,78.4,4,0,36,4575,1070,139,175,79.4,123,17,81,3,1,4,0,0,0,367,3,1,4
Phillip Tietz,ST,2023-2024,26,de GER,Augsburg,de Bundesliga,34,2382,26.5,31,3,52,0.15,0.44,18,15.1,1,8.2,10.8,3.4,10.8,-0.2,-0.2,+1.4,0.16,52,0.15,0.44,18,34.6,15.1,1,815,37,89,382,122,815,4,12,8,0,0,0,332,534,62.2,15,1,51,4822,1198,191,280,68.2,101,22,61.1,8,4,12,0,0,0,520,8,4,12
Steffen Tigges,ST,2023-2024,25,de GER,Köln,de Bundesliga,25,727,8.1,6,19,22,0.14,0.33,9,13,0,2.6,4.1,0.7,4.1,+0.4,+0.4,-1.6,0.16,22,0.14,0.33,9,40.9,13,0,295,14,33,102,35,295,0,3,3,0,0,0,118,203,58.1,5,0,10,1535,310,69,115,60,38,2,33.3,3,0,3,0,0,0,196,3,0,3
Raúl de Tomás,ST,2023-2024,28,es ESP,Rayo Vallecano,es La Liga,25,1272,14.1,15,10,38,0,0,11,18.5,3,3.4,4.7,0.4,3.9,-2.4,-2.6,+0.7,0.07,38,0,0,11,28.9,18.5,3,439,12,33,183,58,438,2,3,0,1,1,0,207,272,76.1,3,0,23,3281,443,110,132,83.3,61,21,72.4,1,2,3,1,1,0,250,1,2,3
Tiago Tomás,LW,2023-2024,21,pt POR,Wolfsburg,de Bundesliga,26,1032,11.5,11,15,27,0.04,0.1,10,13.5,0,2.7,3.5,0.9,3.5,-1.7,-1.7,+0.2,0.1,27,0.04,0.1,10,37,13.5,0,447,9,61,206,53,447,1,2,1,0,0,0,181,278,65.1,10,1,17,2524,435,112,145,77.2,54,8,38.1,1,1,2,0,0,0,264,1,1,2
Ivan Toney,ST,2023-2024,27,eng ENG,Brentford,eng Premier League,17,1450,16.1,16,1,51,0.08,0.19,21,17.4,8,6,7.4,1.4,7.4,-2,-2,+0.5,0.12,51,0.08,0.19,21,41.2,17.4,8,620,20,74,273,67,620,2,6,4,0,0,0,228,426,53.5,18,5,40,2972,1188,135,219,61.6,56,15,48.4,4,2,6,0,0,0,395,4,2,6
