,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Att,Launch%,AvgLen,Opp,Stp,Stp%,PSxG,PSxG/SoT,PSxG+/-,PKatt,PKA,PKsv,PKm,Save%.1,#OPA,AvgDist
113,Wojciech Szczęsny,GK,2023-2024,33,Poland,Juventus,Serie A,35,3150,35.0,35,0,30,108,79,74.1,17,13,5,15,42.9,174,43.1,40.2,555,26,4.7,28.3,0.24,0.3,3,2,1,0,33.3,20,11.6
114,Marc-André ter Stegen,GK,2023-2024,31,Germany,Barcelona,La Liga,28,2520,28.0,28,0,27,102,75,75.5,20,5,3,15,53.6,163,25.8,30.9,334,13,3.9,27.7,0.25,0.7,2,2,0,0,0.0,31,15.6
115,Pietro Terracciano,GK,2023-2024,33,Italy,Fiorentina,Serie A,33,2970,33.0,33,0,35,126,90,77.0,15,8,10,8,24.2,176,43.8,38.2,307,7,2.3,40.2,0.27,5.2,7,6,1,0,14.3,23,14.6
116,James Trafford,GK,2023-2024,20,England,Burnley,Premier League,28,2520,28.0,28,0,62,166,106,65.7,3,5,20,2,7.1,198,78.3,54.2,419,30,7.2,54.1,0.3,-5.9,5,5,0,0,0.0,43,15.0
117,Kevin Trapp,GK,2023-2024,33,Germany,Eint Frankfurt,Bundesliga,32,2880,32.0,32,0,48,137,87,71.5,10,13,9,7,21.9,212,41.0,36.2,452,16,3.5,48.3,0.28,0.3,11,9,2,0,18.2,30,15.2
118,Mark Travers,GK,2023-2024,24,Ireland,Bournemouth,Premier League,4,360,4.0,4,0,5,18,13,77.8,2,0,2,2,50.0,26,80.8,55.6,60,3,5.0,5.0,0.23,0.0,1,1,0,0,0.0,3,14.8
119,Stefano Turati,GK,2023-2024,21,Italy,Frosinone,Serie A,31,2745,30.5,31,0,58,152,94,65.1,6,9,16,4,12.9,144,45.1,38.8,412,18,4.4,47.5,0.28,-9.5,7,5,1,1,16.7,19,13.7
120,Matt Turner,GK,2023-2024,29,United States,Nott'ham Forest,Premier League,17,1530,17.0,17,0,28,80,52,67.5,4,5,8,2,11.8,136,69.1,47.0,296,30,10.1,22.1,0.26,-5.9,2,2,0,0,0.0,18,13.3
121,Sven Ulreich,GK,2023-2024,34,Germany,Bayern Munich,Bundesliga,11,990,11.0,11,0,12,31,19,64.5,7,2,2,4,36.4,47,17.0,26.4,108,5,4.6,11.8,0.35,-0.2,1,1,0,0,0.0,16,19.9
122,Álvaro Vallés,GK,2023-2024,26,Spain,Las Palmas,La Liga,37,3263,36.3,37,0,44,152,108,74.3,10,10,17,8,21.6,151,42.4,39.1,521,29,5.6,48.7,0.28,7.7,9,5,3,1,37.5,96,17.8
123,Bart Verbruggen,GK,2023-2024,20,Netherlands,Brighton,Premier League,21,1890,21.0,21,0,28,91,63,72.5,7,8,6,4,19.0,72,9.7,15.7,232,17,7.3,25.4,0.25,-2.6,3,3,0,0,0.0,31,15.8
124,Guglielmo Vicario,GK,2023-2024,26,Italy,Tottenham,Premier League,38,3420,38.0,38,0,61,167,109,67.7,20,6,12,7,18.4,201,14.9,22.2,511,33,6.5,60.0,0.32,2.0,7,7,0,0,0.0,81,17.1
125,Iván Villar,GK,2023-2024,26,Spain,Celta Vigo,La Liga,12,1014,11.3,12,0,18,44,26,63.6,2,4,6,0,0.0,98,60.2,45.7,136,5,3.7,16.3,0.31,-0.7,3,2,1,0,33.3,9,13.2
126,Odisseas Vlachodimos,GK,2023-2024,29,Greece,Nott'ham Forest,Premier League,5,450,5.0,5,0,12,22,10,50.0,1,0,4,1,20.0,44,61.4,44.3,92,3,3.3,7.9,0.31,-4.1,1,1,0,0,0.0,2,10.3
127,Robin Zentner,GK,2023-2024,28,Germany,Mainz 05,Bundesliga,30,2700,30.0,30,0,48,128,81,64.8,7,12,11,7,23.3,177,58.8,46.4,393,42,10.7,49.2,0.37,2.2,4,3,0,1,0.0,48,16.0
128,Michael Zetterer,GK,2023-2024,28,Germany,Werder Bremen,Bundesliga,27,2430,27.0,27,0,37,128,92,74.2,9,9,9,6,22.2,144,36.1,38.1,407,34,8.4,41.0,0.3,5.0,4,4,0,0,0.0,30,14.6
