Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Cheick Konaté,RB,2023-2024,19,ml MLI,Clermont Foot,fr Ligue 1,19,1068,11.9,12,7,2,412,2487,1113,22,19,8,19,13,375,86,319,484,65.9,16,27,13,6,37,5214,1779,162,210,77.1,125,175,71.4,24,70,34.3,1,1,2,1,0,0,0,26,15,17,9,0,20,36,55.6,16,16,2,14,13,39,21,0,7,12,36.8
Ibrahima Konaté,CB,2023-2024,24,fr FRA,Liverpool,eng Premier League,22,1574,17.5,17,5,11,1081,5747,3590,24,17,0,8,5,1162,3,1286,1463,87.9,8,145,8,0,118,22733,9043,514,566,90.8,673,718,93.7,81,140,57.9,0,0,0,0,0,0,0,36,22,22,13,1,18,24,75,6,18,12,6,20,56,51,1,77,31,71.3
Abdoul Koné,RB,2023-2024,18,fr FRA,Reims,fr Ligue 1,3,193,2.1,3,0,0,65,359,116,3,1,1,4,0,52,1,53,85,62.4,2,6,1,0,5,1041,401,19,24,79.2,26,42,61.9,8,17,47.1,0,0,0,0,0,0,0,7,7,5,2,0,4,11,36.4,7,2,0,2,2,9,9,0,0,1,0
Ezri Konsa,CB,2023-2024,25,eng ENG,Aston Villa,eng Premier League,35,3069,34.1,35,0,0,1535,6930,3700,37,20,3,26,17,1669,33,1907,2094,91.1,8,132,14,2,136,31947,10672,827,878,94.2,959,1029,93.2,95,129,73.6,1,0,1,1,0,0,0,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3,30,14,68.2
Odilon Kossonou,CB,2023-2024,22,ci CIV,Leverkusen,de Bundesliga,22,1811,20.1,21,1,7,953,5398,2880,48,35,4,12,15,1154,23,1274,1428,89.2,10,155,16,0,141,19913,6199,680,733,92.8,497,535,92.9,75,105,71.4,1,0,1,1,0,0,0,30,20,11,12,7,15,26,57.7,11,27,3,24,27,57,43,1,23,17,57.5
Filip Kostić,LWB,2023-2024,30,rs SRB,Juventus,it Serie A,29,1815,20.2,26,3,8,614,3619,2012,64,52,11,30,16,720,95,726,997,72.8,40,53,30,19,88,12641,4579,339,386,87.8,308,396,77.8,65,152,42.8,0,4,4,0,0,0,0,37,23,20,13,4,17,33,51.5,16,29,8,21,9,46,43,0,11,17,39.3
Koffi Kouao,RB,2023-2024,25,ci CIV,Metz,fr Ligue 1,13,860,9.6,10,3,16,293,1742,705,10,11,3,17,3,252,29,317,401,79.1,6,23,7,4,29,5434,2296,155,176,88.1,129,157,82.2,28,56,50,0,2,2,0,0,0,0,20,13,12,7,1,11,17,64.7,6,9,6,3,13,33,38,1,13,6,68.4
Therence Koudou,RB,2023-2024,18,fr FRA,Reims,fr Ligue 1,9,314,3.5,3,6,5,122,645,309,8,3,1,3,4,107,21,142,173,82.1,5,8,3,2,14,2412,704,62,69,89.9,66,73,90.4,10,21,47.6,0,0,0,0,0,0,0,2,2,1,1,0,0,2,0,2,4,3,1,4,6,9,0,1,7,12.5
Jules Koundé,CB,2023-2024,24,fr FRA,Barcelona,es La Liga,35,2899,32.2,32,3,2,1910,9350,5961,67,67,2,25,12,2187,64,2478,2757,89.9,23,267,20,5,245,41514,13135,1192,1263,94.4,1090,1164,93.6,156,237,65.8,1,2,3,1,0,0,0,37,23,22,10,5,28,51,54.9,23,32,12,20,25,62,83,5,71,44,61.7
Boubakar Kouyaté,CB,2023-2024,26,ml MLI,Montpellier,fr Ligue 1,23,1928,21.4,22,1,1,704,3753,1773,4,3,1,15,2,622,3,719,873,82.4,5,49,1,0,58,14305,5064,217,251,86.5,387,436,88.8,99,155,63.9,0,2,2,0,0,0,0,49,30,39,8,2,28,51,54.9,23,31,20,11,29,78,123,1,61,28,68.5
Emil Krafth,RB,2023-2024,28,se SWE,Newcastle Utd,eng Premier League,17,913,10.1,8,9,11,358,1588,720,12,9,1,8,3,423,33,488,580,84.1,9,26,13,7,29,7498,2971,246,275,89.5,216,236,91.5,15,39,38.5,0,0,0,0,0,0,0,21,14,10,7,4,12,25,48,13,8,3,5,9,30,21,0,13,15,46.4
Frans Krätzig,LWB,2023-2024,20,de GER,Bayern Munich,de Bundesliga,4,56,0.6,0,4,16,38,220,108,0,1,0,1,2,42,7,45,50,90,2,3,1,0,7,705,183,24,26,92.3,18,20,90,2,3,66.7,0,0,0,0,0,0,0,2,0,2,0,0,1,2,50,1,0,0,0,0,2,0,0,0,0,
Rasmus Kristensen,RB,2023-2024,26,dk DEN,Roma,it Serie A,29,1744,19.4,19,10,6,571,2020,914,16,9,6,14,5,760,115,799,1037,77,12,35,11,8,40,12574,3602,413,468,88.2,323,408,79.2,43,100,43,1,1,2,1,0,0,0,36,19,25,8,3,28,50,56,22,27,7,20,8,44,50,0,30,21,58.8
Thomas Kristensen,CB,2023-2024,21,dk DEN,Udinese,it Serie A,26,2096,23.3,23,3,6,474,2640,1233,20,10,1,17,5,536,3,662,863,76.7,4,33,2,0,47,12745,5457,262,307,85.3,316,399,79.2,77,132,58.3,0,1,1,0,0,0,0,35,24,25,10,0,21,33,63.6,12,29,20,9,29,64,118,0,58,40,59.2
Lukas Kübler,LB,2023-2024,30,de GER,Freiburg,de Bundesliga,26,1847,20.5,22,4,3,554,2385,981,13,14,0,7,6,615,32,805,1030,78.2,4,74,4,2,70,13760,4910,379,427,88.8,340,423,80.4,74,146,50.7,1,0,1,1,0,0,0,50,24,35,13,2,26,42,61.9,16,36,14,22,37,87,57,1,35,25,58.3
Sael Kumbedi,RB,2023-2024,18,fr FRA,Lyon,fr Ligue 1,17,924,10.3,8,9,10,500,2673,1384,19,22,4,20,7,451,75,470,592,79.4,5,30,11,4,42,7036,1816,266,306,86.9,180,224,80.4,14,40,35,0,1,1,0,0,0,0,30,20,14,12,4,9,22,40.9,13,12,3,9,14,44,18,2,4,9,30.8
Marash Kumbulla,CB,2023-2024,23,al ALB,Sassuolo,it Serie A,7,362,4,3,4,9,63,348,224,2,0,0,0,0,74,0,83,106,78.3,0,5,2,0,3,1761,785,20,22,90.9,52,59,88.1,8,20,40,0,0,0,0,0,0,0,3,2,2,1,0,1,2,50,1,8,6,2,0,3,22,0,4,4,50
Layvin Kurzawa,LB,2023-2024,30,fr FRA,Paris S-G,fr Ligue 1,1,9,0.1,0,1,12,10,51,27,0,0,0,0,0,10,1,13,13,100,0,0,0,0,0,206,38,7,7,100,4,4,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
Giorgos Kyriakopoulos,LWB,2023-2024,27,gr GRE,Monza,it Serie A,28,1712,19,20,8,10,765,4410,2611,64,37,13,16,10,845,94,891,1080,82.5,21,62,20,12,70,15032,4779,446,472,94.5,366,434,84.3,64,120,53.3,0,3,3,0,0,0,0,19,10,16,3,0,11,24,45.8,13,18,1,17,13,32,28,0,12,20,37.5
Maxence Lacroix,CB,2023-2024,23,fr FRA,Wolfsburg,de Bundesliga,28,2362,26.2,27,1,0,925,4290,2119,5,9,0,20,1,1077,5,1228,1449,84.7,8,91,6,2,79,24787,9524,396,448,88.4,674,748,90.1,150,216,69.4,4,1,5,4,0,0,0,48,29,28,18,2,29,41,70.7,12,35,12,23,24,72,121,0,64,50,56.1
Yoel Lago,CB,2023-2024,19,es ESP,Celta Vigo,es La Liga,1,90,1,1,0,0,76,324,137,0,0,0,0,0,77,0,82,86,95.3,0,0,0,0,2,1376,591,35,38,92.1,43,43,100,3,3,100,0,0,0,0,0,0,0,2,0,2,0,0,0,0,,0,1,0,1,0,2,2,0,0,0,
Stefan Lainer,RB,2023-2024,30,at AUT,Gladbach,de Bundesliga,15,751,8.3,8,7,2,295,1315,606,15,14,3,10,4,352,31,375,483,77.6,8,22,12,4,37,5727,1973,203,232,87.5,151,191,79.1,15,38,39.5,0,1,1,0,0,0,0,23,16,15,8,0,14,24,58.3,10,13,6,7,5,28,28,0,7,12,36.8
Kenny Lala,RB,2023-2024,31,mg MAD,Brest,fr Ligue 1,33,2970,33,33,0,0,1617,9146,3750,45,51,3,21,12,1461,98,1713,2195,78,35,164,45,19,200,35548,12428,600,693,86.6,773,938,82.4,321,488,65.8,2,3,5,2,0,0,0,78,51,39,28,11,30,56,53.6,26,27,6,21,28,106,75,1,7,14,33.3
Tariq Lamptey,RB,2023-2024,22,gh GHA,Brighton,eng Premier League,19,914,10.2,10,9,0,354,2092,1218,39,17,12,22,2,382,64,379,454,83.5,10,6,12,6,17,5485,916,217,242,89.7,135,163,82.8,13,22,59.1,0,3,3,0,0,0,0,21,14,14,5,2,13,22,59.1,9,7,3,4,6,27,6,0,4,9,30.8
Bruno Langa,LB,2023-2024,25,mz MOZ,Almería,es La Liga,11,820,9.1,9,2,4,243,1250,720,14,10,2,5,3,265,30,307,400,76.8,7,18,8,3,25,5062,2470,153,176,86.9,123,153,80.4,24,51,47.1,1,0,1,1,0,0,0,17,12,10,5,2,6,14,42.9,8,11,4,7,4,21,33,2,2,6,25
Aymeric Laporte,CB,2023-2024,29,es ESP,Manchester City,eng Premier League,1,12,0.1,0,1,0,10,23,1,0,0,0,0,0,10,0,11,11,100,0,0,0,0,0,202,48,4,4,100,7,7,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,
Julien Laporte,CB,2023-2024,29,fr FRA,Lorient,fr Ligue 1,23,1818,20.2,20,3,10,876,4611,2433,5,3,1,1,2,819,3,883,1023,86.3,1,66,7,1,56,18687,7085,251,271,92.6,482,515,93.6,140,219,63.9,0,0,0,0,0,0,0,23,14,15,7,1,16,36,44.4,20,36,26,10,11,34,116,1,38,34,52.8
Jamaal Lascelles,CB,2023-2024,29,eng ENG,Newcastle Utd,eng Premier League,16,1080,12,13,3,10,519,2493,1461,8,6,0,2,4,634,3,669,774,86.4,2,38,1,0,31,11616,3694,252,275,91.6,383,421,91,29,61,47.5,1,0,1,1,0,0,0,14,9,7,7,0,6,11,54.5,5,17,12,5,5,19,42,0,47,24,66.2
Toni Lato,LWB,2023-2024,25,es ESP,Mallorca,es La Liga,28,1544,17.2,16,12,7,432,1860,911,30,23,8,17,7,494,110,595,788,75.5,10,26,14,9,39,9743,3108,309,352,87.8,233,306,76.1,42,87,48.3,0,1,1,0,0,0,0,38,23,19,13,6,16,27,59.3,11,17,3,14,17,55,27,0,10,19,34.5
Valentino Lazaro,RWB,2023-2024,27,at AUT,Torino,it Serie A,35,1994,22.2,21,14,2,713,3505,1736,53,29,10,35,8,792,106,839,1106,75.9,34,64,32,16,94,13621,4761,425,467,91,323,426,75.8,63,143,44.1,0,4,4,0,0,0,0,18,11,7,9,2,13,19,68.4,6,14,1,13,8,26,29,0,14,20,41.2
Manuel Lazzari,RB,2023-2024,29,it ITA,Lazio,it Serie A,24,1671,18.6,19,5,10,609,4072,2553,73,53,6,19,5,727,104,826,975,84.7,9,57,12,8,62,12173,3791,456,490,93.1,316,370,85.4,30,60,50,0,2,2,0,0,0,0,26,18,13,10,3,18,28,64.3,10,20,4,16,12,38,37,1,5,16,23.8
Théo Le Bris,LWB,2023-2024,20,fr FRA,Lorient,fr Ligue 1,26,1516,16.8,15,11,8,597,3700,1724,56,38,8,30,7,551,117,531,680,78.1,13,21,18,2,58,7815,2186,305,360,84.7,195,243,80.2,16,34,47.1,0,2,2,0,0,0,0,35,22,25,7,3,19,40,47.5,21,24,3,21,12,47,42,0,7,11,38.9
Julien Le Cardinal,CB,2023-2024,25,fr FRA,Brest,fr Ligue 1,14,531,5.9,5,9,14,224,1476,689,4,4,0,5,1,198,6,235,290,81,2,20,0,0,28,4774,2081,74,88,84.1,104,122,85.2,48,65,73.8,0,0,0,0,0,0,0,25,13,15,9,1,12,21,57.1,9,8,4,4,13,38,26,0,12,9,57.1
Vincent Le Goff,LWB,2023-2024,33,fr FRA,Lorient,fr Ligue 1,9,541,6,8,1,7,261,1333,720,9,10,1,4,2,234,51,252,322,78.3,9,17,4,0,22,3932,1509,135,152,88.8,92,118,78,18,37,48.6,1,1,2,1,0,0,0,5,0,4,0,1,4,8,50,4,11,3,8,3,8,10,0,2,2,50
Robin Le Normand,CB,2023-2024,26,es ESP,Real Sociedad,es La Liga,29,2469,27.4,28,1,6,1242,7060,4021,21,16,0,16,6,1359,1,1562,1765,88.5,3,94,0,0,106,31232,8514,479,524,91.4,886,955,92.8,186,249,74.7,2,0,2,2,0,0,0,31,22,16,15,0,17,30,56.7,13,26,15,11,28,59,96,1,110,60,64.7
Diogo Leite,CB,2023-2024,24,pt POR,Union Berlin,de Bundesliga,32,2702,30,31,1,0,982,4458,2495,14,9,2,24,7,1128,4,1263,1581,79.9,6,113,3,1,121,23047,9175,511,569,89.8,596,687,86.8,126,249,50.6,0,0,0,0,0,0,0,52,36,31,15,6,25,51,49,26,48,22,26,47,99,155,1,71,44,61.7
Maxim Leitsch,CB,2023-2024,25,de GER,Mainz 05,de Bundesliga,7,379,4.2,4,3,1,98,388,170,1,0,0,1,0,101,0,133,171,77.8,0,7,1,0,7,2803,1006,35,51,68.6,79,92,85.9,17,24,70.8,0,0,0,0,0,0,0,6,3,5,1,0,3,6,50,3,2,0,2,4,10,13,0,13,6,68.4
Florian Lejeune,CB,2023-2024,32,fr FRA,Rayo Vallecano,es La Liga,37,3327,37,37,0,0,1250,5730,2951,15,6,0,13,4,1494,4,1636,2031,80.6,9,137,5,1,114,35738,16035,430,489,87.9,927,997,93,262,494,53,3,1,4,3,0,0,0,39,25,26,11,2,19,30,63.3,11,33,18,15,23,62,155,1,80,49,62
Stefan Lekovic,CB,2023-2024,19,rs SRB,Villarreal,es La Liga,1,29,0.3,0,1,3,4,6,1,0,0,0,0,0,11,0,12,14,85.7,0,0,0,0,0,210,29,7,8,87.5,3,4,75,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,
Iñigo Lekue,LB,2023-2024,30,es ESP,Athletic Club,es La Liga,27,2002,22.2,22,5,9,706,3819,1993,44,30,1,17,9,825,35,1012,1273,79.5,17,86,16,7,119,17290,6247,440,499,88.2,489,577,84.7,69,143,48.3,0,2,2,0,0,0,0,40,22,25,10,5,27,53,50.9,26,24,6,18,15,55,50,0,15,9,62.5
Álvaro Lemos,RB,2023-2024,30,es ESP,Las Palmas,es La Liga,4,251,2.8,3,1,18,118,536,241,6,7,0,4,0,127,8,145,185,78.4,0,12,2,0,17,2198,488,89,95,93.7,46,60,76.7,9,23,39.1,0,0,0,0,0,0,0,4,1,1,3,0,0,2,0,2,3,1,2,2,6,4,0,5,2,71.4
Ruben Lendinez,CB,2023-2024,20,es ESP,Valencia,es La Liga,1,11,0.1,0,1,17,1,2,0,0,0,0,0,0,5,3,6,6,100,0,0,0,0,0,90,11,3,3,100,3,3,100,0,0,,0,0,0,0,0,0,0,2,2,0,2,0,1,1,100,0,0,0,0,0,2,1,0,0,0,
Clément Lenglet,CB,2023-2024,28,fr FRA,Aston Villa,eng Premier League,14,1153,12.8,14,0,20,727,4422,2819,26,18,0,3,3,786,1,822,918,89.5,2,34,3,0,51,15524,5173,302,319,94.7,431,457,94.3,82,127,64.6,0,1,1,0,0,0,0,13,9,7,5,1,7,13,53.8,6,19,11,8,7,20,47,1,15,11,57.7
Christopher Lenz,LB,2023-2024,28,de GER,RB Leipzig,de Bundesliga,6,57,0.6,0,6,21,24,100,50,1,1,0,2,1,40,7,43,58,74.1,1,4,0,0,3,717,264,15,16,93.8,25,27,92.6,1,10,10,0,0,0,0,0,0,0,3,2,2,1,0,2,2,100,0,0,0,0,2,5,3,0,2,1,66.7
Rico Lewis,RB,2023-2024,18,eng ENG,Manchester City,eng Premier League,16,809,9,8,8,22,380,1758,964,21,20,5,2,12,486,46,518,568,91.2,13,29,9,0,33,7100,1127,339,351,96.6,159,170,93.5,12,20,60,2,0,2,2,0,0,0,10,7,4,4,2,3,7,42.9,4,7,1,6,4,14,6,0,0,6,0
Philipp Lienhart,CB,2023-2024,27,at AUT,Freiburg,de Bundesliga,15,1265,14.1,14,1,1,730,4866,2716,14,12,0,7,0,738,3,814,982,82.9,3,51,5,0,53,16894,6421,236,268,88.1,465,501,92.8,111,199,55.8,1,0,1,1,0,0,0,20,13,14,5,1,13,23,56.5,10,18,11,7,14,34,51,0,33,14,70.2
Matthijs de Ligt,CB,2023-2024,23,nl NED,Bayern Munich,de Bundesliga,22,1390,15.4,16,6,4,851,4373,2423,16,15,2,9,2,1022,6,1120,1193,93.9,3,109,1,1,98,21822,7091,313,330,94.8,709,730,97.1,93,121,76.9,2,0,2,2,0,0,0,15,12,4,8,3,6,11,54.5,5,14,10,4,19,34,52,0,41,28,59.4
Victor Lindelöf,CB,2023-2024,29,se SWE,Manchester Utd,eng Premier League,19,1328,14.8,14,5,2,620,3077,1621,17,14,0,5,3,706,17,826,927,89.1,8,62,3,0,40,13195,3696,398,435,91.5,355,385,92.2,48,70,68.6,1,1,2,1,0,0,0,15,10,8,7,0,5,13,38.5,8,18,9,9,12,27,40,1,17,24,41.5
Samuel Lino,LWB,2023-2024,23,br BRA,Atlético Madrid,es La Liga,34,2080,23.1,25,9,2,872,6156,3739,131,81,44,42,35,958,215,816,1015,80.4,34,36,38,3,84,11390,2608,516,582,88.7,230,279,82.4,39,66,59.1,4,5,9,4,0,0,0,61,34,32,17,12,35,70,50,35,37,1,36,14,75,27,0,9,17,34.6
Pol Lirola,RB,2023-2024,25,es ESP,Frosinone,it Serie A,25,1536,17.1,18,7,2,393,2267,1306,30,20,1,11,9,486,59,556,722,77,13,37,14,3,65,9018,3289,302,341,88.6,194,248,78.2,47,89,52.8,2,1,3,2,0,0,0,30,18,14,15,1,17,35,48.6,18,12,1,11,19,49,41,1,14,19,42.4
Valentino Livramento,RB,2023-2024,20,eng ENG,Newcastle Utd,eng Premier League,26,1314,14.6,12,14,7,521,2952,1463,44,17,8,17,18,583,76,689,802,85.9,12,58,16,3,61,10004,2947,421,457,92.1,223,257,86.8,27,53,50.9,1,0,1,1,0,0,0,23,13,15,6,2,10,21,47.6,11,16,7,9,25,48,41,1,12,8,60
Diego Llorente,CB,2023-2024,29,es ESP,Roma,it Serie A,29,2170,24.1,27,2,5,1208,6166,2944,20,10,0,10,3,1370,5,1501,1648,91.1,4,71,1,0,75,28395,9300,503,520,96.7,865,914,94.6,120,180,66.7,1,1,2,1,0,0,0,31,19,20,10,1,11,24,45.8,13,40,27,13,22,53,79,0,43,50,46.2
Gautier Lloris,CB,2023-2024,28,fr FRA,Le Havre,fr Ligue 1,31,2778,30.9,31,0,2,1187,5795,2971,13,14,0,9,2,1077,5,1194,1398,85.4,3,80,3,0,105,21169,7934,461,517,89.2,623,676,92.2,80,161,49.7,2,0,2,2,0,0,0,50,28,40,9,1,28,42,66.7,14,50,30,20,32,82,142,1,75,36,67.6
Bradley Locko,LB,2023-2024,21,fr FRA,Brest,fr Ligue 1,33,2959,32.9,33,0,0,1466,8974,4389,83,62,4,68,28,1308,162,1544,1852,83.4,24,109,37,26,129,25861,8098,760,863,88.1,607,701,86.6,127,205,62,0,3,3,0,0,0,0,97,55,57,34,6,47,80,58.8,33,28,1,27,40,137,69,0,30,25,54.5
Tom Lockyer,CB,2023-2024,28,wls WAL,Luton Town,eng Premier League,14,1169,13,14,0,0,269,1504,883,6,6,1,6,2,247,2,301,422,71.3,3,37,4,0,37,6628,3120,81,104,77.9,158,189,83.6,57,113,50.4,1,1,2,1,0,0,0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0,31,16,66
Renan Lodi,LB,2023-2024,25,br BRA,Marseille,fr Ligue 1,14,1235,13.7,14,0,1,575,3148,1376,25,30,2,15,2,522,77,579,748,77.4,14,37,11,7,51,9900,2568,252,283,89,264,325,81.2,47,95,49.5,0,0,0,0,0,0,0,24,16,8,13,3,13,21,61.9,8,7,2,5,16,40,35,0,7,11,38.9
Noah Loosli,CB,2023-2024,26,ch SUI,Bochum,de Bundesliga,10,346,3.8,2,8,16,74,309,119,1,1,0,3,0,69,3,81,127,63.8,0,4,1,0,6,1325,512,39,48,81.3,34,49,69.4,7,23,30.4,0,0,0,0,0,0,0,10,7,6,4,0,7,14,50,7,7,1,6,7,17,18,0,5,7,41.7
David López,CB,2023-2024,33,es ESP,Girona,es La Liga,25,1965,21.8,25,0,2,1083,5934,3308,15,9,0,12,2,1281,1,1468,1582,92.8,4,48,1,0,54,26089,8718,520,551,94.4,849,882,96.3,76,115,66.1,3,0,3,3,0,0,0,33,20,21,12,0,17,22,77.3,5,28,19,9,20,53,63,4,32,38,45.7
Javi López,LB,2023-2024,21,es ESP,Alavés,es La Liga,32,2386,26.5,25,7,5,631,4017,1896,53,44,11,40,20,720,120,775,1129,68.6,14,63,21,16,92,13424,5698,391,458,85.4,282,395,71.4,84,204,41.2,1,3,4,1,0,0,0,23,12,11,9,3,15,26,57.7,11,25,9,16,10,33,77,1,28,22,56
Jordan Lotomba,RB,2023-2024,24,ch SUI,Nice,fr Ligue 1,28,1804,20,21,7,3,767,4640,2071,36,33,2,23,20,710,40,834,994,83.9,12,36,14,5,52,11866,3883,473,541,87.4,297,345,86.1,21,43,48.8,1,0,1,1,0,0,0,36,28,18,9,9,25,35,71.4,10,30,9,21,16,52,26,1,21,15,58.3
Matteo Lovato,CB,2023-2024,23,it ITA,Sassuolo,it Serie A,26,1491,16.6,17,9,11,372,1322,523,1,2,0,6,4,448,1,566,672,84.2,3,31,2,1,33,9961,3380,215,242,88.8,307,347,88.5,32,57,56.1,0,0,0,0,0,0,0,37,21,22,13,2,20,29,69,9,23,12,11,31,68,51,1,26,27,49.1
Dejan Lovren,CB,2023-2024,34,hr CRO,Lyon,fr Ligue 1,10,718,8,8,2,11,354,1746,735,5,8,0,1,2,326,1,371,440,84.3,1,24,0,0,20,7463,2174,104,127,81.9,215,232,92.7,42,66,63.6,0,0,0,0,0,0,0,9,7,6,3,0,3,7,42.9,4,6,5,1,12,21,37,0,24,10,70.6
Max Lowe,LB,2023-2024,26,eng ENG,Sheffield Utd,eng Premier League,10,503,5.6,4,6,3,66,271,105,5,2,1,6,0,88,11,84,130,64.6,2,6,3,0,12,1242,436,53,71,74.6,25,42,59.5,6,12,50,0,0,0,0,0,0,0,21,10,13,5,3,8,15,53.3,7,10,4,6,5,26,15,0,5,11,31.3
Lucas,LB,2023-2024,22,br BRA,Cádiz,es La Liga,28,1539,17.1,15,13,9,487,2549,1130,30,19,3,22,18,513,65,595,807,73.7,22,33,21,14,47,9653,3843,311,351,88.6,221,298,74.2,49,115,42.6,1,0,1,1,0,0,0,47,27,32,11,4,32,55,58.2,23,27,4,23,17,64,45,0,11,23,32.4
Jhon Lucumí,CB,2023-2024,25,co COL,Bologna,it Serie A,29,2217,24.6,23,6,4,1339,7663,4522,28,21,0,15,6,1552,4,1734,1857,93.4,4,105,5,0,93,31124,9471,711,748,95.1,845,865,97.7,152,196,77.6,0,0,0,0,0,0,0,48,29,31,17,0,27,36,75,9,32,17,15,16,64,68,2,29,28,50.9
José Luis Gayà,LB,2023-2024,28,es ESP,Valencia,es La Liga,24,1791,19.9,22,2,1,634,3368,1839,41,29,5,14,7,694,97,801,1062,75.4,25,50,22,12,72,14090,4670,376,425,88.5,343,434,79,71,153,46.4,1,2,3,1,0,0,0,71,36,44,23,4,43,67,64.2,24,18,3,15,11,82,42,0,11,9,55
José Luis Palomino,CB,2023-2024,33,ar ARG,Atalanta,it Serie A,4,27,0.3,0,4,9,21,88,51,0,0,0,0,0,22,0,25,32,78.1,0,2,0,0,2,513,194,8,10,80,12,14,85.7,4,7,57.1,0,0,0,0,0,0,0,2,1,1,1,0,1,1,100,0,2,1,1,1,3,6,0,3,0,100
Castello Lukeba,CB,2023-2024,20,fr FRA,RB Leipzig,de Bundesliga,32,2191,24.3,24,8,2,1446,6629,3477,23,23,1,20,9,1617,9,1726,1885,91.6,4,107,8,2,107,30847,11113,636,673,94.5,982,1022,96.1,98,162,60.5,1,0,1,1,0,0,0,19,12,10,9,0,10,12,83.3,2,35,13,22,12,31,94,2,32,27,54.2
Sebastiano Luperto,CB,2023-2024,26,it ITA,Empoli,it Serie A,38,3406,37.8,38,0,0,1172,5285,2754,13,12,0,12,1,1312,13,1455,1785,81.5,11,89,4,1,100,28218,10204,480,537,89.4,821,916,89.6,142,295,48.1,1,1,2,1,0,0,0,37,26,25,10,2,15,24,62.5,9,46,35,11,32,69,157,1,77,58,57
Mateus Lusuardi,CB,2023-2024,19,br BRA,Frosinone,it Serie A,4,219,2.4,3,1,20,93,505,257,2,3,0,1,1,115,0,134,154,87,0,11,0,0,12,2107,820,71,74,95.9,58,65,89.2,4,12,33.3,0,0,0,0,0,0,0,2,1,1,1,0,1,3,33.3,2,4,2,2,4,6,8,0,3,1,75
Charalambos Lykogiannis,LB,2023-2024,29,gr GRE,Bologna,it Serie A,22,904,10,10,12,15,354,1964,1020,36,20,3,5,5,455,41,451,594,75.9,9,29,10,9,35,7235,2374,240,272,88.2,182,225,80.9,25,71,35.2,2,1,3,2,0,0,0,10,6,5,4,1,5,10,50,5,15,5,10,5,15,30,0,16,13,55.2
Ian Maatsen,LB,2023-2024,21,nl NED,Dortmund,de Bundesliga,16,1264,14,15,1,0,738,4424,2362,41,23,8,23,9,849,49,928,1060,87.5,8,70,18,5,80,14738,4217,508,544,93.4,320,360,88.9,65,93,69.9,2,2,4,2,0,0,0,30,22,15,9,6,16,30,53.3,14,22,4,18,13,43,26,0,2,9,18.2
Deiver Machado,LWB,2023-2024,29,co COL,Lens,fr Ligue 1,19,1124,12.5,13,6,1,395,2075,866,22,15,4,18,16,364,74,383,488,78.5,13,27,11,5,26,5645,1674,218,247,88.3,138,170,81.2,13,37,35.1,4,0,4,4,0,0,0,24,18,10,10,4,15,20,75,5,13,2,11,7,31,8,0,12,10,54.5
Pablo Maffeo,RB,2023-2024,26,es ESP,Mallorca,es La Liga,22,1454,16.2,17,5,5,369,2332,1095,38,33,11,36,14,410,68,374,603,62,11,32,9,8,41,6550,2806,172,207,83.1,155,233,66.5,38,116,32.8,1,2,3,1,0,0,0,35,22,18,13,4,23,40,57.5,17,12,2,10,10,45,23,0,33,25,56.9
Gabriel Magalhães,CB,2023-2024,25,br BRA,Arsenal,eng Premier League,36,3044,33.8,34,2,2,1447,6001,3455,13,37,1,12,3,1702,8,1914,2157,88.7,3,143,9,1,117,32123,10388,841,885,95,942,1013,93,108,199,54.3,4,0,4,4,0,0,0,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1,77,62,55.4
Soungoutou Magassa,CB,2023-2024,19,fr FRA,Monaco,fr Ligue 1,21,1346,15,15,6,10,898,4464,1934,7,13,1,23,8,806,13,871,998,87.3,2,86,2,1,92,16582,5928,300,331,90.6,470,511,92,87,129,67.4,0,0,0,0,0,0,0,56,26,22,32,2,26,48,54.2,22,21,4,17,21,77,36,2,24,17,58.5
Matej Maglica,CB,2023-2024,24,hr CRO,Darmstadt 98,de Bundesliga,26,1698,18.9,21,5,1,626,2954,1542,11,11,1,8,6,739,5,759,999,76,9,60,5,0,62,15428,5811,237,265,89.4,409,475,86.1,105,224,46.9,1,0,1,1,0,0,0,35,21,25,10,0,22,36,61.1,14,29,11,18,22,57,92,5,51,24,68
