Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Elias Baum,RB,2023-2024,17,de GER,Eint Frankfurt,de Bundesliga,4,28,0.3,0,4,1,13,52,21,0,0,0,2,1,15,2,0,0,0,0,0,0,0,0,0,0,13,17,76.5,0,0,0,0,0,193,76,7,9,77.8,6,8,75,0,0,,1,0,0,0,1,0,0,,0,3,2,1,0,1,1,0
Owen Beck,LB,2023-2024,20,wls WAL,Liverpool,eng Premier League,1,8,0.1,0,1,0,4,43,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,3,4,75,0,0,0,0,0,31,1,2,3,66.7,1,1,100,0,0,,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0
Amari'i Bell,CB,2023-2024,29,jm JAM,Luton Town,eng Premier League,21,1720,19.1,21,0,0,584,3640,2020,32,25,1,18,5,607,10,20,22,47.6,0,0,0,0,0,0,0,645,835,77.2,8,63,8,0,76,10680,4470,324,372,87.1,270,315,85.7,44,108,40.7,50,33,30,19,1,22,35,62.9,13,33,15,18,25,75,60,1
Stefan Bell,CB,2023-2024,31,de GER,Mainz 05,de Bundesliga,10,666,7.4,8,2,4,223,846,336,0,1,0,2,1,270,2,24,23,51.1,0,0,0,0,0,0,0,297,370,80.3,1,16,3,1,23,5526,2509,122,137,89.1,141,163,86.5,31,60,51.7,8,8,7,1,0,4,8,50,4,7,5,2,6,14,30,0
Raoul Bellanova,RB,2023-2024,23,it ITA,Torino,it Serie A,37,3046,33.8,36,1,0,1106,7714,3913,141,57,17,45,23,1217,202,30,32,48.4,1,7,8,1,0,0,0,1232,1579,78,52,61,47,37,98,20583,5976,601,675,89,488,607,80.4,109,190,57.4,36,26,15,17,4,18,31,58.1,13,21,4,17,15,51,36,3
Héctor Bellerín,RB,2023-2024,28,es ESP,Betis,es La Liga,23,1711,19,20,3,5,580,3153,1735,32,25,7,26,17,682,80,16,33,32.7,0,1,1,0,0,0,0,756,979,77.2,15,56,15,4,81,11447,4836,407,469,86.8,297,381,78,31,73,42.5,34,22,14,16,4,20,53,37.7,33,13,5,8,22,56,40,1
Jeanuël Belocian,CB,2023-2024,18,fr FRA,Rennes,fr Ligue 1,23,1448,16.1,16,7,9,739,4456,2252,16,24,0,8,4,685,37,10,10,50,0,1,1,0,0,0,0,759,862,88.1,6,57,3,1,60,14203,4121,239,273,87.5,415,452,91.8,74,94,78.7,32,22,23,8,1,22,28,78.6,6,18,10,8,13,45,49,0
Ramy Bensebaini,LB,2023-2024,28,dz ALG,Dortmund,de Bundesliga,17,1033,11.5,11,6,3,575,2507,1200,17,22,1,19,3,653,63,18,13,58.1,0,0,0,0,0,0,0,702,851,82.5,6,62,9,1,75,11465,3639,343,383,89.6,299,338,88.5,44,79,55.7,34,21,21,11,2,24,34,70.6,10,22,7,15,16,50,37,0
Lucas Beraldo,CB,2023-2024,19,br BRA,Paris S-G,fr Ligue 1,13,1008,11.2,12,1,3,832,4228,2168,7,22,0,2,2,777,2,15,15,50,1,0,1,1,0,0,0,867,968,89.6,4,65,2,0,44,15514,5185,309,354,87.3,482,513,94,56,72,77.8,22,14,14,8,0,10,25,40,15,15,6,9,20,42,25,0
Yuri Berchiche,LB,2023-2024,33,es ESP,Athletic Club,es La Liga,27,1930,21.4,22,5,0,767,3300,1786,36,31,5,12,10,843,77,33,20,62.3,3,1,4,3,0,0,0,1078,1304,82.7,14,103,16,9,132,17241,6651,559,622,89.9,438,508,86.2,57,111,51.4,33,25,13,14,6,19,33,57.6,14,28,9,19,20,53,62,0
Bartosz Bereszyński,RB,2023-2024,31,pl POL,Empoli,it Serie A,24,1762,19.6,22,2,7,485,2551,1219,15,10,3,19,6,539,18,23,16,59,0,1,1,0,0,0,0,673,867,77.6,8,60,7,3,69,11383,5041,352,394,89.3,255,322,79.2,56,106,52.8,41,25,25,13,3,24,40,60,16,22,10,12,21,62,52,0
Bernardo,LB,2023-2024,28,br BRA,Bochum,de Bundesliga,33,2924,32.5,33,0,0,796,3775,1777,26,23,1,32,16,923,38,145,81,64.2,1,0,1,1,0,0,0,1167,1622,71.9,13,122,14,10,127,20655,8434,528,639,82.6,495,651,76,118,240,49.2,99,58,56,35,8,45,69,65.2,24,66,30,36,55,154,120,1
Victor Bernth Kristiansen,LB,2023-2024,20,dk DEN,Bologna,it Serie A,32,2307,25.6,26,6,3,1125,5209,2280,23,15,2,14,7,1274,74,24,19,55.8,0,3,3,0,0,0,0,1422,1688,84.2,23,111,22,7,123,21913,8191,776,838,92.6,548,643,85.2,60,130,46.2,52,34,23,22,7,20,35,57.1,15,35,8,27,12,64,45,1
Sam Beukema,CB,2023-2024,24,nl NED,Bologna,it Serie A,30,2547,28.3,29,1,5,1457,8540,4162,14,10,1,6,3,1679,5,46,36,56.1,1,1,2,1,0,0,0,1842,2055,89.6,7,87,5,0,76,34323,11648,683,727,93.9,975,1036,94.1,157,238,66,27,11,14,11,2,16,25,64,9,35,21,14,15,42,99,2
Jordan Beyer,CB,2023-2024,23,de GER,Burnley,eng Premier League,15,1234,13.7,15,0,0,624,3314,2089,9,11,0,5,1,678,1,28,26,51.9,0,1,1,0,0,0,0,766,861,89,3,28,1,0,25,14232,3759,270,298,90.6,421,446,94.4,64,92,69.6,35,20,22,12,1,14,24,58.3,10,22,15,7,16,51,68,1
Jaka Bijol,CB,2023-2024,24,si SVN,Udinese,it Serie A,24,2084,23.2,23,1,0,528,2641,1564,5,2,0,3,4,560,1,84,26,76.4,0,0,0,0,0,0,0,645,822,78.5,3,40,2,0,42,13456,5996,198,231,85.7,342,396,86.4,99,176,56.3,43,27,34,9,0,22,35,62.9,13,36,21,15,23,66,140,1
Cristiano Biraghi,LB,2023-2024,30,it ITA,Fiorentina,it Serie A,29,2356,26.2,27,2,7,958,4317,2283,55,55,3,15,6,1132,109,8,12,40,2,5,7,2,0,1,1,1388,1842,75.4,46,118,31,20,129,25646,9082,573,624,91.8,639,813,78.6,156,340,45.9,47,28,20,24,3,28,52,53.8,24,30,5,25,14,61,43,0
Davide Biraschi,CB,2023-2024,29,it ITA,Genoa,it Serie A,1,90,1,1,0,2,19,76,46,0,2,0,0,0,21,4,1,0,100,1,0,1,1,0,0,0,31,37,83.8,0,2,1,0,5,684,308,6,7,85.7,18,21,85.7,7,9,77.8,3,3,1,2,0,1,3,33.3,2,0,0,0,2,5,5,0
