,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live.1,Dead,FK.1,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
171,Famara Diedhiou,ST,2023-2024,30.0,Senegal,Granada,La Liga,8,89,1.0,0,8,0.5,0.5,0.2,0.7,0.7,-0.5,-0.5,5.0,0.0,0.0,3.0,60.0,18.1,0.0,68,5.0,7.0,20.0,41.0,10.0,68.0,5.0,0.0,0.0,60.0,18.1,0.0,241.0,99.0,5.0,3.0,2.0,12.0,2.0,53,19.0,1.0,0.0,0.0,0,0.0,20.0,41,48.8,1.0,0.0,278.0,40,1,0,0,2,1,0,12,6,66.7
172,Justin Diehl,LW,2023-2024,18.0,Germany,Köln,Bundesliga,7,168,1.9,1,6,0.2,0.2,0.2,0.4,0.4,-0.2,-0.2,7.0,0.0,0.0,2.0,28.6,23.1,1.0,96,2.0,11.0,31.0,54.0,10.0,96.0,7.0,0.0,0.0,28.6,23.1,1.0,500.0,204.0,6.0,2.0,5.0,9.0,1.0,57,17.0,0.0,0.0,0.0,0,0.0,41.0,64,64.1,5.0,1.0,657.0,48,16,2,0,18,1,13,0,2,0.0
173,Bamba Dieng,ST,2023-2024,23.0,Senegal,Lorient,Ligue 1,16,549,6.1,5,11,3.2,3.2,1.6,4.8,4.8,0.8,0.8,17.0,0.24,0.57,7.0,41.2,16.1,2.0,188,7.0,14.0,95.0,79.0,31.0,188.0,17.0,0.24,0.57,41.2,16.1,2.0,697.0,183.0,5.0,2.0,3.0,20.0,10.0,137,44.0,5.0,4.0,0.0,0,0.0,90.0,117,76.9,8.0,0.0,1190.0,99,18,0,0,5,1,0,17,19,47.2
174,Florian Dietz,ST,2023-2024,24.0,Germany,Köln,Bundesliga,5,70,0.8,0,5,0.3,0.3,0.1,0.4,0.4,-0.3,-0.3,3.0,0.0,0.0,1.0,33.3,15.8,0.0,32,0.0,2.0,17.0,13.0,5.0,32.0,3.0,0.0,0.0,33.3,15.8,0.0,39.0,3.0,0.0,1.0,0.0,2.0,0.0,22,8.0,0.0,0.0,0.0,0,0.0,13.0,19,68.4,2.0,0.0,135.0,18,1,0,0,0,0,0,2,8,20.0
175,Eren Dinkçi,RW,2023-2024,21.0,Germany,Heidenheim,Bundesliga,33,2650,29.4,33,0,4.3,4.3,3.7,8.0,8.0,5.7,5.7,49.0,0.2,0.48,21.0,42.9,19.7,0.0,1187,24.0,182.0,576.0,468.0,76.0,1187.0,49.0,0.2,0.48,42.9,19.7,0.0,4819.0,2416.0,85.0,59.0,22.0,98.0,46.0,773,143.0,15.0,10.0,0.0,0,0.0,508.0,819,62.0,36.0,15.0,8305.0,791,25,3,5,79,18,3,11,24,31.4
176,Sofiane Diop,LW,2023-2024,23.0,France,Nice,Ligue 1,10,499,5.5,6,4,1.2,1.2,0.8,2.0,2.0,-1.2,-1.2,14.0,0.0,0.0,6.0,42.9,20.7,2.0,249,5.0,42.0,100.0,118.0,16.0,249.0,14.0,0.0,0.0,42.9,20.7,2.0,1329.0,589.0,20.0,18.0,6.0,15.0,9.0,177,43.0,0.0,0.0,0.0,0,0.0,143.0,176,81.3,8.0,2.0,2076.0,171,5,2,1,13,1,2,1,4,20.0
177,Ben Doak,RW,2023-2024,17.0,Scotland,Liverpool,Premier League,1,14,0.2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,6,0.0,0.0,2.0,4.0,0.0,6.0,0.0,,,,,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,4,0.0,0.0,0.0,0.0,0,0.0,4.0,4,100.0,0.0,0.0,45.0,4,0,0,0,0,0,0,0,0,
178,Jeremy Doku,RW,2023-2024,21.0,Belgium,2 Teams,2 Comps,31,1706,19.0,19,12,3.1,3.1,4.8,7.1,7.9,0.9,0.9,61.0,0.07,0.17,23.0,37.7,16.2,0.0,1222,6.0,82.0,292.0,869.0,238.0,1222.0,61.0,0.07,0.17,37.7,16.2,0.0,8162.0,5226.0,229.0,67.0,154.0,54.0,39.0,991,314.0,12.0,4.0,0.0,0,0.0,736.0,901,81.7,48.0,8.0,10322.0,893,8,0,2,62,5,3,2,5,28.6
179,Mario Dominguez,ST,2023-2024,19.0,Spain,Valencia,La Liga,3,25,0.3,0,3,0.2,0.2,0.0,0.2,0.2,-0.2,-0.2,3.0,0.0,0.0,1.0,33.3,17.3,0.0,10,0.0,0.0,2.0,8.0,2.0,10.0,3.0,0.0,0.0,33.3,17.3,0.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,9,1.0,0.0,0.0,0.0,0,0.0,4.0,5,80.0,0.0,0.0,56.0,5,0,0,0,1,0,0,0,1,0.0
180,Jamie Donley,SS,2023-2024,18.0,England,Tottenham,Premier League,3,3,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,7,2.0,4.0,2.0,1.0,0.0,7.0,0.0,,,,,0.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0,0.0,1.0,1,100.0,0.0,0.0,14.0,0,1,0,0,0,0,0,1,1,50.0
181,Siriné Doucouré,ST,2023-2024,21.0,Mali,Lorient,Ligue 1,11,423,4.7,5,6,0.9,0.9,1.3,2.2,2.2,0.1,0.1,9.0,0.11,0.2,5.0,55.6,12.6,0.0,181,7.0,10.0,83.0,89.0,35.0,181.0,9.0,0.11,0.2,55.6,12.6,0.0,787.0,315.0,14.0,7.0,12.0,30.0,10.0,135,35.0,4.0,1.0,0.0,0,0.0,71.0,94,75.5,10.0,0.0,913.0,87,7,0,1,1,0,0,17,24,41.5
182,Anastasios Douvikas,ST,2023-2024,23.0,Greece,Celta Vigo,La Liga,32,905,10.1,7,25,4.6,4.6,1.3,5.9,5.9,2.4,2.4,26.0,0.27,0.47,15.0,57.7,13.5,0.0,292,10.0,25.0,123.0,145.0,49.0,292.0,26.0,0.27,0.47,57.7,13.5,0.0,842.0,319.0,10.0,6.0,6.0,38.0,20.0,218,53.0,8.0,7.0,0.0,0,0.0,105.0,166,63.3,8.0,1.0,1387.0,154,12,0,1,2,0,0,35,28,55.6
183,Artem Dovbyk,ST,2023-2024,26.0,Ukraine,Girona,La Liga,36,2587,28.7,32,4,24.2,17.9,6.2,30.3,24.1,-0.2,-0.9,77.0,0.22,0.47,36.0,46.8,12.4,1.0,606,19.0,36.0,230.0,341.0,185.0,598.0,77.0,0.22,0.47,46.8,12.4,1.0,1294.0,449.0,18.0,7.0,16.0,50.0,39.0,487,118.0,32.0,17.0,7.0,8,1.0,277.0,392,70.7,27.0,0.0,3272.0,359,28,0,2,1,0,0,39,40,49.4
184,Damion Downs,ST,2023-2024,19.0,United States,Köln,Bundesliga,10,181,2.0,0,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.4,1.0,2.0,40.0,10.9,0.0,52,1.0,4.0,21.0,27.0,8.0,52.0,5.0,0.4,1.0,40.0,10.9,0.0,89.0,37.0,1.0,1.0,1.0,2.0,1.0,32,5.0,2.0,2.0,0.0,0,0.0,24.0,36,66.7,0.0,1.0,316.0,35,1,0,0,1,1,0,1,6,14.3
185,Aron Dønnum,RW,2023-2024,25.0,Norway,Toulouse,Ligue 1,27,1595,17.7,19,8,1.0,1.0,2.1,3.1,3.1,-1.0,-1.0,21.0,0.0,0.0,9.0,42.9,19.5,0.0,774,19.0,108.0,343.0,341.0,48.0,774.0,21.0,0.0,0.0,42.9,19.5,0.0,4386.0,2001.0,69.0,37.0,21.0,46.0,23.0,567,120.0,1.0,0.0,0.0,0,0.0,428.0,571,75.0,24.0,2.0,7389.0,545,24,5,13,28,10,9,6,13,31.6
186,Dion Drena Beljo,ST,2023-2024,21.0,Croatia,Augsburg,Bundesliga,26,581,6.5,3,23,3.0,3.0,0.5,3.5,3.5,-1.0,-1.0,19.0,0.11,0.29,7.0,36.8,13.4,0.0,239,5.0,24.0,92.0,126.0,38.0,239.0,19.0,0.11,0.29,36.8,13.4,0.0,963.0,402.0,16.0,13.0,6.0,24.0,5.0,178,35.0,2.0,2.0,0.0,0,0.0,115.0,160,71.9,8.0,1.0,1717.0,150,9,0,1,3,2,0,18,15,54.5
187,Marvin Ducksch,ST,2023-2024,29.0,Germany,Werder Bremen,Bundesliga,33,2696,30.0,32,1,12.8,7.9,7.8,20.6,15.7,-0.8,-0.9,74.0,0.09,0.22,32.0,43.2,18.9,12.0,1166,25.0,81.0,531.0,559.0,110.0,1160.0,74.0,0.09,0.22,43.2,18.9,12.0,2105.0,834.0,17.0,20.0,7.0,53.0,17.0,779,150.0,21.0,7.0,5.0,6,1.0,566.0,950,59.6,58.0,2.0,9838.0,751,192,55,10,159,5,97,21,42,33.3
188,Jhon Durán,ST,2023-2024,19.0,Colombia,Aston Villa,Premier League,23,475,5.3,3,20,2.0,2.0,0.3,2.3,2.3,3.0,3.0,20.0,0.25,0.71,7.0,35.0,16.8,0.0,189,8.0,22.0,90.0,80.0,27.0,189.0,20.0,0.25,0.71,35.0,16.8,0.0,508.0,206.0,9.0,5.0,5.0,16.0,14.0,138,25.0,5.0,5.0,0.0,0,0.0,83.0,121,68.6,4.0,0.0,1095.0,117,4,1,0,6,1,0,20,12,62.5
189,Julien Duranville,RW,2023-2024,17.0,Belgium,Dortmund,Bundesliga,2,12,0.1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,14,0.0,1.0,6.0,7.0,1.0,14.0,0.0,,,,,0.0,57.0,26.0,2.0,1.0,1.0,3.0,4.0,13,1.0,0.0,0.0,0.0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,1,0,100.0
190,Hugo Duro,ST,2023-2024,23.0,Spain,Valencia,La Liga,37,2976,33.1,35,2,11.5,11.5,1.3,12.9,12.9,1.5,1.5,66.0,0.2,0.45,29.0,43.9,12.9,2.0,913,36.0,92.0,416.0,418.0,123.0,913.0,66.0,0.2,0.45,43.9,12.9,2.0,2033.0,782.0,27.0,20.0,13.0,94.0,38.0,666,157.0,15.0,13.0,0.0,0,0.0,406.0,570,71.2,14.0,0.0,5076.0,522,45,1,0,7,4,0,58,125,31.7
191,Paulo Dybala,SS,2023-2024,29.0,Argentina,Roma,Serie A,28,1959,21.8,25,3,10.6,5.1,4.3,14.9,9.4,2.4,0.9,52.0,0.12,0.38,16.0,30.8,21.2,5.0,1277,8.0,87.0,590.0,612.0,88.0,1270.0,52.0,0.12,0.38,30.8,21.2,5.0,5078.0,2296.0,79.0,61.0,31.0,70.0,41.0,993,167.0,22.0,6.0,7.0,7,0.0,790.0,1000,79.0,50.0,0.0,12944.0,877,117,27,11,88,10,54,7,21,25.0
192,George Earthy,SS,2023-2024,18.0,England,West Ham,Premier League,3,34,0.4,0,3,0.3,0.3,0.0,0.3,0.3,0.7,0.7,1.0,1.0,1.0,1.0,100.0,3.8,0.0,18,0.0,3.0,7.0,8.0,1.0,18.0,1.0,1.0,1.0,100.0,3.8,0.0,48.0,13.0,0.0,1.0,0.0,0.0,0.0,15,3.0,1.0,1.0,0.0,0,0.0,16.0,17,94.1,0.0,0.0,183.0,17,0,0,0,0,0,0,0,0,
193,Odsonne Édouard,ST,2023-2024,25.0,France,Crystal Palace,Premier League,30,1555,17.3,17,13,6.2,6.2,1.2,7.4,7.4,0.8,0.8,51.0,0.14,0.37,19.0,37.3,13.7,3.0,597,18.0,59.0,222.0,326.0,98.0,597.0,51.0,0.14,0.37,37.3,13.7,3.0,1762.0,877.0,33.0,18.0,25.0,55.0,26.0,415,100.0,7.0,7.0,0.0,0,0.0,249.0,350,71.1,18.0,1.0,3106.0,338,9,0,0,10,0,1,30,54,35.7
194,Hugo Ekitike,ST,2023-2024,21.0,France,2 Teams,2 Comps,15,725,8.1,7,8,2.4,2.4,1.7,0.0,4.1,1.6,1.6,30.0,0.13,0.44,9.0,30.0,14.1,0.0,322,2.0,20.0,138.0,169.0,58.0,322.0,30.0,0.13,0.44,30.0,14.1,0.0,1096.0,506.0,16.0,9.0,10.0,28.0,14.0,236,63.0,6.0,4.0,0.0,0,0.0,138.0,201,68.7,13.0,1.0,1994.0,188,12,0,2,9,0,0,14,27,34.1
195,Emmanuel Ekong,RW,2023-2024,21.0,Sweden,Empoli,Serie A,1,5,0.1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,4,0.0,0.0,3.0,1.0,1.0,4.0,0.0,,,,,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0,0.0,1.0,1,100.0,1.0,0.0,12.0,1,0,0,0,0,0,0,0,0,
196,Caleb Ekuban,ST,2023-2024,29.0,Ghana,Genoa,Serie A,29,1131,12.6,10,19,2.9,2.9,1.4,4.2,4.2,1.1,1.1,27.0,0.15,0.33,12.0,44.4,14.7,0.0,385,10.0,32.0,150.0,208.0,52.0,385.0,27.0,0.15,0.33,44.4,14.7,0.0,1057.0,373.0,14.0,8.0,9.0,55.0,17.0,297,93.0,5.0,4.0,0.0,0,0.0,138.0,211,65.4,16.0,0.0,1854.0,205,6,0,1,4,0,0,33,34,49.3
197,Anthony Elanga,RW,2023-2024,21.0,Sweden,Nott'ham Forest,Premier League,36,2433,27.0,25,11,6.6,6.6,6.7,13.3,13.3,-1.6,-1.6,54.0,0.09,0.23,22.0,40.7,16.2,0.0,1022,25.0,181.0,348.0,507.0,122.0,1022.0,54.0,0.09,0.23,40.7,16.2,0.0,4704.0,2514.0,98.0,54.0,42.0,67.0,22.0,740,196.0,14.0,5.0,0.0,0,0.0,498.0,712,69.9,32.0,5.0,6655.0,695,13,0,2,58,6,0,17,37,31.5
198,Simon Elisor,ST,2023-2024,24.0,France,Metz,Ligue 1,14,767,8.5,9,5,2.3,1.5,0.9,3.2,2.4,-1.3,-0.5,13.0,0.08,0.17,6.0,46.2,16.7,0.0,260,9.0,28.0,121.0,117.0,33.0,259.0,13.0,0.08,0.17,46.2,16.7,0.0,1041.0,193.0,9.0,8.0,5.0,28.0,23.0,194,43.0,1.0,1.0,0.0,1,1.0,111.0,157,70.7,10.0,0.0,1583.0,139,18,0,0,4,0,0,35,47,42.7
199,Elif Elmas,LW,2023-2024,23.0,North Macedonia,2 Teams,2 Comps,25,605,6.7,6,19,1.3,1.3,0.3,0.7,1.6,0.7,0.7,16.0,0.13,0.2,10.0,62.5,17.4,1.0,400,8.0,47.0,184.0,174.0,26.0,400.0,16.0,0.13,0.2,62.5,17.4,1.0,1517.0,834.0,23.0,20.0,8.0,15.0,13.0,294,44.0,2.0,2.0,0.0,0,0.0,267.0,311,85.9,8.0,0.0,3564.0,298,10,2,1,6,5,3,1,8,11.1
200,Adri Embarba,LW,2023-2024,31.0,Spain,Almería,La Liga,36,2476,27.5,29,7,4.3,3.5,4.4,8.7,8.0,-1.3,-1.5,63.0,0.03,0.08,24.0,38.1,24.1,12.0,1316,18.0,195.0,514.0,633.0,65.0,1315.0,63.0,0.03,0.08,38.1,24.1,12.0,4984.0,2406.0,94.0,55.0,24.0,79.0,35.0,821,167.0,5.0,2.0,1.0,1,0.0,609.0,928,65.6,52.0,16.0,9861.0,770,150,35,16,171,16,94,25,43,36.8
201,Breel Embolo,ST,2023-2024,26.0,Switzerland,Monaco,Ligue 1,5,182,2.0,2,3,0.7,0.7,0.1,0.8,0.8,0.3,0.3,6.0,0.17,0.33,3.0,50.0,15.9,0.0,79,3.0,8.0,31.0,40.0,18.0,79.0,6.0,0.17,0.33,50.0,15.9,0.0,415.0,150.0,8.0,5.0,6.0,8.0,7.0,67,20.0,1.0,1.0,0.0,0,0.0,37.0,46,80.4,3.0,0.0,591.0,46,0,0,0,1,0,0,1,8,11.1
202,Emanuel Emegha,ST,2023-2024,20.0,Netherlands,Strasbourg,Ligue 1,28,2078,23.1,23,5,10.8,10.0,0.4,11.2,10.4,-2.8,-2.0,47.0,0.17,0.4,20.0,42.6,12.0,0.0,504,28.0,44.0,237.0,232.0,88.0,503.0,47.0,0.17,0.4,42.6,12.0,0.0,2016.0,598.0,24.0,19.0,13.0,46.0,29.0,366,115.0,9.0,8.0,0.0,1,1.0,215.0,294,73.1,9.0,0.0,2721.0,278,16,1,0,1,1,0,33,66,33.3
203,Youssef En-Nesyri,ST,2023-2024,26.0,Morocco,Sevilla,La Liga,33,2570,28.6,28,5,10.8,10.0,1.3,12.1,11.3,5.2,5.0,72.0,0.21,0.52,29.0,40.3,12.1,0.0,565,31.0,75.0,248.0,248.0,115.0,564.0,72.0,0.21,0.52,40.3,12.1,0.0,1239.0,458.0,17.0,10.0,11.0,59.0,17.0,373,81.0,18.0,15.0,1.0,1,0.0,205.0,318,64.5,9.0,0.0,2797.0,271,47,0,2,4,3,0,68,91,42.8
204,Oscar Estupiñan,ST,2023-2024,26.0,Colombia,Metz,Ligue 1,6,260,2.9,4,2,0.5,0.5,0.0,0.5,0.5,-0.5,-0.5,6.0,0.0,0.0,1.0,16.7,15.0,0.0,88,0.0,6.0,52.0,30.0,9.0,88.0,6.0,0.0,0.0,16.7,15.0,0.0,312.0,105.0,5.0,3.0,0.0,3.0,4.0,62,8.0,0.0,0.0,0.0,0,0.0,41.0,61,67.2,1.0,0.0,627.0,54,5,0,0,1,0,0,11,11,50.0
205,Abde Ezzalzouli,LW,2023-2024,21.0,Morocco,2 Teams,La Liga,28,933,10.4,6,22,3.2,2.4,0.4,0.3,2.8,-2.2,-1.4,37.0,0.03,0.11,9.0,24.3,17.9,0.0,572,7.0,60.0,207.0,310.0,67.0,571.0,37.0,0.03,0.11,24.3,17.9,0.0,3103.0,1730.0,64.0,37.0,39.0,33.0,33.0,420,101.0,1.0,1.0,0.0,1,1.0,255.0,390,65.4,6.0,2.0,3066.0,372,16,3,2,40,9,4,24,25,49.0
206,Radamel Falcao,ST,2023-2024,37.0,Colombia,Rayo Vallecano,La Liga,22,407,4.5,2,20,2.7,2.0,0.3,3.0,2.2,-1.7,-2.0,16.0,0.0,0.0,6.0,37.5,14.5,0.0,169,4.0,13.0,67.0,91.0,23.0,168.0,16.0,0.0,0.0,37.5,14.5,0.0,429.0,171.0,7.0,4.0,5.0,13.0,12.0,132,23.0,1.0,0.0,1.0,1,0.0,92.0,110,83.6,4.0,0.0,1099.0,103,7,1,0,1,2,0,14,24,36.8
207,Khalil Fayad,LW,2023-2024,19.0,France,Montpellier,Ligue 1,23,1025,11.4,11,12,1.9,1.9,0.5,2.4,2.4,1.1,1.1,17.0,0.18,0.43,7.0,41.2,18.9,1.0,473,12.0,95.0,242.0,139.0,24.0,473.0,17.0,0.18,0.43,41.2,18.9,1.0,1944.0,832.0,18.0,14.0,4.0,15.0,14.0,307,47.0,3.0,3.0,0.0,0,0.0,276.0,345,80.0,8.0,1.0,4324.0,333,10,4,4,13,4,0,12,14,46.2
208,João Félix,SS,2023-2024,23.0,Portugal,2 Teams,La Liga,30,1540,17.1,18,12,8.7,8.7,3.1,11.9,11.9,-1.7,-1.7,61.0,0.11,0.28,25.0,41.0,15.8,1.0,929,15.0,91.0,351.0,495.0,104.0,929.0,61.0,0.11,0.28,41.0,15.8,1.0,3648.0,1930.0,69.0,53.0,31.0,43.0,32.0,766,169.0,10.0,7.0,0.0,0,0.0,538.0,663,81.1,19.0,1.0,7329.0,631,25,5,7,17,12,8,8,8,50.0
209,Evan Ferguson,ST,2023-2024,18.0,Ireland,Brighton,Premier League,27,1367,15.2,15,12,4.6,4.6,0.5,5.1,5.1,1.4,1.4,33.0,0.18,0.3,20.0,60.6,15.5,0.0,448,13.0,64.0,204.0,185.0,45.0,448.0,33.0,0.18,0.3,60.6,15.5,0.0,1299.0,414.0,13.0,9.0,5.0,40.0,31.0,336,62.0,6.0,6.0,0.0,0,0.0,244.0,303,80.5,6.0,0.0,3028.0,269,32,0,0,1,0,0,13,18,41.9
210,Carlos Fernández,ST,2023-2024,27.0,Spain,Real Sociedad,La Liga,10,408,4.5,5,5,1.5,0.7,0.5,2.0,1.3,0.5,0.3,8.0,0.13,0.33,3.0,37.5,15.1,0.0,142,6.0,16.0,79.0,49.0,14.0,141.0,8.0,0.13,0.33,37.5,15.1,0.0,315.0,100.0,5.0,3.0,0.0,13.0,14.0,85,13.0,3.0,1.0,1.0,1,0.0,44.0,83,53.0,1.0,0.0,589.0,78,5,1,0,1,0,0,16,17,48.5
211,Ichem Ferrah,RW,2023-2024,17.0,France,Lille,Ligue 1,1,3,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,3,0.0,0.0,2.0,1.0,0.0,3.0,0.0,,,,,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.0,0.0,0.0,0.0,0,0.0,1.0,1,100.0,0.0,0.0,8.0,1,0,0,0,0,0,0,0,0,
212,Nacho Ferri,ST,2023-2024,18.0,Spain,Eint Frankfurt,Bundesliga,8,74,0.8,0,8,1.2,1.2,0.0,1.2,1.2,-0.2,-0.2,5.0,0.2,0.5,2.0,40.0,16.4,0.0,45,2.0,5.0,21.0,19.0,6.0,45.0,5.0,0.2,0.5,40.0,16.4,0.0,93.0,19.0,0.0,0.0,0.0,6.0,2.0,32,8.0,1.0,1.0,0.0,0,0.0,13.0,26,50.0,1.0,0.0,149.0,25,0,0,0,0,0,0,9,9,50.0
213,Rachad Fettal,ST,2023-2024,18.0,Morocco,Almería,La Liga,1,17,0.2,0,1,0.1,0.1,0.0,0.1,0.1,-0.1,-0.1,1.0,0.0,,0.0,0.0,8.8,0.0,9,0.0,1.0,6.0,2.0,1.0,9.0,1.0,0.0,,0.0,8.8,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,6,2.0,0.0,0.0,0.0,0,0.0,4.0,6,66.7,1.0,0.0,46.0,5,0,0,0,0,0,0,1,0,100.0
214,Phil Foden,LW,2023-2024,23.0,England,Manchester City,Premier League,35,2857,31.7,33,2,10.3,10.3,8.4,18.7,18.7,8.7,8.7,105.0,0.18,0.4,48.0,45.7,18.5,4.0,2146,22.0,174.0,785.0,1211.0,190.0,2146.0,105.0,0.18,0.4,45.7,18.5,4.0,6921.0,3434.0,93.0,79.0,56.0,62.0,49.0,1753,269.0,27.0,19.0,0.0,0,0.0,1511.0,1767,85.5,73.0,5.0,20347.0,1684,79,19,6,89,4,50,6,17,26.1
215,Tiago Fonseca Morais,LW,2023-2024,19.0,Portugal,Lille,Ligue 1,3,46,0.5,0,3,0.4,0.4,0.0,0.4,0.4,-0.4,-0.4,1.0,0.0,,0.0,0.0,13.0,0.0,23,0.0,2.0,14.0,8.0,2.0,23.0,1.0,0.0,,0.0,13.0,0.0,100.0,49.0,3.0,0.0,1.0,1.0,0.0,13,2.0,0.0,0.0,0.0,0,0.0,11.0,15,73.3,0.0,0.0,162.0,13,2,0,0,1,0,2,0,0,
216,Omari Forson,RW,2023-2024,19.0,England,Manchester Utd,Premier League,4,70,0.8,1,3,0.0,0.0,0.2,0.2,0.2,0.0,0.0,1.0,0.0,,0.0,0.0,21.6,0.0,39,0.0,2.0,25.0,12.0,1.0,39.0,1.0,0.0,,0.0,21.6,0.0,115.0,34.0,1.0,3.0,0.0,1.0,0.0,31,2.0,1.0,0.0,0.0,0,0.0,30.0,33,90.9,2.0,0.0,373.0,32,1,0,0,0,0,0,0,2,0.0
217,Lyle Foster,ST,2023-2024,22.0,South Africa,Burnley,Premier League,24,1899,21.1,22,2,4.5,4.5,1.9,6.4,6.4,0.5,0.5,34.0,0.15,0.31,16.0,47.1,14.6,0.0,692,41.0,93.0,289.0,321.0,93.0,692.0,34.0,0.15,0.31,47.1,14.6,0.0,2464.0,1278.0,55.0,31.0,36.0,69.0,33.0,479,104.0,8.0,5.0,0.0,0,0.0,312.0,461,67.7,19.0,0.0,4471.0,430,29,2,5,3,4,0,50,106,32.1
218,Nathan Fraser,ST,2023-2024,18.0,Ireland,Wolves,Premier League,7,186,2.1,1,6,0.3,0.3,0.1,0.4,0.4,-0.3,-0.3,3.0,0.0,0.0,2.0,66.7,16.6,0.0,62,4.0,10.0,28.0,25.0,5.0,62.0,3.0,0.0,0.0,66.7,16.6,0.0,88.0,22.0,1.0,1.0,1.0,4.0,2.0,39,21.0,0.0,0.0,0.0,0,0.0,33.0,42,78.6,2.0,0.0,380.0,39,3,0,0,0,0,0,3,9,25.0
219,Jorge de Frutos,RW,2023-2024,26.0,Spain,Rayo Vallecano,La Liga,36,1549,17.2,14,22,2.6,2.6,1.4,4.0,4.0,-0.6,-0.6,29.0,0.07,0.18,11.0,37.9,17.8,0.0,668,17.0,97.0,258.0,333.0,49.0,668.0,29.0,0.07,0.18,37.9,17.8,0.0,2508.0,1383.0,42.0,29.0,12.0,33.0,15.0,450,144.0,2.0,2.0,0.0,0,0.0,344.0,483,71.2,17.0,8.0,5142.0,463,17,2,1,53,8,7,14,18,43.8
220,Chris Führich,LW,2023-2024,25.0,Germany,Stuttgart,Bundesliga,34,2567,28.5,33,1,6.6,5.8,8.0,14.7,13.8,1.4,2.2,53.0,0.15,0.33,24.0,45.3,17.7,2.0,1667,8.0,117.0,628.0,948.0,124.0,1666.0,53.0,0.15,0.33,45.3,17.7,2.0,8503.0,4459.0,153.0,106.0,56.0,53.0,27.0,1267,259.0,15.0,8.0,0.0,1,1.0,1112.0,1370,81.2,53.0,9.0,15384.0,1235,131,29,10,100,41,61,4,14,22.2
221,Shiō Fukuda,ST,2023-2024,19.0,Japan,Gladbach,Bundesliga,5,36,0.4,0,5,0.2,0.2,0.0,0.2,0.2,-0.2,-0.2,2.0,0.0,,0.0,0.0,8.1,0.0,15,0.0,2.0,4.0,9.0,5.0,15.0,2.0,0.0,,0.0,8.1,0.0,41.0,4.0,0.0,0.0,0.0,1.0,3.0,9,2.0,0.0,0.0,0.0,0,0.0,3.0,6,50.0,1.0,0.0,34.0,6,0,0,0,0,0,0,3,4,42.9
222,Niclas Füllkrug,ST,2023-2024,30.0,Germany,2 Teams,Bundesliga,31,2392,26.6,29,2,12.9,10.5,3.4,0.7,13.9,-0.9,-1.5,55.0,0.16,0.38,24.0,43.6,12.5,0.0,867,33.0,78.0,397.0,394.0,110.0,864.0,55.0,0.16,0.38,43.6,12.5,0.0,1665.0,631.0,19.0,17.0,11.0,54.0,24.0,690,131.0,20.0,9.0,3.0,3,0.0,426.0,638,66.8,36.0,1.0,5621.0,622,15,1,5,5,0,0,79,115,40.7
223,Gerardo Fusco,ST,2023-2024,18.0,Italy,Salernitana,Serie A,1,15,0.2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,9,0.0,0.0,6.0,3.0,1.0,9.0,0.0,,,,,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,0.0,0.0,0.0,0,0.0,5.0,7,71.4,1.0,0.0,46.0,7,0,0,0,1,0,0,0,0,
