,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live.1,Dead,FK.1,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
325,Kiké,ST,2023-2024,33.0,Spain,Alavés,La Liga,33,1423,15.8,15,18,200.0,301.0,66.4,18.0,8.0,2.0,32.0,105.0,147.0,71.4,67.0,95.0,70.5,11.0,19,57.9,300.0,1319.0,472.0,18.0,10.0,12.0,56.0,21.0,97.0,7.7,6.9,9.7,1.4,8.9,-4.7,-3.9,0.0,0.12,56,0.05,41.1,13.1,0.0,517,18.0,51.0,199,280.0,108.0,2.0,3.0,288,10,0,1,10,0,0,3,2,5.0
326,Tim Kleindienst,ST,2023-2024,27.0,Germany,Heidenheim,Bundesliga,33,2869,31.9,33,0,516.0,874.0,59.0,27.0,10.0,2.0,73.0,295.0,462.0,63.9,147.0,231.0,63.6,30.0,47,63.8,629.0,2725.0,1096.0,40.0,37.0,16.0,110.0,56.0,178.0,13.9,12.3,17.2,2.0,15.6,-1.9,-2.3,-0.3,0.15,81,0.12,38.3,13.6,0.0,1325,66.0,130.0,632,577.0,142.0,3.0,10.0,828,43,0,7,19,11,0,12,3,15.0
327,Randal Kolo Muani,ST,2023-2024,24.0,France,2 Teams,2 Comps,28,1421,15.8,15,13,276.0,385.0,71.7,26.0,15.0,3.0,45.0,168.0,219.0,76.7,80.0,105.0,76.2,14.0,25,56.0,474.0,3046.0,1285.0,42.0,22.0,18.0,55.0,29.0,134.0,7.4,7.4,9.4,1.7,10.7,-0.4,-0.4,1.7,0.27,27,0.26,48.1,10.5,0.0,601,16.0,57.0,235,320.0,83.0,5.0,7.0,379,5,0,0,9,0,0,7,5,12.0
328,Ibrahima Koné,ST,2023-2024,24.0,Mali,2 Teams,2 Comps,10,309,3.4,2,8,40.0,59.0,67.8,2.0,0.0,0.0,3.0,24.0,33.0,72.7,13.0,18.0,72.2,2.0,3,66.7,49.0,241.0,129.0,5.0,1.0,4.0,9.0,2.0,19.0,0.4,0.4,0.5,0.5,0.5,-0.4,-0.4,-0.1,0.11,4,0.0,50.0,12.9,0.0,90,5.0,7.0,48,37.0,10.0,0.0,0.0,52,7,0,0,2,2,0,0,0,0.0
329,Christian Kouamé,LW,2023-2024,25.0,Ivory Coast,Fiorentina,Serie A,23,1089,12.1,11,12,325.0,448.0,72.5,12.0,18.0,1.0,41.0,171.0,216.0,79.2,120.0,155.0,77.4,20.0,35,57.1,361.0,1469.0,455.0,12.0,12.0,5.0,48.0,29.0,110.0,1.9,1.9,3.7,1.2,3.7,0.1,0.1,-0.8,0.08,24,0.08,29.2,17.0,0.0,616,12.0,57.0,244,322.0,50.0,1.0,2.0,431,11,2,1,20,7,2,2,1,3.0
330,Dawid Kownacki,ST,2023-2024,26.0,Poland,Werder Bremen,Bundesliga,22,380,4.2,3,19,69.0,109.0,63.3,5.0,1.0,0.0,10.0,36.0,50.0,72.0,21.0,34.0,61.8,4.0,7,57.1,77.0,346.0,88.0,5.0,1.0,3.0,18.0,5.0,26.0,1.3,1.3,1.6,0.6,1.6,-1.3,-1.3,-0.4,0.07,19,0.0,21.1,16.2,0.0,159,2.0,10.0,66,83.0,31.0,0.0,0.0,104,4,0,1,3,2,0,0,0,0.0
331,Nikola Krstović,ST,2023-2024,23.0,Montenegro,Lecce,Serie A,35,2373,26.4,30,5,354.0,526.0,67.3,41.0,14.0,1.0,52.0,207.0,284.0,72.9,97.0,128.0,75.8,22.0,35,62.9,485.0,2134.0,849.0,32.0,21.0,17.0,102.0,39.0,126.0,11.6,9.2,14.6,1.7,12.3,-4.6,-3.2,-2.0,0.1,89,0.07,22.5,15.9,2.0,864,30.0,60.0,429,386.0,127.0,1.0,6.0,476,48,1,2,4,7,0,7,1,8.0
332,Takefusa Kubo,RW,2023-2024,22.0,Japan,Real Sociedad,La Liga,30,2150,23.9,24,6,611.0,862.0,70.9,58.0,31.0,5.0,89.0,353.0,417.0,84.7,183.0,255.0,71.8,54.0,116,46.6,745.0,6334.0,3378.0,136.0,57.0,63.0,60.0,27.0,231.0,3.5,3.5,9.9,6.5,9.9,3.5,3.5,-2.4,0.08,46,0.15,45.7,17.5,2.0,1161,11.0,94.0,404,683.0,122.0,4.0,7.0,759,98,13,3,145,2,82,7,4,11.0
333,Mohammed Kudus,RW,2023-2024,22.0,Ghana,West Ham,Premier League,33,2484,27.6,27,6,677.0,875.0,77.4,28.0,29.0,16.0,80.0,357.0,405.0,88.1,231.0,281.0,82.2,70.0,108,64.8,904.0,6874.0,3225.0,117.0,62.0,40.0,80.0,93.0,216.0,5.1,5.1,8.6,3.7,8.6,2.9,2.9,2.5,0.08,67,0.12,25.4,18.6,0.0,1311,20.0,193.0,582,590.0,102.0,6.0,8.0,855,16,8,6,94,4,2,8,6,14.0
334,Dejan Kulusevski,RW,2023-2024,23.0,Sweden,Tottenham,Premier League,36,2762,30.7,31,5,953.0,1234.0,77.2,66.0,73.0,19.0,144.0,610.0,700.0,87.1,279.0,363.0,76.9,39.0,72,54.2,1169.0,7680.0,3856.0,151.0,61.0,82.0,86.0,65.0,388.0,4.7,4.7,12.4,6.7,12.4,3.3,3.3,-4.7,0.08,57,0.14,40.4,15.7,0.0,1623,12.0,167.0,503,984.0,226.0,3.0,8.0,1185,42,8,6,89,6,24,8,3,11.0
335,Khvicha Kvaratskhelia,LW,2023-2024,22.0,Georgia,Napoli,Serie A,34,2737,30.4,32,2,965.0,1200.0,80.4,63.0,34.0,2.0,89.0,541.0,598.0,90.5,300.0,372.0,80.6,96.0,162,59.3,1119.0,9260.0,4776.0,184.0,108.0,81.0,58.0,48.0,266.0,11.1,11.1,18.0,5.4,17.9,-0.1,-0.1,-0.8,0.09,128,0.09,35.2,18.8,4.0,1642,10.0,108.0,641,926.0,196.0,6.0,11.0,1110,86,17,30,99,22,45,11,6,17.0
336,Giorgi Kvernadze,ST,2023-2024,20.0,Georgia,Frosinone,Serie A,5,63,0.7,0,5,31.0,36.0,86.1,0.0,0.0,0.0,1.0,17.0,18.0,94.4,10.0,11.0,90.9,3.0,4,75.0,29.0,206.0,49.0,0.0,1.0,0.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,49,0.0,8.0,22,19.0,1.0,0.0,0.0,32,4,0,0,1,4,0,0,0,0.0
337,Moritz-Broni Kwarteng,LW,2023-2024,25.0,Ghana,Bochum,Bundesliga,11,281,3.1,2,9,67.0,94.0,71.3,4.0,2.0,0.0,6.0,37.0,42.0,88.1,25.0,36.0,69.4,3.0,9,33.3,95.0,637.0,250.0,8.0,6.0,3.0,15.0,5.0,24.0,1.0,1.0,1.6,0.1,1.6,-1.0,-1.0,0.5,0.07,14,0.0,21.4,17.5,1.0,153,0.0,14.0,65,76.0,15.0,1.0,0.0,91,3,0,0,5,1,2,0,1,1.0
338,Grejohn Kyei,ST,2023-2024,27.0,France,Clermont Foot,Ligue 1,26,1026,11.4,10,16,198.0,265.0,74.7,12.0,12.0,1.0,30.0,98.0,122.0,80.3,47.0,65.0,72.3,22.0,27,81.5,284.0,1478.0,493.0,12.0,11.0,3.0,38.0,19.0,85.0,4.9,4.1,6.1,1.1,5.3,-2.9,-3.1,-0.2,0.14,30,0.03,23.3,14.6,0.0,406,12.0,18.0,204,185.0,57.0,1.0,1.0,235,27,0,2,2,0,0,2,1,3.0
339,Gaëtan Laborde,RW,2023-2024,29.0,France,Nice,Ligue 1,34,1906,21.2,22,12,366.0,558.0,65.6,27.0,26.0,12.0,46.0,188.0,253.0,74.3,132.0,194.0,68.0,24.0,66,36.4,559.0,2788.0,1068.0,33.0,24.0,16.0,27.0,26.0,161.0,7.7,6.1,9.5,2.2,7.9,-2.7,-2.1,0.2,0.1,62,0.06,35.5,16.0,2.0,780,9.0,77.0,333,377.0,101.0,2.0,4.0,540,16,3,2,62,4,6,5,2,7.0
340,Alexandre Lacazette,ST,2023-2024,32.0,France,Lyon,Ligue 1,29,2293,25.5,27,2,397.0,561.0,70.8,21.0,17.0,2.0,61.0,211.0,283.0,74.6,113.0,156.0,72.4,29.0,46,63.0,576.0,2746.0,910.0,22.0,20.0,10.0,55.0,37.0,144.0,11.4,9.8,13.3,2.1,11.7,7.6,7.2,0.1,0.17,60,0.28,55.0,14.0,6.0,809,14.0,89.0,358,372.0,127.0,2.0,17.0,514,42,1,6,10,2,0,19,2,21.0
341,Mathis Lambourde,ST,2023-2024,17.0,France,Rennes,Ligue 1,1,10,0.1,0,1,4.0,5.0,80.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0,,6.0,33.0,10.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,9,1.0,3.0,3,3.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.0
342,Érik Lamela,RW,2023-2024,31.0,Argentina,Sevilla,La Liga,13,463,5.1,5,8,142.0,174.0,81.6,12.0,6.0,2.0,17.0,90.0,102.0,88.2,43.0,54.0,79.6,2.0,6,33.3,159.0,843.0,400.0,11.0,13.0,4.0,20.0,13.0,28.0,1.0,1.0,2.0,0.7,2.0,1.0,1.0,-1.0,0.11,9,0.22,44.4,14.2,0.0,266,2.0,34.0,101,138.0,26.0,0.0,2.0,165,9,2,0,12,5,1,2,0,2.0
343,Mohamed Lamine Bayo,ST,2023-2024,25.0,Guinea,Le Havre,Ligue 1,22,1389,15.4,16,6,201.0,310.0,64.8,13.0,11.0,1.0,20.0,115.0,163.0,70.6,62.0,94.0,66.0,6.0,13,46.2,325.0,1611.0,585.0,18.0,16.0,14.0,35.0,24.0,115.0,7.2,5.7,7.8,0.6,6.2,-2.2,-2.7,0.4,0.13,43,0.07,34.9,13.2,0.0,479,11.0,31.0,205,245.0,77.0,1.0,3.0,283,26,0,2,8,0,0,5,1,6.0
344,Didier Lamkel Zé,LW,2023-2024,26.0,Cameroon,Metz,Ligue 1,9,550,6.1,7,2,137.0,190.0,72.1,6.0,3.0,0.0,19.0,54.0,67.0,80.6,61.0,81.0,75.3,17.0,28,60.7,192.0,1239.0,542.0,15.0,19.0,4.0,11.0,7.0,23.0,1.6,1.6,2.5,0.2,2.5,-0.6,-0.6,-0.9,0.14,11,0.09,27.3,16.4,0.0,262,15.0,45.0,134,89.0,15.0,0.0,1.0,179,10,5,6,13,1,2,1,0,1.0
345,Gianluca Lapadula,ST,2023-2024,33.0,Peru,Cagliari,Serie A,23,1205,13.4,14,9,120.0,171.0,70.2,19.0,3.0,2.0,4.0,72.0,91.0,79.1,34.0,42.0,81.0,6.0,11,54.5,143.0,651.0,237.0,8.0,6.0,7.0,21.0,8.0,63.0,4.8,4.1,5.9,0.7,5.1,-1.8,-2.1,-0.1,0.12,34,0.06,29.4,14.2,2.0,262,7.0,23.0,97,145.0,67.0,1.0,2.0,148,22,1,0,7,0,0,3,1,4.0
346,Cyle Larin,St,2023-2024,28.0,Canada,Mallorca,La Liga,35,1823,20.3,20,15,184.0,294.0,62.6,11.0,1.0,0.0,13.0,107.0,149.0,71.8,51.0,79.0,64.6,10.0,16,62.5,310.0,1608.0,571.0,20.0,13.0,17.0,58.0,34.0,103.0,9.0,9.0,10.4,0.5,10.4,-6.0,-6.0,0.6,0.13,69,0.04,36.2,12.7,0.0,548,26.0,51.0,209,297.0,111.0,2.0,3.0,278,13,0,1,7,1,0,3,2,5.0
347,Juanmi Latasa,ST,2023-2024,22.0,Spain,Getafe,La Liga,32,1555,17.3,15,17,192.0,368.0,52.2,19.0,8.0,0.0,16.0,121.0,209.0,57.9,46.0,97.0,47.4,7.0,18,38.9,278.0,968.0,262.0,7.0,10.0,3.0,66.0,21.0,82.0,3.6,3.5,5.0,1.4,5.0,-1.6,-1.5,-1.5,0.08,44,0.05,34.1,12.7,0.0,578,21.0,32.0,255,295.0,104.0,0.0,2.0,354,11,0,0,2,0,0,2,0,2.0
