,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
906,Christopher Wooh,CB,2023-2024,21,Rennes,Ligue 1,Classic Center Back
907,Joe Worrall,CB,2023-2024,26,Nott'ham Forest,Premier League,Central Defender
908,Antal Yaakobishvili,CB,2023-2024,19,Girona,La Liga,Central Defender
910,Leny Yoro,CB,2023-2024,17,Lille,Ligue 1,Classic Center Back
912,Etienne Youte Kinkoue,CB,2023-2024,21,Le Havre,Ligue 1,Classic Center Back
913,Illia Zabarnyi,CB,2023-2024,20,Bournemouth,Premier League,Classic Center Back
914,Dan-Axel Zagadou,CB,2023-2024,24,Stuttgart,Bundesliga,Classic Center Back
923,Cedric Zesiger,CB,2023-2024,25,Wolfsburg,Bundesliga,Classic Center Back
924,Nathan Zeze,CB,2023-2024,18,Nantes,Ligue 1,Central Defender
925,David Zima,CB,2023-2024,22,Torino,Serie A,Central Defender
926,Christoph Zimmermann,CB,2023-2024,30,Darmstadt 98,Bundesliga,Central Defender
930,Kurt Zouma,CB,2023-2024,28,West Ham,Premier League,Classic Center Back
0,Max Aarons,RB,2023-2024,23,Bournemouth,Premier League,Wing Back
3,Abner,LB,2023-2024,23,Betis,La Liga,Wing Back
6,Joshua Acheampong,RB,2023-2024,17,Chelsea,Premier League,Wing Back
7,Marcos Acuña,LWB,2023-2024,31,Sevilla,La Liga,Inverted Wing Back
12,Felix Agu,LWB,2023-2024,23,Werder Bremen,Bundesliga,Inverted Wing Back
14,Ruben Aguilar,RWB,2023-2024,30,Lens,Ligue 1,Inverted Wing Back
17,Ola Aina,LB,2023-2024,26,Nott'ham Forest,Premier League,Inverted Wing Back
18,Rayan Aït-Nouri,LB,2023-2024,22,Wolves,Premier League,Inverted Wing Back
22,Sergio Akieme,LB,2023-2024,25,Reims,Ligue 1,Inverted Wing Back
27,Trent Alexander-Arnold,RB,2023-2024,24,Liverpool,Premier League,Inverted Wing Back
28,Jim Allevinah,LB,2023-2024,28,Clermont Foot,Ligue 1,Inverted Wing Back
29,Marcos Alonso,LB,2023-2024,32,Barcelona,La Liga,Wing Back
30,Adrià Altimira,RB,2023-2024,22,Villarreal,La Liga,Wing Back
32,Hugo Álvarez,LB,2023-2024,20,Celta Vigo,La Liga,Wing Back
34,Jordan Amavi,LB,2023-2024,29,Brest,Ligue 1,Wing Back
35,Kelvin Amian,RB,2023-2024,25,Nantes,Ligue 1,Wing Back
37,Michael Amir Murillo,RB,2023-2024,27,Marseille,Ligue 1,Wing Back
40,Angeliño,LB,2023-2024,26,Roma,Serie A,Wing Back
41,Fabrizio Angileri,LB,2023-2024,29,Getafe,La Liga,Wing Back
43,Jon Aramburu,RB,2023-2024,21,Real Sociedad,La Liga,Wing Back
44,Julian Araujo,RB,2023-2024,21,Las Palmas,La Liga,Inverted Wing Back
46,Jesús Areso,RB,2023-2024,24,Osasuna,La Liga,Inverted Wing Back
47,Yoël Armougom,LB,2023-2024,25,Clermont Foot,Ligue 1,Wing Back
48,Arthur,LWB,2023-2024,20,Leverkusen,Bundesliga,Wing Back
49,Lorenz Assignon,RB,2023-2024,23,Rennes,Ligue 1,Inverted Wing Back
50,Youcef Atal,RB,2023-2024,27,Nice,Ligue 1,Wing Back
51,Tommaso Augello,LB,2023-2024,28,Cagliari,Serie A,Inverted Wing Back
52,Carlos Augusto,LB,2023-2024,24,Inter,Serie A,Inverted Wing Back
54,Serge Aurier,RB,2023-2024,30,Nott'ham Forest,Premier League,Wing Back
56,Paulo Azzi,LB,2023-2024,29,Cagliari,Serie A,Inverted Wing Back
58,Aliou Badara Baldé,RB,2023-2024,20,Nice,Ligue 1,Wing Back
60,Matthias Bader,RB,2023-2024,26,Darmstadt 98,Bundesliga,Inverted Wing Back
63,Mitchel Bakker,LB,2023-2024,23,Atalanta,Serie A,Wing Back
64,Ridle Baku,RB,2023-2024,25,Wolfsburg,Bundesliga,Inverted Wing Back
65,Alejandro Balde,LB,2023-2024,19,Barcelona,La Liga,Inverted Wing Back
66,George Baldock,RB,2023-2024,30,Sheffield Utd,Premier League,Wing Back
68,Iván Balliu,RB,2023-2024,31,Rayo Vallecano,La Liga,Inverted Wing Back
69,Fodé Ballo-Touré,RB,2023-2024,26,Fulham,Premier League,Wing Back
71,Valentín Barco,LB,2023-2024,19,Brighton,Premier League,Wing Back
72,Melvin Bard,LB,2023-2024,22,Nice,Ligue 1,Inverted Wing Back
80,Simone Bastoni,LB,2023-2024,26,Empoli,Serie A,Wing Back
82,Elias Baum,RB,2023-2024,17,Eint Frankfurt,Bundesliga,Wing Back
83,Owen Beck,LB,2023-2024,20,Liverpool,Premier League,Wing Back
86,Raoul Bellanova,RB,2023-2024,23,Torino,Serie A,Inverted Wing Back
87,Héctor Bellerín,RB,2023-2024,28,Betis,La Liga,Inverted Wing Back
89,Ramy Bensebaini,LB,2023-2024,28,Dortmund,Bundesliga,Wing Back
91,Yuri Berchiche,LB,2023-2024,33,Athletic Club,La Liga,Inverted Wing Back
92,Bartosz Bereszyński,RB,2023-2024,31,Empoli,Serie A,Inverted Wing Back
93,Bernardo,LB,2023-2024,28,Bochum,Bundesliga,Inverted Wing Back
94,Victor Bernth Kristiansen,LB,2023-2024,20,Bologna,Serie A,Inverted Wing Back
98,Cristiano Biraghi,LB,2023-2024,30,Fiorentina,Serie A,Inverted Wing Back
100,Samuele Birindelli,RB,2023-2024,24,Monza,Serie A,Inverted Wing Back
104,Sacha Boey,RB,2023-2024,22,Bayern Munich,Bundesliga,Wing Back
105,Jayden Bogle,RB,2023-2024,23,Sheffield Utd,Premier League,Inverted Wing Back
110,Neto Borges,LWB,2023-2024,26,Clermont Foot,Ligue 1,Inverted Wing Back
114,Domagoj Bradarić,LWB,2023-2024,23,Salernitana,Serie A,Inverted Wing Back
115,Conor Bradley,RB,2023-2024,20,Liverpool,Premier League,Inverted Wing Back
119,Brau,LB,2023-2024,21,Granada,La Liga,Wing Back
123,Tajon Buchanan,RB,2023-2024,24,Inter,Serie A,Wing Back
124,Hugo Bueno,LB,2023-2024,20,Wolves,Premier League,Wing Back
126,Marius Bülter,LWB,2023-2024,30,Hoffenheim,Bundesliga,Inverted Wing Back
129,Dan Burn,LB,2023-2024,31,Newcastle Utd,Premier League,Inverted Wing Back
130,Marnon Busch,RB,2023-2024,28,Heidenheim,Bundesliga,Wing Back
131,Pablo Busto,RB,2023-2024,17,Betis,La Liga,Wing Back
132,Aurélio Buta,RWB,2023-2024,26,Eint Frankfurt,Bundesliga,Inverted Wing Back
133,Liberato Cacace,LB,2023-2024,22,Empoli,Serie A,Inverted Wing Back
134,Anthony Caci,LWB,2023-2024,26,Mainz 05,Bundesliga,Inverted Wing Back
135,Davide Calabria,RB,2023-2024,26,Milan,Serie A,Inverted Wing Back
136,Riccardo Calafiori,LB,2023-2024,21,Bologna,Serie A,Inverted Wing Back
140,Andrea Cambiaso,LB,2023-2024,23,Juventus,Serie A,Inverted Wing Back
141,João Cancelo,RB,2023-2024,29,Barcelona,La Liga,Inverted Wing Back
144,Isaac Carcelen,RB,2023-2024,30,Cádiz,La Liga,Inverted Wing Back
145,Sergi Cardona,LB,2023-2024,24,Las Palmas,La Liga,Inverted Wing Back
146,Igor Carioca,RB,2023-2024,26,Lorient,Ligue 1,Wing Back
148,Carmona,RWB,2023-2024,21,Getafe,La Liga,Wing Back
149,Rasmus Carstensen,RB,2023-2024,22,Köln,Bundesliga,Inverted Wing Back
150,Antonin Cartillier,LB,2023-2024,19,Monaco,Ligue 1,Wing Back
151,Dani Carvajal,RB,2023-2024,31,Real Madrid,La Liga,Inverted Wing Back
154,Matty Cash,RB,2023-2024,25,Aston Villa,Premier League,Inverted Wing Back
155,Timothy Castagne,RB,2023-2024,27,Fulham,Premier League,Inverted Wing Back
159,Zeki Çelik,RB,2023-2024,26,Roma,Serie A,Wing Back
160,Álex Centelles,LB,2023-2024,25,Almería,La Liga,Wing Back
161,Fabien Centonze,RB,2023-2024,27,Nantes,2 Comps,Wing Back
166,Pep Chavarría,LB,2023-2024,25,Rayo Vallecano,La Liga,Wing Back
167,Jhoanner Chávez,LWB,2023-2024,21,Lens,Ligue 1,Wing Back
169,Ben Chilwell,LB,2023-2024,26,Chelsea,Premier League,Wing Back
173,Patrick Ciurria,RWB,2023-2024,28,Monza,Serie A,Inverted Wing Back
174,Jonathan Clauss,RB,2023-2024,30,Marseille,Ligue 1,Inverted Wing Back
175,Nathaniel Clyne,RB,2023-2024,32,Crystal Palace,Premier League,Wing Back
176,Marcus Coco,RWB,2023-2024,27,Nantes,Ligue 1,Inverted Wing Back
178,Séamus Coleman,RB,2023-2024,34,Everton,Premier League,Wing Back
179,Maxime Colin,RB,2023-2024,31,Metz,Ligue 1,Inverted Wing Back
181,Nnamdi Collins,RB,2023-2024,19,Eint Frankfurt,Bundesliga,Wing Back
184,Pietro Comuzzo,RB,2023-2024,18,Fiorentina,Serie A,Wing Back
187,Tommaso Corazza,RB,2023-2024,19,Bologna,Serie A,Wing Back
188,Thierry Correia,RB,2023-2024,24,Valencia,La Liga,Full Back
189,Danny da Costa,RWB,2023-2024,30,Mainz 05,Bundesliga,Wing Back
190,Jaume Costa,LWB,2023-2024,35,Mallorca,La Liga,Wing Back
192,Vladimír Coufal,RB,2023-2024,30,West Ham,Premier League,Full Back
193,Yan Couto,RWB,2023-2024,21,Girona,La Liga,Full Back
195,Aaron Cresswell,LB,2023-2024,33,West Ham,Premier League,Wing Back
196,Juan Cruz Armada,LB,2023-2024,31,Osasuna,La Liga,Wing Back
197,Juan Cuadrado,RB,2023-2024,35,Inter,Serie A,Wing Back
199,Marc Cucurella,LB,2023-2024,25,Chelsea,Premier League,Full Back
202,Sam Curtis,RB,2023-2024,17,Sheffield Utd,Premier League,Wing Back
203,Danilo D'Ambrosio,RB,2023-2024,34,Monza,Serie A,Full Back
205,Diogo Dalot,RB,2023-2024,24,Manchester Utd,Premier League,Full Back
211,Matteo Darmian,RB,2023-2024,33,Inter,Serie A,Full Back
213,Alphonso Davies,LB,2023-2024,22,Bayern Munich,Bundesliga,Full Back
214,Ben Davies,LB,2023-2024,30,Tottenham,Premier League,Wing Back
217,Mattia De Sciglio,RB,2023-2024,30,Juventus,Serie A,Wing Back
218,Lorenzo De Silvestri,RB,2023-2024,35,Bologna,Serie A,Wing Back
219,Thibault De Smet,LB,2023-2024,25,Reims,Ligue 1,Full Back
221,Thomas Delaine,LB,2023-2024,31,Strasbourg,Ligue 1,Wing Back
222,Hannes Delcroix,LB,2023-2024,24,Burnley,Premier League,Wing Back
224,Olivier Deman,LWB,2023-2024,23,Werder Bremen,Bundesliga,Wing Back
226,Mikkel Desler,RB,2023-2024,28,Toulouse,Ligue 1,Wing Back
227,Giovanni Di Lorenzo,RB,2023-2024,29,Napoli,Serie A,Full Back
228,Alessandro Di Pardo,RB,2023-2024,24,Cagliari,Serie A,Wing Back
231,Ibrahim Diakité,RWB,2023-2024,19,Reims,Ligue 1,Wing Back
234,Krépin Diatta,RB,2023-2024,24,Monaco,Ligue 1,Wing Back
237,Lucas Digne,LB,2023-2024,30,Aston Villa,Premier League,Full Back
238,Federico Dimarco,LB,2023-2024,25,Inter,Serie A,Wing Back
246,Dodô,RB,2023-2024,24,Fiorentina,Serie A,Wing Back
248,Matt Doherty,RB,2023-2024,31,Wolves,Premier League,Wing Back
249,Josh Doig,LB,2023-2024,21,Sassuolo,Serie A,Wing Back
252,Patrick Dorgu,LB,2023-2024,18,Lecce,Serie A,Wing Back
254,Guela Doué,RB,2023-2024,20,Rennes,Ligue 1,Wing Back
255,Alfie Doughty,LWB,2023-2024,23,Luton Town,Premier League,Full Back
259,Rubén Duarte,LB,2023-2024,27,Alavés,La Liga,Wing Back
260,Denzel Dumfries,RB,2023-2024,27,Inter,Serie A,Wing Back
261,Paul Dummett,LB,2023-2024,31,Newcastle Utd,Premier League,Wing Back
267,Kingsley Ehizibue,RWB,2023-2024,28,Udinese,Serie A,Wing Back
271,Emerson,LB,2023-2024,24,Tottenham,Premier League,Wing Back
273,Alfonso Espino,LB,2023-2024,31,Rayo Vallecano,La Liga,Full Back
276,Pervis Estupiñán,LB,2023-2024,25,Brighton,Premier League,Wing Back
279,Davide Faraoni,RWB,2023-2024,31,Hellas Verona,Serie A,Wing Back
284,Kiko Femenía,RB,2023-2024,32,Villarreal,La Liga,Wing Back
287,Max Finkgräfe,LB,2023-2024,19,Köln,Bundesliga,Full Back
288,Alessandro Florenzi,RB,2023-2024,32,Milan,Serie A,Full Back
289,Jonas Föhrenbach,LB,2023-2024,27,Heidenheim,Bundesliga,Full Back
290,Thomas Foket,RB,2023-2024,28,Reims,Ligue 1,Wing Back
291,Héctor Fort,RB,2023-2024,16,Barcelona,La Liga,Wing Back
292,Dimitri Foulquier,RB,2023-2024,30,Valencia,La Liga,Wing Back
293,Juan Foyth,RB,2023-2024,25,Villarreal,La Liga,Wing Back
294,Przemysław Frankowski,RWB,2023-2024,28,Lens,Ligue 1,Full Back
297,Jeremie Frimpong,RWB,2023-2024,22,Leverkusen,Bundesliga,Wing Back
299,Javi Galán,LB,2023-2024,28,Atlético Madrid,La Liga,Wing Back
300,Antonino Gallo,LB,2023-2024,23,Lecce,Serie A,Full Back
301,Cristian Gamboa,RB,2023-2024,33,Bochum,Bundesliga,Wing Back
304,Fran Garcia,LB,2023-2024,23,Real Madrid,La Liga,Wing Back
305,Ulisses Garcia,LB,2023-2024,27,Marseille,Ligue 1,Wing Back
309,Valentin Gendrey,RB,2023-2024,23,Lecce,Serie A,Full Back
322,Giovanni González,RWB,2023-2024,28,Mallorca,La Liga,Full Back
323,Andoni Gorosabel,RB,2023-2024,26,Alavés,La Liga,Full Back
324,Robin Gosens,LWB,2023-2024,29,Union Berlin,Bundesliga,Full Back
328,Álex Grimaldo,LWB,2023-2024,27,Leverkusen,Bundesliga,Full Back
331,Gabriel Gudmundsson,LB,2023-2024,24,Lille,Ligue 1,Wing Back
332,Axel Gueguin,LWB,2023-2024,18,Montpellier,Ligue 1,Wing Back
334,Raphaël Guerreiro,LB,2023-2024,29,Bayern Munich,Bundesliga,Wing Back
337,Frederic Guilbert,LB,2023-2024,28,Strasbourg,Ligue 1,Full Back
339,Robert Gumny,RB,2023-2024,25,Augsburg,Bundesliga,Wing Back
340,Christian Günter,LB,2023-2024,30,Freiburg,Bundesliga,Wing Back
341,Malo Gusto,RB,2023-2024,20,Chelsea,Premier League,Full Back
342,Miguel Gutiérrez,LB,2023-2024,22,Girona,La Liga,Wing Back
343,Joško Gvardiol,LB,2023-2024,21,Manchester City,Premier League,Full Back
344,Emmanuel Gyasi,RWB,2023-2024,29,Empoli,Serie A,Wing Back
346,Jaouen Hadjam,LB,2023-2024,20,Nantes,Ligue 1,Wing Back
347,Massadio Haïdara,LWB,2023-2024,30,Lens,Ligue 1,Wing Back
348,Oualid El Hajjam,RB,2023-2024,32,Le Havre,Ligue 1,Wing Back
349,Achraf Hakimi,RB,2023-2024,24,Paris S-G,Ligue 1,Wing Back
350,Lewis Hall,LB,2023-2024,18,Newcastle Utd,Premier League,Wing Back
353,Daiki Hashioka,RWB,2023-2024,24,Luton Town,Premier League,Wing Back
354,Hans Hateboer,RB,2023-2024,29,Atalanta,Serie A,Wing Back
357,Dominique Heintz,LB,2023-2024,29,Köln,Bundesliga,Wing Back
358,Benjamin Henrichs,RB,2023-2024,26,RB Leipzig,Bundesliga,Inverted Wing Back
359,Henrique,LWB,2023-2024,29,Lyon,Ligue 1,Wing Back
360,Rico Henry,LB,2023-2024,26,Brentford,Premier League,Wing Back
363,Javi Hernández,LB,2023-2024,25,Cádiz,La Liga,Inverted Wing Back
367,Theo Hernández,LB,2023-2024,25,Milan,Serie A,Inverted Wing Back
371,Aaron Hickey,RWB,2023-2024,21,Brentford,Premier League,Wing Back
373,James Hill,RB,2023-2024,21,Bournemouth,Premier League,Wing Back
375,Jack Hinshelwood,RB,2023-2024,18,Brighton,Premier League,Wing Back
377,Emil Holm,RWB,2023-2024,23,Atalanta,Serie A,Wing Back
381,Elseid Hysaj,LB,2023-2024,29,Lazio,Serie A,Wing Back
382,Iago,LB,2023-2024,26,Augsburg,Bundesliga,Wing Back
383,Iglesias,RB,2023-2024,25,Getafe,La Liga,Wing Back
385,Imanol,LB,2023-2024,23,Athletic Club,La Liga,Wing Back
387,Ismaily,LB,2023-2024,33,Lille,Ligue 1,Inverted Wing Back
391,Diego Iturralde,LB,2023-2024,20,Sevilla,La Liga,Wing Back
393,Jérémy Jacquet,RB,2023-2024,18,Clermont Foot,Ligue 1,Wing Back
395,Ismail Jakobs,LB,2023-2024,23,Monaco,Ligue 1,Inverted Wing Back
396,Reece James,RB,2023-2024,23,Chelsea,Premier League,Wing Back
400,Alejandro Jiménez,LB,2023-2024,18,Milan,Serie A,Wing Back
401,Ryan John Giles,LB,2023-2024,23,Luton Town,Premier League,Wing Back
402,Ben Johnson,RB,2023-2024,23,West Ham,Premier League,Wing Back
409,Josip Juranović,RB,2023-2024,27,Union Berlin,Bundesliga,Wing Back
410,David Jurásek,LB,2023-2024,22,Hoffenheim,Bundesliga,Wing Back
413,Issa Kaboré,RWB,2023-2024,22,Luton Town,Premier League,Inverted Wing Back
414,Pavel Kadeřábek,RWB,2023-2024,31,Hoffenheim,Bundesliga,Inverted Wing Back
416,Gedeon Kalulu,RB,2023-2024,25,Lorient,Ligue 1,Wing Back
418,Waren Kamanzi,RWB,2023-2024,22,Toulouse,Ligue 1,Inverted Wing Back
419,Hassane Kamara,LWB,2023-2024,29,Udinese,Serie A,Inverted Wing Back
421,Emir Karic,LWB,2023-2024,26,Darmstadt 98,Bundesliga,Inverted Wing Back
422,Rick Karsdorp,RB,2023-2024,28,Roma,Serie A,Wing Back
423,Panos Katseris,RWB,2023-2024,22,Lorient,Ligue 1,Wing Back
424,Michael Kayode,RB,2023-2024,19,Fiorentina,Serie A,Inverted Wing Back
430,Milos Kerkez,LB,2023-2024,19,Bournemouth,Premier League,Inverted Wing Back
434,Jakub Kiwior,LB,2023-2024,23,Arsenal,Premier League,Wing Back
437,Lukas Klostermann,LB,2023-2024,27,RB Leipzig,Bundesliga,Wing Back
441,Sead Kolašinac,LB,2023-2024,30,Atalanta,Serie A,Inverted Wing Back
442,Cheick Konaté,RB,2023-2024,19,Clermont Foot,Ligue 1,Wing Back
444,Abdoul Koné,RB,2023-2024,18,Reims,Ligue 1,Wing Back
447,Filip Kostić,LWB,2023-2024,30,Juventus,Serie A,Inverted Wing Back
448,Koffi Kouao,RB,2023-2024,25,Metz,Ligue 1,Wing Back
449,Therence Koudou,RB,2023-2024,18,Reims,Ligue 1,Wing Back
452,Emil Krafth,RB,2023-2024,28,Newcastle Utd,Premier League,Wing Back
453,Frans Krätzig,LWB,2023-2024,20,Bayern Munich,Bundesliga,Wing Back
454,Rasmus Kristensen,RB,2023-2024,26,Roma,Serie A,Full Back
456,Lukas Kübler,LB,2023-2024,30,Freiburg,Bundesliga,Full Back
457,Sael Kumbedi,RB,2023-2024,18,Lyon,Ligue 1,Wing Back
459,Layvin Kurzawa,LB,2023-2024,30,Paris S-G,Ligue 1,Wing Back
460,Giorgos Kyriakopoulos,LWB,2023-2024,27,Monza,Serie A,Inverted Wing Back
463,Stefan Lainer,RB,2023-2024,30,Gladbach,Bundesliga,Wing Back
464,Kenny Lala,RB,2023-2024,31,Brest,Ligue 1,Inverted Wing Back
465,Tariq Lamptey,RB,2023-2024,22,Brighton,Premier League,Inverted Wing Back
466,Bruno Langa,LB,2023-2024,25,Almería,La Liga,Wing Back
470,Toni Lato,LWB,2023-2024,25,Mallorca,La Liga,Wing Back
471,Valentino Lazaro,RWB,2023-2024,27,Torino,Serie A,Inverted Wing Back
472,Manuel Lazzari,RB,2023-2024,29,Lazio,Serie A,Inverted Wing Back
473,Théo Le Bris,LWB,2023-2024,20,Lorient,Ligue 1,Inverted Wing Back
475,Vincent Le Goff,LWB,2023-2024,33,Lorient,Ligue 1,Wing Back
481,Iñigo Lekue,LB,2023-2024,30,Athletic Club,La Liga,Inverted Wing Back
482,Álvaro Lemos,RB,2023-2024,30,Las Palmas,La Liga,Wing Back
485,Christopher Lenz,LB,2023-2024,28,RB Leipzig,Bundesliga,Wing Back
486,Rico Lewis,RB,2023-2024,18,Manchester City,Premier League,Wing Back
490,Samuel Lino,LWB,2023-2024,23,Atlético Madrid,La Liga,Inverted Wing Back
491,Pol Lirola,RB,2023-2024,25,Frosinone,Serie A,Inverted Wing Back
492,Valentino Livramento,RB,2023-2024,20,Newcastle Utd,Premier League,Inverted Wing Back
495,Bradley Locko,LB,2023-2024,21,Brest,Ligue 1,Inverted Wing Back
497,Renan Lodi,LB,2023-2024,25,Marseille,Ligue 1,Wing Back
500,Javi López,LB,2023-2024,21,Alavés,La Liga,Inverted Wing Back
501,Jordan Lotomba,RB,2023-2024,24,Nice,Ligue 1,Inverted Wing Back
504,Max Lowe,LB,2023-2024,26,Sheffield Utd,Premier League,Wing Back
505,Lucas,LB,2023-2024,22,Cádiz,La Liga,Inverted Wing Back
507,José Luis Gayà,LB,2023-2024,28,Valencia,La Liga,Inverted Wing Back
512,Charalambos Lykogiannis,LB,2023-2024,29,Bologna,Serie A,Wing Back
513,Ian Maatsen,LB,2023-2024,21,Dortmund,Bundesliga,Inverted Wing Back
514,Deiver Machado,LWB,2023-2024,29,Lens,Ligue 1,Wing Back
515,Pablo Maffeo,RB,2023-2024,26,Mallorca,La Liga,Inverted Wing Back
522,Ainsley Maitland-Niles,RWB,2023-2024,25,Lyon,Ligue 1,Inverted Wing Back
523,Jordy Makengo,LB,2023-2024,21,Freiburg,Bundesliga,Wing Back
525,Wilson Manafá,RB,2023-2024,29,Granada,La Liga,Wing Back
530,Javier Manquillo,LB,2023-2024,29,Celta Vigo,La Liga,Wing Back
531,Faitout Maouassa,LB,2023-2024,25,Granada,La Liga,Wing Back
