,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
106,Jonathan Burkardt,ST,2023-2024,23.0,Mainz 05,Bundesliga,Target Man
108,Rareș-Cătălin Burnete,ST,2023-2024,19.0,Lecce,Serie A,Complete Forward
109,Mason Burstow,ST,2023-2024,19.0,Chelsea,Premier League,Complete Forward
112,Dominic Calvert-Lewin,ST,2023-2024,26.0,Everton,Premier League,Target Man
113,Francesco Camarda,ST,2023-2024,15.0,Milan,Serie A,Complete Forward
115,Sergio Camello,ST,2023-2024,22.0,Rayo Vallecano,La Liga,Complete Forward
117,Thomas Cannon,ST,2023-2024,20.0,Everton,Premier League,Complete Forward
119,Francesco Caputo,ST,2023-2024,35.0,Empoli,Serie A,Complete Forward
120,Marc Cardona,ST,2023-2024,28.0,Las Palmas,La Liga,Complete Forward
123,Valentín Castellanos,ST,2023-2024,24.0,Lazio,Serie A,Target Man
125,Santiago Castro,ST,2023-2024,18.0,Bologna,Serie A,Complete Forward
130,Alberto Cerri,ST,2023-2024,27.0,Empoli,Serie A,Complete Forward
132,Walid Cheddira,ST,2023-2024,25.0,Frosinone,Serie A,Complete Forward
133,Youssef Chermiti,ST,2023-2024,19.0,Everton,Premier League,Complete Forward
135,Leon Chiwome,ST,2023-2024,17.0,Wolves,Premier League,Complete Forward
138,Lorenzo Colombo,ST,2023-2024,21.0,2 Teams,Serie A,Complete Forward
141,Giacomo Corona,ST,2023-2024,19.0,Empoli,Serie A,Complete Forward
143,Joaquín Correa,ST,2023-2024,28.0,2 Teams,2 Comps,Complete Forward
147,Matheus Cunha,ST,2023-2024,24.0,Wolves,Premier League,Complete Forward
148,Marvin Cuni,ST,2023-2024,22.0,Frosinone,Serie A,Complete Forward
149,Tomáš Čvančara,ST,2023-2024,22.0,Gladbach,Bundesliga,Complete Forward
150,Trévis Dago,ST,2023-2024,18.0,Lille,Ligue 1,Complete Forward
151,Thijs Dallinga,ST,2023-2024,22.0,Toulouse,Ligue 1,Complete Forward
152,Jayden Danns,ST,2023-2024,17.0,Liverpool,Premier League,Complete Forward
154,David Datro Fofana,ST,2023-2024,20.0,2 Teams,2 Comps,Complete Forward
155,Jonathan David,ST,2023-2024,23.0,Lille,Ligue 1,Target Man
156,Keinan Davis,ST,2023-2024,25.0,Udinese,Serie A,Complete Forward
158,Grégoire Defrel,ST,2023-2024,32.0,Sassuolo,Serie A,Complete Forward
160,Ermedin Demirović,ST,2023-2024,25.0,Augsburg,Bundesliga,Target Man
161,Mattia Destro,ST,2023-2024,32.0,Empoli,Serie A,Complete Forward
163,Boulaye Dia,ST,2023-2024,26.0,Salernitana,Serie A,Complete Forward
166,Oumar Diakité,ST,2023-2024,19.0,Reims,Ligue 1,Complete Forward
171,Famara Diedhiou,ST,2023-2024,30.0,Granada,La Liga,Complete Forward
173,Bamba Dieng,ST,2023-2024,23.0,Lorient,Ligue 1,Complete Forward
174,Florian Dietz,ST,2023-2024,24.0,Köln,Bundesliga,Complete Forward
179,Mario Dominguez,ST,2023-2024,19.0,Valencia,La Liga,Complete Forward
181,Siriné Doucouré,ST,2023-2024,21.0,Lorient,Ligue 1,Complete Forward
182,Anastasios Douvikas,ST,2023-2024,23.0,Celta Vigo,La Liga,Complete Forward
183,Artem Dovbyk,ST,2023-2024,26.0,Girona,La Liga,Target Man
184,Damion Downs,ST,2023-2024,19.0,Köln,Bundesliga,Complete Forward
186,Dion Drena Beljo,ST,2023-2024,21.0,Augsburg,Bundesliga,Complete Forward
187,Marvin Ducksch,ST,2023-2024,29.0,Werder Bremen,Bundesliga,Target Man
188,Jhon Durán,ST,2023-2024,19.0,Aston Villa,Premier League,Complete Forward
190,Hugo Duro,ST,2023-2024,23.0,Valencia,La Liga,Complete Forward
193,Odsonne Édouard,ST,2023-2024,25.0,Crystal Palace,Premier League,Complete Forward
194,Hugo Ekitike,ST,2023-2024,21.0,2 Teams,2 Comps,Complete Forward
196,Caleb Ekuban,ST,2023-2024,29.0,Genoa,Serie A,Complete Forward
198,Simon Elisor,ST,2023-2024,24.0,Metz,Ligue 1,Complete Forward
201,Breel Embolo,ST,2023-2024,26.0,Monaco,Ligue 1,Complete Forward
202,Emanuel Emegha,ST,2023-2024,20.0,Strasbourg,Ligue 1,Complete Forward
203,Youssef En-Nesyri,ST,2023-2024,26.0,Sevilla,La Liga,Target Man
204,Oscar Estupiñan,ST,2023-2024,26.0,Metz,Ligue 1,Complete Forward
206,Radamel Falcao,ST,2023-2024,37.0,Rayo Vallecano,La Liga,Complete Forward
209,Evan Ferguson,ST,2023-2024,18.0,Brighton,Premier League,Complete Forward
210,Carlos Fernández,ST,2023-2024,27.0,Real Sociedad,La Liga,Complete Forward
212,Nacho Ferri,ST,2023-2024,18.0,Eint Frankfurt,Bundesliga,Complete Forward
213,Rachad Fettal,ST,2023-2024,18.0,Almería,La Liga,Complete Forward
217,Lyle Foster,ST,2023-2024,22.0,Burnley,Premier League,Complete Forward
218,Nathan Fraser,ST,2023-2024,18.0,Wolves,Premier League,Complete Forward
221,Shiō Fukuda,ST,2023-2024,19.0,Gladbach,Bundesliga,Complete Forward
222,Niclas Füllkrug,ST,2023-2024,30.0,2 Teams,Bundesliga,Complete Forward
223,Gerardo Fusco,ST,2023-2024,18.0,Salernitana,Serie A,Complete Forward
227,Ignatius Ganago,ST,2023-2024,24.0,Nantes,Ligue 1,Complete Forward
232,Raúl García,ST,2023-2024,37.0,Athletic Club,La Liga,Complete Forward
237,Olivier Giroud,ST,2023-2024,36.0,Milan,Serie A,Target Man
240,Maxi Gómez,ST,2023-2024,26.0,Cádiz,La Liga,Complete Forward
245,Amine Gouiri,ST,2023-2024,23.0,Rennes,Ligue 1,Complete Forward
246,Adrian Grbić,ST,2023-2024,26.0,Lorient,Ligue 1,Complete Forward
248,Michael Gregoritsch,ST,2023-2024,29.0,Freiburg,Bundesliga,Complete Forward
250,Sergi Guardiola,ST,2023-2024,32.0,Cádiz,La Liga,Complete Forward
251,Albert Guðmundsson,ST,2023-2024,26.0,Genoa,Serie A,Target Man
253,Evann Guessand,ST,2023-2024,22.0,Nice,Ligue 1,Complete Forward
255,Serhou Guirassy,ST,2023-2024,27.0,Stuttgart,Bundesliga,Target Man
256,Marc Guiu,ST,2023-2024,17.0,Barcelona,La Liga,Complete Forward
258,Gorka Guruzeta,ST,2023-2024,26.0,Athletic Club,La Liga,Target Man
259,Erling Haaland,ST,2023-2024,23.0,Manchester City,Premier League,Target Man
261,Antwoine Hackford,ST,2023-2024,19.0,Sheffield Utd,Premier League,Complete Forward
262,Munir El Haddadi,ST,2023-2024,27.0,Las Palmas,La Liga,Complete Forward
263,Sébastien Haller,ST,2023-2024,29.0,Dortmund,Bundesliga,Complete Forward
264,Hwang Hee-chan,ST,2023-2024,27.0,Wolves,Premier League,Target Man
267,Thomas Henry,ST,2023-2024,28.0,Hellas Verona,Serie A,Complete Forward
271,Philipp Hofmann,ST,2023-2024,30.0,Bochum,Bundesliga,Target Man
272,Lucas Höler,ST,2023-2024,29.0,Freiburg,Bundesliga,Target Man
273,Benedict Hollerbach,ST,2023-2024,22.0,Union Berlin,Bundesliga,Target Man
275,Sydney van Hooijdonk,ST,2023-2024,23.0,Bologna,Serie A,Complete Forward
276,Fraser Hornby,ST,2023-2024,23.0,Darmstadt 98,Bundesliga,Complete Forward
277,Rasmus Højlund,ST,2023-2024,20.0,Manchester Utd,Premier League,Target Man
280,Borja Iglesias,ST,2023-2024,30.0,2 Teams,2 Comps,Complete Forward
282,Chukwubuikem Ikwuemesi,ST,2023-2024,21.0,Salernitana,Serie A,Complete Forward
283,Andrej Ilic,ST,2023-2024,23.0,Lille,Ligue 1,Complete Forward
284,Joel Imasuen,ST,2023-2024,18.0,Werder Bremen,Bundesliga,Complete Forward
285,Ciro Immobile,ST,2023-2024,33.0,Lazio,Serie A,Target Man
286,Danny Ings,ST,2023-2024,31.0,West Ham,Premier League,Complete Forward
287,Alexander Isak,ST,2023-2024,23.0,Newcastle Utd,Premier League,Target Man
291,Nicolas Jackson,ST,2023-2024,22.0,Chelsea,Premier League,Target Man
293,Luis Javier Suárez,ST,2023-2024,25.0,Almería,La Liga,Complete Forward
294,Daniel Jebbison,ST,2023-2024,19.0,Sheffield Utd,Premier League,Complete Forward
295,Gabriel Jesus,ST,2023-2024,26.0,Arsenal,Premier League,Target Man
296,Raúl Jiménez,ST,2023-2024,32.0,Fulham,Premier League,Target Man
300,Kaio Jorge,ST,2023-2024,21.0,Frosinone,Serie A,Complete Forward
301,Willian José,ST,2023-2024,31.0,Betis,La Liga,Target Man
302,Joselu,ST,2023-2024,33.0,Real Madrid,La Liga,Target Man
305,Luka Jović,ST,2023-2024,25.0,2 Teams,Serie A,Complete Forward
306,Juanmi,ST,2023-2024,30.0,Cádiz,La Liga,Complete Forward
307,Eli Junior Kroupi,ST,2023-2024,17.0,Lorient,Ligue 1,Target Man
310,Sory Kaba,ST,2023-2024,28.0,Las Palmas,La Liga,Complete Forward
313,Sasa Kalajdzic,ST,2023-2024,26.0,2 Teams,2 Comps,Complete Forward
314,Arnaud Kalimuendo,ST,2023-2024,21.0,Rennes,Ligue 1,Target Man
317,Harry Kane,ST,2023-2024,30.0,Bayern Munich,Bundesliga,Target Man
321,Mikkel Kaufmann,ST,2023-2024,22.0,Union Berlin,Bundesliga,Complete Forward
322,Moise Kean,ST,2023-2024,23.0,Juventus,Serie A,Complete Forward
323,Omari Kellyman,ST,2023-2024,17.0,Aston Villa,Premier League,Complete Forward
324,Wahbi Khazri,ST,2023-2024,32.0,Montpellier,Ligue 1,Complete Forward
325,Kiké,ST,2023-2024,33.0,Alavés,La Liga,Target Man
326,Tim Kleindienst,ST,2023-2024,27.0,Heidenheim,Bundesliga,Target Man
327,Randal Kolo Muani,ST,2023-2024,24.0,2 Teams,2 Comps,Target Man
328,Ibrahima Koné,ST,2023-2024,24.0,2 Teams,2 Comps,Complete Forward
330,Dawid Kownacki,ST,2023-2024,26.0,Werder Bremen,Bundesliga,Complete Forward
331,Nikola Krstović,ST,2023-2024,23.0,Lecce,Serie A,Target Man
336,Giorgi Kvernadze,ST,2023-2024,20.0,Frosinone,Serie A,Complete Forward
338,Grejohn Kyei,ST,2023-2024,27.0,Clermont Foot,Ligue 1,Complete Forward
340,Alexandre Lacazette,ST,2023-2024,32.0,Lyon,Ligue 1,Target Man
341,Mathis Lambourde,ST,2023-2024,17.0,Rennes,Ligue 1,Complete Forward
343,Mohamed Lamine Bayo,ST,2023-2024,25.0,Le Havre,Ligue 1,Target Man
345,Gianluca Lapadula,ST,2023-2024,33.0,Cagliari,Serie A,Complete Forward
347,Juanmi Latasa,ST,2023-2024,22.0,Getafe,La Liga,Target Man
353,Robert Lewandowski,ST,2023-2024,34.0,Barcelona,La Liga,Target Man
357,Andy Logbo,ST,2023-2024,19.0,Le Havre,Ligue 1,Complete Forward
359,Lorenzo Lucca,ST,2023-2024,22.0,Udinese,Serie A,Target Man
360,José Luis Morales,ST,2023-2024,36.0,Villarreal,La Liga,Complete Forward
361,Romelu Lukaku,ST,2023-2024,30.0,Roma,Serie A,Target Man
363,Zito Luvumbo,ST,2023-2024,21.0,Cagliari,Serie A,Target Man
366,Frank Magri,ST,2023-2024,23.0,Toulouse,Ligue 1,Target Man
367,Jon Magunacelaya,ST,2023-2024,23.0,Real Sociedad,La Liga,Complete Forward
373,Alberto Marí,ST,2023-2024,22.0,Valencia,La Liga,Complete Forward
374,Mariano,ST,2023-2024,29.0,Sevilla,La Liga,Complete Forward
375,Mirko Marić,ST,2023-2024,28.0,Monza,Serie A,Complete Forward
376,Omar Marmoush,ST,2023-2024,24.0,Eint Frankfurt,Bundesliga,Target Man
378,Roger Martí,ST,2023-2024,32.0,Cádiz,La Liga,Complete Forward
379,Anthony Martial,ST,2023-2024,27.0,Manchester Utd,Premier League,Complete Forward
381,Lautaro Martínez,ST,2023-2024,25.0,Inter,Serie A,Target Man
383,Jaime Mata,ST,2023-2024,34.0,Getafe,La Liga,Target Man
384,Jean-Philippe Mateta,ST,2023-2024,26.0,Crystal Palace,Premier League,Target Man
385,Neal Maupay,ST,2023-2024,26.0,2 Teams,Premier League,Target Man
386,Borja Mayoral,ST,2023-2024,26.0,Getafe,La Liga,Target Man
392,Oliver McBurnie,ST,2023-2024,27.0,Sheffield Utd,Premier League,Target Man
393,Memphis,ST,2023-2024,29.0,Atlético Madrid,La Liga,Target Man
396,Georges Mikautadze,ST,2023-2024,22.0,Metz,Ligue 1,Target Man
397,Arkadiusz Milik,ST,2023-2024,29.0,Juventus,Serie A,Complete Forward
