,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Live,Dead,Sw,Crs,TI,CK,xG,npxG,xA,G-xG,Sh,SoT,Sh Dist,FK,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att.1,Cmp%,KP,1/3,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%
577,Ivan Rakitić,CM,2023-2024,35,Croatia,Sevilla,La Liga,18,1425,15.8,16,2,641.0,2999.0,21.0,1.0,30.0,5.0,4.3,4.1,0.7,0.04,7.0,3.0,175.0,71.0,412.0,23.0,1251.0,2.0,1.0,3,2.0,0.0,0,0.0,30.0,16,9.0,12,9,57.9,8.0,16.0,5,11,14.0,44,12,0.0
578,Ylber Ramadani,CM,2023-2024,27,Albania,Lecce,Serie A,34,2970,33.0,34,0,843.0,4599.0,31.0,0.0,35.0,25.0,1.6,0.7,0.0,0.03,6.0,0.0,19.0,17.0,232.0,6.0,1588.0,1.0,0.0,1,1.0,0.0,0,0.0,68.0,41,32.0,29,7,38.5,59.0,54.0,13,41,44.0,112,44,0.0
579,Aaron Ramsey,CM,2023-2024,20,England,Burnley,Premier League,14,527,5.9,5,9,117.0,514.0,5.0,4.0,11.0,10.0,0.7,0.5,-0.3,0.06,2.0,0.0,9.0,1.0,65.0,9.0,228.0,0.0,0.0,0,0.0,0.0,0,0.0,17.0,14,7.0,5,5,50.0,8.0,11.0,2,9,1.0,18,10,0.0
580,Filippo Ranocchia,CM,2023-2024,22,Italy,Empoli,Serie A,9,476,5.3,5,4,158.0,899.0,4.0,0.0,12.0,8.0,0.8,1.0,-0.2,0.04,2.0,2.0,17.0,13.0,51.0,4.0,284.0,0.0,0.0,0,0.0,0.0,0,0.0,16.0,11,7.0,9,0,43.8,9.0,9.0,1,8,3.0,19,14,0.0
581,Harrison Reed,DM,2023-2024,28,England,Fulham,Premier League,27,1325,14.7,15,12,449.0,1715.0,10.0,1.0,19.0,13.0,1.4,1.5,-0.3,0.03,2.0,1.0,46.0,23.0,182.0,10.0,883.0,0.0,2.0,2,0.0,0.0,0,0.0,29.0,18,9.0,17,3,41.9,18.0,19.0,9,10,11.0,40,24,0.0
582,Tijjani Reijnders,CM,2023-2024,25,Netherlands,Milan,Serie A,36,2820,31.3,33,3,1367.0,9122.0,81.0,18.0,40.0,38.0,7.0,4.1,-0.2,0.07,9.0,0.0,73.0,33.0,533.0,62.0,2022.0,3.0,3.0,6,3.0,0.0,0,0.0,46.0,25,10.0,31,5,48.8,22.0,26.0,8,18,18.0,64,26,0.0
583,Reinier,AM,2023-2024,21,Brazil,Frosinone,Serie A,22,1059,11.8,13,9,269.0,1249.0,7.0,1.0,22.0,15.0,3.2,0.7,0.7,0.09,6.0,0.0,18.0,3.0,211.0,33.0,528.0,2.0,2.0,4,2.0,0.0,0,0.0,21.0,10,6.0,12,3,29.4,12.0,24.0,4,20,10.0,31,5,0.0
584,Rocco Reitz,CM,2023-2024,21,Germany,Gladbach,Bundesliga,34,2136,23.7,24,10,788.0,3375.0,29.0,12.0,40.0,30.0,6.0,2.6,2.3,0.11,14.0,0.0,33.0,18.0,259.0,46.0,1377.0,6.0,3.0,9,6.0,0.0,0,0.0,61.0,36,28.0,29,4,50.9,27.0,61.0,20,41,44.0,105,31,1.0
585,Marco Reus,AM,2023-2024,34,Germany,Dortmund,Bundesliga,26,1601,17.8,18,8,6.5,6.5,3.7,11.7,-0.5,-0.5,20.0,47.6,588.0,83.2,2.0,2071.0,374.0,90.6,33.0,7.0,42.0,15.0,633.0,89,634.0,70.0,21,6.0,2.0,32,7.0,19,8,3.0,19.0,6.0,8,14,6.0,0,0,0.0
586,Elvis Rexhbeçaj,DM,2023-2024,25,Germany,Augsburg,Bundesliga,25,1985,22.1,24,1,1.7,1.0,1.3,1.5,0.3,0.0,3.0,10.7,523.0,73.8,5.0,2372.0,297.0,80.8,16.0,3.0,38.0,18.0,492.0,51,670.0,37.0,21,3.0,1.0,21,3.0,3,0,2.0,19.0,2.0,0,2,1.0,1,1,0.0
