,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Live,Dead,Sw,Crs,TI,CK,xG,npxG,xA,G-xG,Sh,SoT,Sh Dist,FK,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att.1,Cmp%,KP,1/3,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%
670,Kevin Strootman,CM,2023-2024,33,Netherlands,Genoa,Serie A,27,1207,13.4,15,12,0.1,0.1,2.2,1.4,-0.1,-0.1,0.0,0.0,550.0,82.1,5.0,2778.0,310.0,86.1,13.0,0.0,9.0,12.0,523.0,22,632.0,37.0,21,1.0,1.0,20,11.0,5,2,1.0,9.0,0.0,2,2,0.0,0,0,0.0
671,Denis Suárez,CM,2023-2024,29,Spain,Villarreal,La Liga,4,133,1.5,1,3,0.1,0.1,0.6,0.4,-0.1,-0.1,0.0,0.0,79.0,84.0,1.0,518.0,43.0,88.4,1.0,1.0,3.0,2.0,79.0,7,82.0,12.0,9,0.0,1.0,4,1.0,2,2,0.0,1.0,0.0,0,0,0.0,0,0,0.0
672,Ibrahim Sulemana,CM,2023-2024,20,Ghana,Cagliari,Serie A,21,1339,14.9,16,5,0.8,0.8,0.2,0.9,1.2,1.2,3.0,23.1,361.0,79.9,2.0,1260.0,184.0,88.6,9.0,1.0,18.0,16.0,330.0,14,446.0,3.0,3,0.0,8.0,13,0.0,0,0,3.0,10.0,2.0,0,2,2.0,0,0,0.0
673,Tomáš Suslov,AM,2023-2024,21,Slovakia,Hellas Verona,Serie A,32,2092,23.2,23,9,3.5,2.6,2.5,6.2,-0.5,-0.6,15.0,29.4,416.0,72.6,6.0,2111.0,185.0,83.8,44.0,13.0,57.0,34.0,510.0,74,473.0,97.0,27,3.0,15.0,72,9.0,29,8,3.0,23.0,3.0,5,8,2.0,1,1,0.0
674,Suso,RM,2023-2024,29,Spain,Sevilla,La Liga,29,1517,16.9,15,14,1.4,1.4,4.9,5.3,-0.4,-0.4,6.0,23.1,702.0,77.4,14.0,3958.0,406.0,90.4,39.0,7.0,37.0,22.0,777.0,109,797.0,105.0,37,2.0,21.0,132,14.0,50,27,5.0,29.0,1.0,4,5,1.0,0,0,0.0
675,Mattias Svanberg,CM,2023-2024,24,Sweden,Wolfsburg,Bundesliga,25,1715,19.1,20,5,3.0,3.0,2.5,5.3,-2.0,-2.0,11.0,26.2,574.0,71.1,2.0,2918.0,369.0,82.9,20.0,7.0,36.0,11.0,649.0,52,752.0,52.0,26,2.0,7.0,55,0.0,23,19,3.0,19.0,1.0,3,4,1.0,0,0,0.0
676,Dominik Szoboszlai,CM,2023-2024,22,Hungary,Liverpool,Premier League,33,2104,23.4,25,8,3.7,3.7,5.1,9.5,-0.7,-0.7,15.0,25.0,1280.0,82.6,6.0,4929.0,777.0,89.3,67.0,22.0,27.0,27.0,1238.0,160,1376.0,167.0,34,3.0,16.0,113,31.0,66,24,7.0,24.0,3.0,2,5,3.0,0,0,0.0
677,Renato Tapia,CM,2023-2024,28,Peru,Celta Vigo,La Liga,21,1337,14.9,15,6,1.0,1.0,0.7,1.6,-1.0,-1.0,1.0,5.3,541.0,75.7,2.0,3901.0,283.0,88.0,13.0,0.0,20.0,10.0,529.0,14,667.0,44.0,38,2.0,10.0,9,5.0,0,0,4.0,15.0,0.0,0,0,0.0,0,0,0.0
678,Oussama Targhalline,DM,2023-2024,21,Morocco,Le Havre,Ligue 1,14,1025,11.4,12,2,0.2,0.2,0.5,0.6,-0.2,-0.2,0.0,0.0,600.0,85.2,3.0,3081.0,337.0,89.3,32.0,0.0,7.0,5.0,591.0,15,689.0,13.0,9,2.0,2.0,8,3.0,1,0,2.0,15.0,0.0,0,0,0.0,0,0,0.0
679,Aurélien Tchouaméni,DM,2023-2024,23,France,Real Madrid,La Liga,27,1987,22.1,22,5,1.3,1.3,1.4,2.1,1.7,1.7,7.0,25.9,1377.0,90.6,4.0,7487.0,729.0,94.4,41.0,1.0,13.0,12.0,1296.0,15,1461.0,53.0,49,1.0,4.0,22,2.0,0,0,6.0,9.0,3.0,1,4,3.0,0,0,0.0
680,Ramón Terrats,CM,2023-2024,22,Spain,Villarreal,La Liga,19,785,8.7,6,13,0.4,0.4,1.2,1.9,-0.4,-0.4,1.0,12.5,375.0,81.2,2.0,1666.0,213.0,89.7,13.0,3.0,12.0,11.0,394.0,54,428.0,31.0,6,1.0,1.0,28,20.0,5,1,3.0,19.0,0.0,2,2,0.0,0,0,0.0
681,Teddy Teuma,AM,2023-2024,29,Malta,Reims,Ligue 1,28,2113,23.5,25,3,3.1,2.3,4.3,6.0,2.9,2.7,14.0,32.6,1181.0,78.1,8.0,6156.0,622.0,85.9,38.0,4.0,43.0,17.0,1199.0,112,1307.0,197.0,85,6.0,17.0,139,16.0,77,35,8.0,36.0,6.0,3,9,5.0,1,1,0.0
682,Norman Theuerkauf,DM,2023-2024,36,Germany,Heidenheim,Bundesliga,25,1259,14.0,14,11,0.4,0.4,1.5,1.2,-0.4,-0.4,2.0,28.6,462.0,78.3,2.0,3473.0,196.0,85.2,12.0,2.0,11.0,5.0,394.0,17,528.0,59.0,7,0.0,10.0,22,46.0,6,3,3.0,12.0,0.0,1,1,0.0,0,0,0.0
683,Denis Thomalla,AM,2023-2024,30,Germany,Heidenheim,Bundesliga,21,446,5.0,3,18,0.3,0.3,0.8,0.7,-0.3,-0.3,0.0,0.0,143.0,74.9,1.0,675.0,88.0,75.0,2.0,0.0,1.0,4.0,149.0,19,186.0,3.0,2,0.0,1.0,2,0.0,0,0,2.0,5.0,0.0,0,0,0.0,0,0,0.0
684,Adrien Thomasson,AM,2023-2024,29,France,Lens,Ligue 1,29,1193,13.3,13,16,3.8,3.8,3.8,7.7,-2.8,-2.8,6.0,19.4,506.0,74.5,3.0,1909.0,319.0,81.8,23.0,7.0,29.0,22.0,574.0,121,638.0,38.0,18,1.0,1.0,47,2.0,18,2,3.0,31.0,1.0,2,3,1.0,0,0,0.0
685,Morten Thorsby,CM,2023-2024,27,Norway,Genoa,Serie A,24,1157,12.9,9,15,1.8,1.8,0.6,3.2,0.2,0.2,6.0,46.2,206.0,62.0,2.0,810.0,173.0,67.1,9.0,0.0,27.0,17.0,289.0,39,329.0,3.0,1,0.0,0.0,9,2.0,0,0,0.0,10.0,2.0,2,4,2.0,0,0,0.0
686,Kristian Thorstvedt,AM,2023-2024,24,Norway,Sassuolo,Serie A,34,2397,26.6,30,4,4.4,4.4,1.6,5.9,1.6,1.6,15.0,35.7,710.0,72.6,2.0,3666.0,484.0,81.0,36.0,5.0,55.0,38.0,859.0,94,957.0,20.0,13,0.0,8.0,26,2.0,5,2,1.0,28.0,6.0,1,7,6.0,0,0,0.0
687,Khéphren Thuram,CM,2023-2024,22,France,Nice,Ligue 1,27,2108,23.4,25,2,3.4,3.4,3.2,7.0,-2.4,-2.4,11.0,28.2,978.0,86.2,6.0,3692.0,561.0,90.4,67.0,10.0,37.0,23.0,1039.0,57,1113.0,17.0,15,8.0,0.0,20,2.0,0,0,4.0,14.0,1.0,1,2,1.0,0,0,0.0
688,Youri Tielemans,CM,2023-2024,26,Belgium,Aston Villa,Premier League,32,1622,18.0,17,15,1.3,1.3,2.2,3.9,0.7,0.7,5.0,35.7,789.0,83.1,1.0,4025.0,434.0,91.5,27.0,7.0,17.0,22.0,766.0,46,891.0,54.0,14,17.0,3.0,31,7.0,18,12,4.0,21.0,2.0,6,8,2.0,0,0,0.0
689,Umut Tohumcu,CM,2023-2024,18,Germany,Hoffenheim,Bundesliga,20,1011,11.2,12,8,0.5,0.5,2.0,1.6,-0.5,-0.5,3.0,20.0,366.0,87.4,2.0,1505.0,216.0,94.0,13.0,2.0,10.0,11.0,373.0,27,409.0,6.0,5,2.0,2.0,6,0.0,0,0,4.0,6.0,0.0,2,2,0.0,0,0,0.0
690,Corentin Tolisso,CM,2023-2024,28,France,Lyon,Ligue 1,25,1741,19.3,21,4,3.2,2.4,3.6,4.2,-1.2,-1.4,13.0,34.2,1059.0,84.2,11.0,5916.0,513.0,88.1,43.0,2.0,26.0,22.0,1089.0,67,1201.0,51.0,32,7.0,9.0,36,17.0,0,0,5.0,21.0,2.0,1,3,1.0,1,1,0.0
691,Sandro Tonali,DM,2023-2024,23,Italy,Newcastle Utd,Premier League,8,438,4.9,5,3,0.7,0.7,0.5,1.3,0.3,0.3,2.0,66.7,241.0,86.1,2.0,870.0,141.0,92.2,4.0,1.0,4.0,2.0,257.0,21,276.0,4.0,0,0.0,5.0,11,2.0,2,0,0.0,3.0,1.0,0,1,1.0,0,0,0.0
692,Pablo Torre,CM,2023-2024,20,Spain,Girona,La Liga,26,701,7.8,4,22,0.8,0.8,1.5,1.6,-0.8,-0.8,1.0,7.7,356.0,83.0,0.0,1588.0,218.0,88.5,18.0,4.0,17.0,13.0,424.0,40,416.0,11.0,5,8.0,3.0,7,0.0,1,0,2.0,8.0,0.0,2,2,0.0,0,0,0.0
693,Óliver Torres,AM,2023-2024,28,Spain,Sevilla,La Liga,27,1616,18.0,18,9,0.5,0.5,2.5,2.7,-0.5,-0.5,3.0,33.3,714.0,80.9,8.0,3224.0,439.0,91.6,15.0,5.0,27.0,24.0,710.0,110,838.0,40.0,13,2.0,5.0,44,9.0,12,6,5.0,19.0,0.0,1,1,0.0,0,0,0.0
694,Lucas Torró,CM,2023-2024,29,Spain,Osasuna,La Liga,28,1788,19.9,21,7,1.5,1.5,0.6,2.0,-0.5,-0.5,7.0,23.3,604.0,75.7,0.0,2491.0,368.0,81.0,7.0,1.0,14.0,10.0,569.0,15,785.0,12.0,12,0.0,6.0,3,0.0,0,0,1.0,8.0,1.0,0,1,1.0,0,0,0.0
695,Abdoulaye Touré,CM,2023-2024,29,Guinea,Le Havre,Ligue 1,30,2284,25.4,27,3,3.0,1.4,0.9,2.3,-1.0,-1.4,8.0,25.8,1031.0,83.3,0.0,5195.0,483.0,85.5,37.0,2.0,37.0,28.0,1006.0,25,1219.0,14.0,9,1.0,6.0,4,3.0,0,0,5.0,19.0,2.0,0,2,0.0,2,2,0.0
696,Lucas Tousart,CM,2023-2024,26,France,Union Berlin,Bundesliga,23,1572,17.5,18,5,1.5,1.5,0.4,2.4,-1.5,-1.5,6.0,24.0,389.0,74.4,0.0,1878.0,232.0,79.3,13.0,5.0,34.0,13.0,389.0,33,514.0,6.0,3,3.0,2.0,9,0.0,0,0,3.0,17.0,0.0,0,0,0.0,0,0,0.0
697,Andros Townsend,CM,2023-2024,32,England,Luton Town,Premier League,27,1210,13.4,14,13,1.2,1.2,1.8,2.5,-0.2,-0.2,7.0,35.0,304.0,70.4,12.0,1225.0,173.0,85.5,31.0,7.0,35.0,26.0,366.0,71,402.0,28.0,4,1.0,10.0,74,7.0,8,7,2.0,22.0,1.0,3,4,1.0,0,0,0.0
698,Bertrand Traoré,RM,2023-2024,27,Burkina Faso,Villarreal,La Liga,11,568,6.3,6,5,0.9,0.9,0.7,1.3,0.1,0.1,7.0,35.0,167.0,78.4,2.0,847.0,108.0,81.5,15.0,7.0,16.0,6.0,242.0,63,204.0,8.0,1,2.0,2.0,9,2.0,5,1,1.0,3.0,1.0,0,1,1.0,0,0,0.0
699,Boubacar Traoré,CM,2023-2024,21,Mali,Wolves,Premier League,24,819,9.1,7,17,0.3,0.3,0.3,0.7,-0.3,-0.3,1.0,9.1,383.0,84.2,3.0,1360.0,234.0,88.5,14.0,1.0,13.0,17.0,363.0,15,444.0,10.0,4,0.0,2.0,6,5.0,0,0,1.0,7.0,0.0,0,0,0.0,0,0,0.0
700,Manu Trigueros,AM,2023-2024,31,Spain,Villarreal,La Liga,14,309,3.4,2,12,0.5,0.5,0.2,0.7,-0.5,-0.5,3.0,50.0,141.0,83.9,0.0,550.0,76.0,89.5,4.0,2.0,5.0,4.0,146.0,13,156.0,10.0,3,1.0,0.0,5,1.0,5,0,2.0,3.0,0.0,0,0,0.0,0,0,0.0
701,Viktor Tsyhankov,RM,2023-2024,25,Ukraine,Girona,La Liga,30,2052,22.8,26,4,6.2,6.2,6.5,12.1,1.8,1.8,15.0,34.1,726.0,78.9,8.0,2850.0,518.0,87.3,50.0,31.0,45.0,35.0,897.0,226,861.0,50.0,15,5.0,3.0,62,8.0,27,8,9.0,25.0,8.0,7,15,8.0,0,0,0.0
702,Beñat Turrientes,CM,2023-2024,21,Spain,Real Sociedad,La Liga,29,1687,18.7,19,10,1.2,1.2,0.6,1.8,-1.2,-1.2,10.0,43.5,598.0,84.6,0.0,2148.0,320.0,91.3,23.0,2.0,26.0,14.0,601.0,31,669.0,35.0,18,1.0,5.0,19,0.0,16,11,3.0,14.0,0.0,1,1,0.0,0,0,0.0
703,Manuel Ugarte Ribeiro,DM,2023-2024,22,Uruguay,Paris S-G,Ligue 1,25,1932,21.5,21,4,0.6,0.6,1.0,1.5,-0.6,-0.6,1.0,10.0,1214.0,91.2,0.0,4148.0,512.0,90.4,35.0,4.0,25.0,24.0,1099.0,24,1314.0,17.0,15,3.0,5.0,4,2.0,0,0,0.0,13.0,0.0,2,2,0.0,0,0,0.0
704,Lesley Ugochukwu,CM,2023-2024,19,France,Chelsea,Premier League,12,301,3.3,3,9,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,155.0,84.7,0.0,683.0,90.0,87.8,2.0,2.0,3.0,3.0,162.0,3,183.0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,2.0,0.0,0,0,0.0,0,0,0.0
705,Mark Uth,AM,2023-2024,31,Germany,Köln,Bundesliga,11,373,4.1,3,8,2.0,2.0,0.7,3.4,-2.0,-2.0,5.0,41.7,111.0,66.1,1.0,584.0,57.0,94.7,6.0,2.0,13.0,8.0,142.0,29,130.0,38.0,13,1.0,1.0,31,2.0,18,8,0.0,10.0,0.0,1,1,0.0,0,0,0.0
706,Óscar Valentín,CM,2023-2024,28,Spain,Rayo Vallecano,La Liga,34,2692,29.9,32,2,1.7,1.7,0.7,2.2,-0.7,-0.7,7.0,46.7,1005.0,81.2,1.0,5680.0,556.0,87.4,24.0,1.0,33.0,10.0,867.0,11,1203.0,30.0,29,5.0,9.0,5,1.0,0,0,4.0,19.0,1.0,0,1,1.0,0,0,0.0
707,Federico Valverde,CM,2023-2024,25,Uruguay,Real Madrid,La Liga,37,2904,32.3,33,4,2077.0,31.0,33.0,30.0,5.0,0.0,2448.0,77.0,708.0,2448.0,9.3,-1.5,1.2,0.06,2.0,7.0,9.0,2.0,0.0,0,0.0,1901.0,2117,89.8,49.0,229,41.0,4,231,1109.0,1169.0,94.9,612,675,90.7,126,185,68.1
708,Ruben Vargas,AM,2023-2024,24,Switzerland,Augsburg,Bundesliga,31,1962,21.8,25,6,614.0,68.0,2.0,63.0,37.0,11.0,949.0,22.0,485.0,949.0,6.3,0.1,2.6,0.08,4.0,5.0,9.0,4.0,0.0,0,0.0,474.0,684,69.3,26.0,30,30.0,5,77,232.0,288.0,80.6,189,260,72.7,32,70,45.7
709,José Luis García Vayá,CM,2023-2024,24,Spain,Valencia,La Liga,37,3302,36.7,37,0,1905.0,214.0,28.0,147.0,3.0,108.0,2447.0,117.0,476.0,2439.0,10.5,-0.3,-2.2,0.04,7.0,1.0,8.0,0.0,7.0,8,1.0,1671.0,2132,78.4,55.0,216,38.0,14,251,716.0,835.0,85.7,689,815,84.5,213,375,56.8
710,Matías Vecino,CM,2023-2024,31,Uruguay,Lazio,Serie A,31,1153,12.8,8,23,732.0,12.0,3.0,5.0,4.0,0.0,909.0,28.0,183.0,909.0,4.1,2.3,0.6,0.11,6.0,1.0,7.0,6.0,0.0,0,0.0,621.0,750,82.8,7.0,68,10.0,0,74,322.0,366.0,88.0,252,287,87.8,36,61,59.0
711,Jordan Veretout,CM,2023-2024,30,France,Marseille,Ligue 1,29,2183,24.3,24,5,1207.0,128.0,8.0,114.0,9.0,72.0,1516.0,39.0,515.0,1516.0,7.9,-1.9,-3.0,0.08,1.0,2.0,3.0,1.0,0.0,0,0.0,1049.0,1341,78.2,48.0,144,34.0,9,194,374.0,428.0,87.4,522,623,83.8,120,226,53.1
712,Arthur Vermeeren,DM,2023-2024,18,Belgium,Atlético Madrid,La Liga,5,162,1.8,2,3,89.0,0.0,0.0,0.0,0.0,0.0,115.0,7.0,20.0,115.0,0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,75.0,91,82.4,2.0,3,2.0,0,7,42.0,47.0,89.4,29,32,90.6,1,5,20.0
713,Mikel Vesga,DM,2023-2024,30,Spain,Athletic Club,La Liga,27,1534,17.0,18,9,821.0,6.0,6.0,13.0,0.0,1.0,1035.0,49.0,196.0,1033.0,3.9,0.3,-0.2,0.07,3.0,1.0,4.0,1.0,2.0,2,0.0,639.0,829,77.1,7.0,68,13.0,2,88,321.0,377.0,85.1,245,302,81.1,64,108,59.3
714,Fabio Vieira,CM,2023-2024,23,Portugal,Arsenal,Premier League,11,297,3.3,2,9,137.0,12.0,2.0,15.0,0.0,8.0,184.0,2.0,97.0,183.0,2.9,-0.3,0.4,0.08,1.0,2.0,3.0,0.0,1.0,1,0.0,122.0,150,81.3,5.0,12,6.0,1,15,67.0,75.0,89.3,44,53,83.0,9,17,52.9
715,Emanuel Vignato,AM,2023-2024,22,Italy,Salernitana,Serie A,9,311,3.5,3,6,115.0,5.0,1.0,2.0,1.0,0.0,154.0,5.0,37.0,154.0,0.4,0.0,0.7,0.03,0.0,1.0,1.0,0.0,0.0,0,0.0,90.0,120,75.0,5.0,11,0.0,0,11,48.0,57.0,84.2,29,39,74.4,7,10,70.0
716,Samuele Vignato,AM ,2023-2024,19,Italy,Monza,Serie A,10,343,3.8,3,7,118.0,10.0,3.0,8.0,1.0,6.0,168.0,0.0,67.0,168.0,1.8,-0.7,-0.2,0.24,1.0,0.0,1.0,1.0,0.0,0,0.0,107.0,128,83.6,4.0,9,2.0,0,13,61.0,68.0,89.7,34,40,85.0,11,15,73.3
717,Gonzalo Villar,CM,2023-2024,25,Spain,Granada,La Liga,35,1803,20.0,21,14,879.0,57.0,5.0,24.0,2.0,12.0,1152.0,46.0,215.0,1152.0,4.1,-0.9,0.8,0.08,1.0,3.0,4.0,1.0,0.0,0,0.0,775.0,937,82.7,14.0,71,15.0,3,74,415.0,457.0,90.8,269,319,84.3,66,103,64.1
718,Nicolas Viola,AM,2023-2024,33,Italy,Cagliari,Serie A,26,1207,13.4,11,15,434.0,124.0,4.0,134.0,3.0,70.0,724.0,7.0,350.0,723.0,7.3,1.6,-1.9,0.07,5.0,2.0,7.0,5.0,0.0,1,1.0,358.0,565,63.4,33.0,34,15.0,6,57,169.0,217.0,77.9,102,150,68.0,68,151,45.0
719,Vitinha,CM,2023-2024,23,Portugal,Paris S-G,Ligue 1,28,2126,23.6,23,5,1753.0,92.0,11.0,38.0,8.0,19.0,2094.0,64.0,685.0,2094.0,6.3,3.9,0.9,0.07,7.0,4.0,11.0,7.0,0.0,0,0.0,1659.0,1850,89.7,37.0,155,32.0,2,182,833.0,895.0,93.1,640,691,92.6,124,158,78.5
720,Nikola Vlašić,AM,2023-2024,25,Croatia,Torino,Serie A,33,2608,29.0,30,3,989.0,5.0,5.0,37.0,2.0,0.0,1252.0,14.0,544.0,1252.0,5.3,0.6,-0.9,0.05,3.0,2.0,5.0,3.0,0.0,0,0.0,806.0,998,80.8,35.0,96,31.0,9,150,442.0,509.0,86.8,291,348,83.6,37,61,60.7
721,Aster Vranckx,CM,2023-2024,20,Belgium,Wolfsburg,Bundesliga,24,1153,12.8,12,12,566.0,19.0,3.0,10.0,0.0,0.0,748.0,45.0,112.0,748.0,0.4,-0.1,-0.3,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,499.0,585,85.3,5.0,37,4.0,2,48,244.0,269.0,90.7,190,212,89.6,47,74,63.5
722,Walace,CM,2023-2024,28,Brazil,Udinese,Serie A,37,3238,36.0,37,0,1380.0,55.0,11.0,12.0,2.0,0.0,1823.0,131.0,206.0,1823.0,1.9,1.2,-1.1,0.03,2.0,0.0,2.0,2.0,0.0,0,0.0,1146.0,1437,79.7,21.0,143,7.0,1,127,480.0,555.0,86.5,523,604,86.6,125,226,55.3
723,Luca Waldschmidt,AM,2023-2024,27,Germany,Köln,Bundesliga,22,1146,12.7,14,8,392.0,49.0,4.0,39.0,5.0,26.0,604.0,9.0,234.0,603.0,4.1,0.1,-1.2,0.05,3.0,0.0,3.0,3.0,0.0,1,1.0,320.0,448,71.4,16.0,23,10.0,4,46,150.0,180.0,83.3,125,163,76.7,31,60,51.7
724,James Ward-Prowse,CM,2023-2024,28,England,West Ham,Premier League,37,3001,33.3,34,3,1422.0,242.0,16.0,189.0,3.0,119.0,1923.0,76.0,558.0,1920.0,13.8,1.0,-0.8,0.11,7.0,7.0,14.0,5.0,2.0,2,0.0,1386.0,1672,82.9,64.0,137,23.0,8,144,702.0,762.0,92.1,520,570,91.2,134,270,49.6
725,Kjell-Arik Wätjen,DM,2023-2024,17,Germany,Dortmund,Bundesliga,2,105,1.2,1,1,52.0,1.0,0.0,0.0,1.0,0.0,63.0,9.0,8.0,63.0,1.2,0.0,-0.2,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,46.0,53,86.8,3.0,3,1.0,0,8,23.0,25.0,92.0,19,23,82.6,4,4,100.0
726,Julian Weigl,DM,2023-2024,27,Germany,Gladbach,Bundesliga,31,2764,30.7,31,0,1375.0,94.0,10.0,3.0,3.0,1.0,1781.0,95.0,180.0,1779.0,4.5,-0.4,0.9,0.05,2.0,3.0,5.0,0.0,2.0,2,0.0,1311.0,1473,89.0,24.0,105,10.0,1,105,522.0,568.0,91.9,629,673,93.5,130,169,76.9
727,Adam Wharton,DM,2023-2024,19,England,Crystal Palace,Premier League,16,1297,14.4,15,1,553.0,34.0,2.0,25.0,0.0,15.0,742.0,29.0,183.0,742.0,2.8,-0.3,0.6,0.03,0.0,3.0,3.0,0.0,0.0,0,0.0,464.0,596,77.9,21.0,51,16.0,3,79,209.0,244.0,85.7,199,234,85.0,45,80,56.3
728,Joe White,CM,2023-2024,20,England,Newcastle Utd,Premier League,4,13,0.1,0,4,12.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,12,91.7,0.0,2,0.0,0,3,7.0,8.0,87.5,3,3,100.0,1,1,100.0
729,Joe Willock,CM,2023-2024,23,England,Newcastle Utd,Premier League,9,419,4.7,5,4,158.0,5.0,2.0,6.0,4.0,0.0,225.0,3.0,80.0,225.0,1.4,0.2,-0.6,0.12,1.0,0.0,1.0,1.0,0.0,0,0.0,136.0,164,82.9,7.0,16,3.0,1,17,76.0,82.0,92.7,42,55,76.4,12,16,75.0
730,Florian Wirtz,AM,2023-2024,20,Germany,Leverkusen,Bundesliga,32,2372,26.4,26,6,1764.0,77.0,7.0,36.0,35.0,22.0,2252.0,7.0,1229.0,2251.0,16.5,2.1,3.5,0.12,11.0,11.0,22.0,10.0,1.0,1,0.0,1540.0,1855,83.0,73.0,95,82.0,7,224,1003.0,1124.0,89.2,395,462,85.5,62,98,63.3
731,Jeong Woo-yeong,AM,2023-2024,23,South Korea,Stuttgart,Bundesliga,26,633,7.0,5,21,320.0,5.0,2.0,8.0,1.0,4.0,416.0,8.0,157.0,416.0,3.4,0.2,1.4,0.1,2.0,3.0,5.0,2.0,0.0,0,0.0,275.0,326,84.4,9.0,21,3.0,1,22,188.0,209.0,90.0,57,73,78.1,12,15,80.0
732,Granit Xhaka,DM,2023-2024,30,Switzerland,Leverkusen,Bundesliga,33,2821,31.3,32,1,3221.0,65.0,17.0,10.0,17.0,0.0,3558.0,94.0,797.0,3558.0,4.5,1.2,-2.7,0.04,3.0,0.0,3.0,3.0,0.0,0,0.0,3020.0,3292,91.7,41.0,370,54.0,0,392,1681.0,1777.0,94.6,1063,1138,93.4,208,258,80.6
733,Yehor Yarmoliuk,CM,2023-2024,19,Ukraine,Brentford,Premier League,27,688,7.6,6,21,296.0,2.0,1.0,14.0,2.0,0.0,407.0,14.0,162.0,407.0,1.1,-1.0,-0.1,0.09,0.0,0.0,0.0,0.0,0.0,0,0.0,221.0,298,74.2,3.0,17,10.0,1,35,117.0,140.0,83.6,80,102,78.4,12,28,42.9
734,Ryan Yates,DM,2023-2024,25,England,Nott'ham Forest,Premier League,35,1992,22.1,21,14,749.0,75.0,0.0,6.0,2.0,0.0,1124.0,60.0,234.0,1124.0,3.5,-1.6,0.2,0.08,1.0,1.0,2.0,1.0,0.0,0,0.0,658.0,827,79.6,7.0,59,10.0,0,73,315.0,375.0,84.0,279,324,86.1,37,67,55.2
735,Yusuf Yazıcı,AM,2023-2024,26,Turkey,Lille,Ligue 1,27,1312,14.6,16,11,457.0,29.0,1.0,19.0,1.0,7.0,636.0,8.0,287.0,636.0,7.3,-0.4,0.1,0.14,5.0,2.0,7.0,5.0,0.0,0,0.0,377.0,489,77.1,18.0,37,11.0,1,48,215.0,261.0,82.4,110,140,78.6,23,37,62.2
736,Warren Zaïre-Emery,CM,2023-2024,17,France,Paris S-G,Ligue 1,26,1962,21.8,21,5,1367.0,56.0,8.0,8.0,33.0,0.0,1642.0,48.0,524.0,1642.0,4.5,0.6,-0.2,0.1,2.0,3.0,5.0,2.0,0.0,0,0.0,1311.0,1428,91.8,21.0,121,21.0,2,116,692.0,744.0,93.0,517,547,94.5,41,46,89.1
737,Denis Zakaria,CM,2023-2024,26,Switzerland,Monaco,Ligue 1,25,2137,23.7,24,1,1159.0,25.0,3.0,9.0,3.0,0.0,1432.0,96.0,205.0,1432.0,2.5,2.6,-1.1,0.05,4.0,0.0,4.0,4.0,0.0,0,0.0,1081.0,1184,91.3,11.0,102,10.0,4,107,463.0,502.0,92.2,515,548,94.0,74,92,80.4
738,Arsen Zakharyan,CM,2023-2024,20,Russia,Real Sociedad,La Liga,29,1228,13.6,15,14,466.0,68.0,6.0,75.0,5.0,47.0,691.0,12.0,331.0,691.0,4.5,-1.4,-0.1,0.07,1.0,2.0,3.0,1.0,0.0,0,0.0,379.0,542,69.9,26.0,31,13.0,2,47,221.0,256.0,86.3,113,156,72.4,34,85,40.0
739,Andre-Frank Zambo Anguissa,DM,2023-2024,27,Cameroon,Napoli,Serie A,34,2786,31.0,32,2,1803.0,32.0,4.0,20.0,14.0,0.0,2147.0,43.0,627.0,2147.0,6.4,-3.4,-1.0,0.1,0.0,2.0,2.0,0.0,0.0,0,0.0,1604.0,1839,87.2,38.0,147,28.0,6,163,950.0,1042.0,91.2,515,579,88.9,71,99,71.7
740,Bryan Zaragoza,LM,2023-2024,22,Spain,Granada,La Liga,28,1821,20.2,19,9,487.0,35.0,3.0,108.0,6.0,12.0,797.0,1.0,451.0,796.0,7.1,1.8,-1.5,0.09,6.0,2.0,8.0,5.0,1.0,1,0.0,308.0,526,58.6,26.0,15,35.0,18,45,173.0,217.0,79.7,94,167,56.3,28,85,32.9
741,Oier Zarraga,CM,2023-2024,24,Spain,Udinese,Serie A,15,404,4.5,4,11,111.0,3.0,0.0,5.0,0.0,1.0,166.0,15.0,34.0,166.0,0.6,1.4,0.0,0.1,2.0,0.0,2.0,2.0,0.0,0,0.0,92.0,114,80.7,2.0,9,1.0,0,8,54.0,58.0,93.1,31,39,79.5,7,14,50.0
742,Piotr Zieliński,CM,2023-2024,29,Poland,Napoli,Serie A,28,1924,21.4,23,5,1145.0,102.0,7.0,89.0,2.0,68.0,1396.0,26.0,503.0,1395.0,6.0,0.4,-1.4,0.06,3.0,2.0,5.0,2.0,1.0,1,0.0,1037.0,1255,82.6,48.0,129,35.0,2,131,585.0,626.0,93.5,326,394,82.7,78,155,50.3
