,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,,,,,,,,,,,Penalty Kicks,,,,
Rk,Player,Gls,GA,PKvs,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,PKvs,PKA,PKsv,PKm,Save%,Pos
182,Edouard Mendy,0,31,6,2021-2022,29,sn SEN,Chelsea,eng Premier League,34,3060,34,34,0,0,0,0,0,0,0,0,0,31,98,73,74.5,19,10,5,14,41.2,6,6,0,0,0,GK
183,Edouard Mendy,0,14,0,2022-2023,30,sn SEN,Chelsea,eng Premier League,10,855,9.5,9,1,13,0,0,0,0,0,0,0,14,39,25,64.1,3,2,4,1,11.1,0,0,0,0,,GK
184,Thomas Strakosha,0,29,1,2021-2022,26,al ALB,Lazio,it Serie A,23,2070,23,23,0,15,0,0,0,0,0,0,0,29,86,58,67.4,12,6,5,7,30.4,1,1,0,0,0,GK
185,Thomas Strakosha,0,2,0,2023-2024,28,al ALB,Brentford,eng Premier League,2,135,1.5,1,1,32,0,0,0,0,0,0,0,2,8,6,75,0,0,1,0,0,0,0,0,0,,GK
186,John,0,8,1,2025-2026,29,br BRA,Nottingham Forest,eng Premier League,5,437,4.9,5,0,12,0,0,0,0,0,0,0,8,13,6,46.2,1,0,4,1,20,1,1,0,0,0,GK
187,Luigi Sepe,0,24,3,2021-2022,30,it ITA,Salernitana,it Serie A,16,1392,15.5,16,0,0,0,0,0,0,0,0,0,24,75,54,72,4,8,4,1,6.3,3,3,0,0,0,GK
188,Luigi Sepe,0,27,7,2022-2023,31,it ITA,Salernitana,it Serie A,17,1530,17,17,0,16,0,0,0,0,0,0,0,27,77,57,70.1,4,5,8,3,17.6,7,4,3,0,42.9,GK
189,Marc Martínez,0,11,2,2023-2024,33,es ESP,Granada,es La Liga,3,270,3,3,0,14,0,0,0,0,0,0,0,11,21,12,57.1,0,0,3,0,0,2,2,0,0,0,GK
190,Robin Roefs,0,43,3,2025-2026,22,nl NED,Sunderland,eng Premier League,31,2790,31,31,0,0,0,0,0,0,0,0,0,43,136,96,69.9,10,10,11,9,29,3,2,1,0,33.3,GK
191,Edoardo Motta,0,6,1,2025-2026,20,it ITA,Lazio,it Serie A,7,630,7,7,0,5,0,0,0,0,0,0,0,6,21,16,71.4,4,2,1,3,42.9,1,0,1,0,100,GK
192,Alex McCarthy,0,27,0,2021-2022,31,eng ENG,Southampton,eng Premier League,17,1530,17,17,0,1,0,0,0,0,0,0,0,27,71,44,62,3,7,7,5,29.4,0,0,0,0,,GK
193,Alex McCarthy,0,17,1,2022-2023,32,eng ENG,Southampton,eng Premier League,6,540,6,6,0,21,0,0,0,0,0,0,0,17,30,14,46.7,0,1,5,0,0,1,1,0,0,0,GK
194,Alex McCarthy,0,13,2,2024-2025,34,eng ENG,Southampton,eng Premier League,5,450,5,5,0,33,0,0,0,0,0,0,0,13,35,24,68.6,0,0,5,0,0,2,2,0,0,0,GK
195,Álex Remiro,0,32,5,2021-2022,26,es ESP,Real Sociedad,es La Liga,35,3150,35,35,0,3,0,0,0,0,0,0,0,32,106,79,73.6,15,11,9,19,54.3,5,4,1,0,20,GK
196,Álex Remiro,0,35,2,2022-2023,27,es ESP,Real Sociedad,es La Liga,38,3420,38,38,0,0,0,0,0,0,0,0,0,35,132,99,74.2,21,8,9,15,39.5,2,1,1,0,50,GK
197,Álex Remiro,0,36,6,2023-2024,28,es ESP,Real Sociedad,es La Liga,37,3275,36.4,37,0,0,0,0,0,0,0,0,0,36,126,95,75.4,16,12,9,13,35.1,6,5,1,0,16.7,GK
198,Álex Remiro,0,43,6,2024-2025,29,es ESP,Real Sociedad,es La Liga,36,3240,36,36,0,2,0,0,0,0,0,0,0,43,124,86,69.4,13,7,16,13,36.1,6,5,1,0,16.7,GK
199,Álex Remiro,0,52,5,2025-2026,30,es ESP,Real Sociedad,es La Liga,33,2970,33,33,0,0,0,0,0,0,0,0,0,52,132,85,64.4,11,10,12,3,9.1,5,5,0,0,0,GK
200,Lennart Grill,0,2,0,2021-2022,22,de GER,Leverkusen,de Bundesliga,1,90,1,1,0,14,0,0,0,0,0,0,0,2,7,5,71.4,1,0,0,0,0,0,0,0,0,,GK
